Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
ADIN,13.11.2014,"305,00","305,00","305,00","305,00","22,00",581.0,177.205,177.205
ADIN,14.11.2014,"305,00",,,"305,00","0,00",,,
ADIN,17.11.2014,"305,00",,,"305,00","0,00",,,
ADIN,18.11.2014,"305,00",,,"305,00","0,00",,,
ADIN,19.11.2014,"305,00",,,"305,00","0,00",,,
ADIN,20.11.2014,"305,00",,,"305,00","0,00",,,
ADIN,21.11.2014,"305,00",,,"305,00","0,00",,,
ADIN,24.11.2014,"305,00",,,"305,00","0,00",,,
ADIN,25.11.2014,"305,00",,,"305,00","0,00",,,
ADIN,26.11.2014,"305,00",,,"305,00","0,00",,,
ADIN,27.11.2014,"305,00",,,"305,00","0,00",,,
ADIN,28.11.2014,"305,00",,,"305,00","0,00",,,
ADIN,01.12.2014,"305,00",,,"305,00","0,00",,,
ADIN,02.12.2014,"450,00","450,00","450,00","450,00","47,54",180.0,81.0,81.0
ADIN,04.12.2014,"409,00","409,00","409,00","409,00","-9,11",100.0,40.9,40.9
ADIN,05.12.2014,"410,00","410,00","410,00","410,00","0,24",683.0,280.03,280.03
ADIN,09.12.2014,"410,00",,,"410,00","0,00",,,
ADIN,10.12.2014,"410,00",,,"410,00","0,00",,,
ADIN,11.12.2014,"410,00",,,"410,00","0,00",,,
ADIN,12.12.2014,"410,00",,,"410,00","0,00",,,
ADIN,15.12.2014,"410,00",,,"410,00","0,00",,,
ADIN,16.12.2014,"410,00",,,"410,00","0,00",,,
ADIN,17.12.2014,"410,00",,,"410,00","0,00",,,
ADIN,18.12.2014,"410,00",,,"410,00","0,00",,,
ADIN,19.12.2014,"410,00",,,"410,00","0,00",,,
ADIN,22.12.2014,"357,00","357,00","357,00","357,00","-12,93",100.0,35.7,35.7
ADIN,23.12.2014,"357,00",,,"357,00","0,00",,,
ADIN,24.12.2014,"357,00",,,"357,00","0,00",,,
ADIN,25.12.2014,"357,00",,,"357,00","0,00",,,
ADIN,26.12.2014,"357,00",,,"357,00","0,00",,,
ADIN,29.12.2014,"357,00",,,"357,00","0,00",,,
ADIN,30.12.2014,"357,00",,,"357,00","0,00",,,
ADIN,02.01.2015,"357,00",,,"357,00","0,00",,,
ADIN,05.01.2015,"357,00",,,"357,00","0,00",,,
ADIN,08.01.2015,"357,00",,,"357,00","0,00",,,
ADIN,09.01.2015,"357,00",,,"357,00","0,00",,,
ADIN,12.01.2015,"357,00",,,"357,00","0,00",,,
ADIN,13.01.2015,"357,00",,,"357,00","0,00",,,
ADIN,14.01.2015,"357,00",,,"357,00","0,00",,,
ADIN,15.01.2015,"357,00",,,"357,00","0,00",,,
ADIN,16.01.2015,"357,00",,,"357,00","0,00",,,
ADIN,20.01.2015,"357,00",,,"357,00","0,00",,,
ADIN,21.01.2015,"357,00",,,"357,00","0,00",,,
ADIN,22.01.2015,"357,00",,,"357,00","0,00",,,
ADIN,23.01.2015,"357,00",,,"357,00","0,00",,,
ADIN,26.01.2015,"367,00","367,00","367,00","367,00","2,80",25.0,9.175,9.175
ADIN,27.01.2015,"367,00",,,"367,00","0,00",,,
ADIN,28.01.2015,"367,00",,,"367,00","0,00",,,
ADIN,29.01.2015,"367,00",,,"367,00","0,00",,,
ADIN,30.01.2015,"367,00",,,"367,00","0,00",,,
ADIN,02.02.2015,"367,00","367,00","367,00","367,00","0,00",575.0,211.025,211.025
ADIN,03.02.2015,"367,00","367,00","367,00","367,00","0,00",396.0,145.332,145.332
ADIN,04.02.2015,"367,00",,,"367,00","0,00",,,
ADIN,05.02.2015,"367,00",,,"367,00","0,00",,,
ADIN,06.02.2015,"367,00",,,"367,00","0,00",,,
ADIN,09.02.2015,"367,00",,,"367,00","0,00",,,
ADIN,10.02.2015,"367,00",,,"367,00","0,00",,,
ADIN,11.02.2015,"367,00",,,"367,00","0,00",,,
ADIN,12.02.2015,"367,00",,,"367,00","0,00",,,
ADIN,13.02.2015,"367,00","367,00","367,00","367,00","0,00",50.0,18.35,18.35
ADIN,16.02.2015,"367,00",,,"367,00","0,00",,,
ADIN,17.02.2015,"367,00",,,"367,00","0,00",,,
ADIN,18.02.2015,"367,00",,,"367,00","0,00",,,
ADIN,19.02.2015,"367,00",,,"367,00","0,00",,,
ADIN,20.02.2015,"367,00",,,"367,00","0,00",,,
ADIN,23.02.2015,"367,00",,,"367,00","0,00",,,
ADIN,24.02.2015,"367,00",,,"367,00","0,00",,,
ADIN,25.02.2015,"367,00",,,"367,00","0,00",,,
ADIN,26.02.2015,"367,00",,,"367,00","0,00",,,
ADIN,27.02.2015,"367,00",,,"367,00","0,00",,,
ADIN,02.03.2015,"367,00",,,"367,00","0,00",,,
ADIN,03.03.2015,"367,00",,,"367,00","0,00",,,
ADIN,04.03.2015,"367,00",,,"367,00","0,00",,,
ADIN,05.03.2015,"367,00",,,"367,00","0,00",,,
ADIN,06.03.2015,"367,00",,,"367,00","0,00",,,
ADIN,09.03.2015,"367,00",,,"367,00","0,00",,,
ADIN,10.03.2015,"367,00",,,"367,00","0,00",,,
ADIN,11.03.2015,"367,00",,,"367,00","0,00",,,
ADIN,12.03.2015,"367,00",,,"367,00","0,00",,,
ADIN,13.03.2015,"367,00",,,"367,00","0,00",,,
ADIN,16.03.2015,"367,00",,,"367,00","0,00",,,
ADIN,17.03.2015,"367,00",,,"367,00","0,00",,,
ADIN,18.03.2015,"367,00",,,"367,00","0,00",,,
ADIN,19.03.2015,"367,00",,,"367,00","0,00",,,
ADIN,20.03.2015,"367,00",,,"367,00","0,00",,,
ADIN,23.03.2015,"367,00",,,"367,00","0,00",,,
ADIN,24.03.2015,"367,00",,,"367,00","0,00",,,
ADIN,25.03.2015,"375,00","375,00","375,00","375,00","2,18",5.0,1.875,1.875
ADIN,26.03.2015,"375,00",,,"375,00","0,00",,,
ADIN,27.03.2015,"375,00",,,"375,00","0,00",,,
ADIN,30.03.2015,"375,00",,,"375,00","0,00",,,
ADIN,31.03.2015,"375,00",,,"375,00","0,00",,,
ADIN,01.04.2015,"375,00",,,"375,00","0,00",,,
ADIN,02.04.2015,"375,00",,,"375,00","0,00",,,
ADIN,03.04.2015,"375,00",,,"375,00","0,00",,,
ADIN,06.04.2015,"375,00",,,"375,00","0,00",,,
ADIN,07.04.2015,"375,00",,,"375,00","0,00",,,
ADIN,08.04.2015,"375,00",,,"375,00","0,00",,,
ADIN,09.04.2015,"375,00",,,"375,00","0,00",,,
ADIN,14.04.2015,"310,00","310,00","310,00","310,00","-17,33",100.0,31.0,31.0
ADIN,15.04.2015,"310,00",,,"310,00","0,00",,,
ADIN,16.04.2015,"310,00",,,"310,00","0,00",,,
ADIN,17.04.2015,"310,00",,,"310,00","0,00",,,
ADIN,20.04.2015,"310,00",,,"310,00","0,00",,,
ADIN,21.04.2015,"310,00",,,"310,00","0,00",,,
ADIN,22.04.2015,"310,00",,,"310,00","0,00",,,
ADIN,23.04.2015,"310,00",,,"310,00","0,00",,,
ADIN,24.04.2015,"310,00",,,"310,00","0,00",,,
ADIN,27.04.2015,"310,00",,,"310,00","0,00",,,
ADIN,28.04.2015,"310,00",,,"310,00","0,00",,,
ADIN,29.04.2015,"310,00",,,"310,00","0,00",,,
ADIN,30.04.2015,"310,00",,,"310,00","0,00",,,
ADIN,04.05.2015,"310,00",,,"310,00","0,00",,,
ADIN,05.05.2015,"310,00",,,"310,00","0,00",,,
ADIN,06.05.2015,"310,00",,,"310,00","0,00",,,
ADIN,07.05.2015,"310,00",,,"310,00","0,00",,,
ADIN,08.05.2015,"310,00",,,"310,00","0,00",,,
ADIN,11.05.2015,"310,00",,,"310,00","0,00",,,
ADIN,12.05.2015,"310,00",,,"310,00","0,00",,,
ADIN,13.05.2015,"310,00",,,"310,00","0,00",,,
ADIN,14.05.2015,"310,00",,,"310,00","0,00",,,
ADIN,15.05.2015,"310,00",,,"310,00","0,00",,,
ADIN,18.05.2015,"310,00",,,"310,00","0,00",,,
ADIN,19.05.2015,"310,00",,,"310,00","0,00",,,
ADIN,20.05.2015,"310,00",,,"310,00","0,00",,,
ADIN,21.05.2015,"310,00",,,"310,00","0,00",,,
ADIN,22.05.2015,"310,00",,,"310,00","0,00",,,
ADIN,26.05.2015,"310,00",,,"310,00","0,00",,,
ADIN,27.05.2015,"310,00",,,"310,00","0,00",,,
ADIN,28.05.2015,"310,00",,,"310,00","0,00",,,
ADIN,01.06.2015,"310,00",,,"310,00","0,00",,,
ADIN,02.06.2015,"310,00",,,"310,00","0,00",,,
ADIN,03.06.2015,"310,00",,,"310,00","0,00",,,
ADIN,04.06.2015,"310,00",,,"310,00","0,00",,,
ADIN,05.06.2015,"310,00",,,"310,00","0,00",,,
ADIN,08.06.2015,"310,00",,,"310,00","0,00",,,
ADIN,09.06.2015,"310,00",,,"310,00","0,00",,,
ADIN,10.06.2015,"310,00",,,"310,00","0,00",,,
ADIN,11.06.2015,"310,00",,,"310,00","0,00",,,
ADIN,12.06.2015,"310,00",,,"310,00","0,00",,,
ADIN,15.06.2015,"310,00",,,"310,00","0,00",,,
ADIN,16.06.2015,"310,00",,,"310,00","0,00",,,
ADIN,17.06.2015,"310,00",,,"310,00","0,00",,,
ADIN,18.06.2015,"310,00",,,"310,00","0,00",,,
ADIN,19.06.2015,"310,00",,,"310,00","0,00",,,
ADIN,22.06.2015,"310,00",,,"310,00","0,00",,,
ADIN,23.06.2015,"310,00",,,"310,00","0,00",,,
ADIN,24.06.2015,"310,00",,,"310,00","0,00",,,
ADIN,25.06.2015,"250,00","250,00","250,00","250,00","-19,35",576.0,144.0,144.0
ADIN,26.06.2015,"250,00",,,"250,00","0,00",,,
ADIN,29.06.2015,"250,00",,,"250,00","0,00",,,
ADIN,30.06.2015,"250,00",,,"250,00","0,00",,,
ADIN,01.07.2015,"250,00",,,"250,00","0,00",,,
ADIN,02.07.2015,"250,00",,,"250,00","0,00",,,
ADIN,03.07.2015,"250,00",,,"250,00","0,00",,,
ADIN,06.07.2015,"250,00",,,"250,00","0,00",,,
ADIN,07.07.2015,"250,00",,,"250,00","0,00",,,
ADIN,08.07.2015,"250,00",,,"250,00","0,00",,,
ADIN,09.07.2015,"250,00",,,"250,00","0,00",,,
ADIN,10.07.2015,"250,00",,,"250,00","0,00",,,
ADIN,13.07.2015,"250,00",,,"250,00","0,00",,,
ADIN,14.07.2015,"250,00",,,"250,00","0,00",,,
ADIN,15.07.2015,"250,00",,,"250,00","0,00",,,
ADIN,16.07.2015,"250,00",,,"250,00","0,00",,,
ADIN,20.07.2015,"250,00",,,"250,00","0,00",,,
ADIN,21.07.2015,"250,00",,,"250,00","0,00",,,
ADIN,22.07.2015,"250,00",,,"250,00","0,00",,,
ADIN,23.07.2015,"250,00",,,"250,00","0,00",,,
ADIN,24.07.2015,"250,00",,,"250,00","0,00",,,
ADIN,27.07.2015,"250,00",,,"250,00","0,00",,,
ADIN,28.07.2015,"250,00",,,"250,00","0,00",,,
ADIN,29.07.2015,"250,00",,,"250,00","0,00",,,
ADIN,30.07.2015,"250,00",,,"250,00","0,00",,,
ADIN,31.07.2015,"250,00",,,"250,00","0,00",,,
ADIN,04.08.2015,"250,00",,,"250,00","0,00",,,
ADIN,05.08.2015,"250,00",,,"250,00","0,00",,,
ADIN,06.08.2015,"250,00",,,"250,00","0,00",,,
ADIN,07.08.2015,"250,00",,,"250,00","0,00",,,
ADIN,10.08.2015,"250,00",,,"250,00","0,00",,,
ADIN,11.08.2015,"250,00",,,"250,00","0,00",,,
ADIN,12.08.2015,"250,00",,,"250,00","0,00",,,
ADIN,13.08.2015,"250,00",,,"250,00","0,00",,,
ADIN,14.08.2015,"250,00",,,"250,00","0,00",,,
ADIN,17.08.2015,"250,00",,,"250,00","0,00",,,
ADIN,18.08.2015,"265,00","265,00","265,00","265,00","6,00",1.467,388.755,388.755
ADIN,19.08.2015,"265,00",,,"265,00","0,00",,,
ADIN,20.08.2015,"265,00",,,"265,00","0,00",,,
ADIN,21.08.2015,"265,00",,,"265,00","0,00",,,
ADIN,24.08.2015,"265,00",,,"265,00","0,00",,,
ADIN,25.08.2015,"265,00",,,"265,00","0,00",,,
ADIN,26.08.2015,"265,00",,,"265,00","0,00",,,
ADIN,27.08.2015,"265,00",,,"265,00","0,00",,,
ADIN,31.08.2015,"265,00",,,"265,00","0,00",,,
ADIN,01.09.2015,"265,00",,,"265,00","0,00",,,
ADIN,02.09.2015,"265,00",,,"265,00","0,00",,,
ADIN,03.09.2015,"265,00",,,"265,00","0,00",,,
ADIN,04.09.2015,"265,00",,,"265,00","0,00",,,
ADIN,07.09.2015,"265,00",,,"265,00","0,00",,,
ADIN,09.09.2015,"265,00",,,"265,00","0,00",,,
ADIN,10.09.2015,"265,00",,,"265,00","0,00",,,
ADIN,11.09.2015,"265,00",,,"265,00","0,00",,,
ADIN,14.09.2015,"265,00",,,"265,00","0,00",,,
