Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
ALK,13.11.2014,"4.860,00","4.860,00","4.850,00","4.856,25","-0,64",8.0,38.850,38.850
ALK,14.11.2014,"4.949,00","4.949,00","4.860,00","4.908,29","1,07",35.0,171.790,171.790
ALK,17.11.2014,"4.900,00","4.900,00","4.861,00","4.892,84","-0,31",143.0,699.676,699.676
ALK,18.11.2014,"5.000,00","5.000,00","4.862,00","4.991,55","2,02",1.388,6.928.265,6.928.265
ALK,19.11.2014,"5.002,00","5.002,00","5.000,00","5.000,07","0,17",305.0,1.525.020,1.525.020
ALK,20.11.2014,"5.000,00","5.000,00","5.000,00","5.000,00","0,00",132.0,660.000,660.000
ALK,21.11.2014,"5.000,00","5.030,00","5.000,00","5.025,31","0,51",1.586,7.970.141,7.970.141
ALK,24.11.2014,"4.910,00","4.999,00","4.910,00","4.984,17","-0,82",12.0,59.810,59.810
ALK,25.11.2014,"4.950,00","4.962,00","4.950,00","4.950,24","-0,68",101.0,499.974,499.974
ALK,26.11.2014,"4.950,00","4.951,00","4.950,00","4.950,88","0,01",17.0,84.165,84.165
ALK,27.11.2014,"5.000,00","5.000,00","4.950,00","4.989,15","0,77",259.0,1.292.190,1.292.190
ALK,28.11.2014,"5.138,00","5.138,00","5.000,00","5.134,23","2,91",1.311,6.730.976,6.730.976
ALK,01.12.2014,"5.140,00","5.210,00","5.138,00","5.200,80","1,30",163.0,847.730,847.730
ALK,02.12.2014,"5.050,00","5.200,00","5.050,00","5.157,34","-0,84",148.0,763.286,763.286
ALK,04.12.2014,"5.150,00","5.150,00","5.050,00","5.097,37","-1,16",19.0,96.850,96.850
ALK,05.12.2014,"5.051,00","5.051,00","5.051,00","5.051,00","-0,91",55.0,277.805,277.805
ALK,09.12.2014,"5.001,00","5.001,00","5.001,00","5.001,00","-0,99",10.0,50.010,50.010
ALK,10.12.2014,"5.000,00","5.001,00","5.000,00","5.000,24","-0,02",393.0,1.965.093,1.965.093
ALK,11.12.2014,"5.000,00","5.000,00","5.000,00","5.000,00","0,00",48.0,240.000,240.000
ALK,12.12.2014,"5.050,00","5.050,00","5.000,00","5.048,67","0,97",375.0,1.893.250,1.893.250
ALK,15.12.2014,"5.000,00","5.000,00","5.000,00","5.000,00","-0,96",103.0,515.000,515.000
ALK,16.12.2014,"5.002,00","5.002,00","5.001,00","5.001,74","0,03",38.0,190.066,190.066
ALK,17.12.2014,"5.005,00","5.030,00","5.002,00","5.017,70","0,32",200.0,1.003.540,1.003.540
ALK,18.12.2014,"5.005,00","5.030,00","5.005,00","5.026,74","0,18",230.0,1.156.150,1.156.150
ALK,19.12.2014,"5.005,00","5.005,00","5.005,00","5.005,00","-0,43",314.0,1.571.570,1.571.570
ALK,22.12.2014,"5.000,00","5.030,00","5.000,00","5.022,78","0,36",45.0,226.025,226.025
ALK,23.12.2014,"5.001,00","5.030,00","5.000,00","5.024,83","0,04",544.0,2.733.505,2.733.505
ALK,24.12.2014,"5.000,00","5.000,00","5.000,00","5.000,00","-0,49",514.0,2.570.000,2.570.000
ALK,25.12.2014,"5.030,00","5.030,00","5.020,00","5.029,05","0,58",644.0,3.238.705,3.238.705
ALK,26.12.2014,"5.050,00","5.050,00","5.050,00","5.050,00","0,42",6.0,30.300,30.300
ALK,29.12.2014,"5.050,00","5.050,00","5.049,00","5.049,86","0,00",820.0,4.140.886,4.140.886
ALK,30.12.2014,"5.100,00","5.100,00","5.070,00","5.087,79","0,75",68.0,345.970,345.970
ALK,02.01.2015,"5.100,00","5.100,00","5.100,00","5.100,00","0,24",40.0,204.000,204.000
ALK,05.01.2015,"5.050,00","5.050,00","5.050,00","5.050,00","-0,98",14.0,70.700,70.700
ALK,08.01.2015,"5.050,00","5.100,00","5.050,00","5.084,93","0,69",229.0,1.164.450,1.164.450
ALK,09.01.2015,"5.040,00","5.050,00","5.005,00","5.033,55","-1,01",307.0,1.545.300,1.545.300
ALK,12.01.2015,"5.100,00","5.100,00","5.050,00","5.082,47","0,97",77.0,391.350,391.350
ALK,13.01.2015,"5.050,00","5.100,00","5.035,00","5.068,25","-0,28",493.0,2.498.645,2.498.645
ALK,14.01.2015,"5.050,00","5.100,00","5.050,00","5.095,88","0,55",167.0,851.012,851.012
ALK,15.01.2015,"5.099,00","5.099,00","5.090,00","5.093,46","-0,05",13.0,66.215,66.215
ALK,16.01.2015,"5.050,00","5.099,00","5.032,00","5.053,18","-0,79",253.0,1.278.454,1.278.454
ALK,20.01.2015,"5.051,00","5.051,00","5.050,00","5.050,15","-0,06",66.0,333.310,333.310
ALK,21.01.2015,"5.099,00","5.099,00","5.051,00","5.074,05","0,47",1.043,5.292.229,5.292.229
