Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
ALKB,13.11.2014,"12.000,00",,,"12.000,00","0,00",,,
ALKB,14.11.2014,"12.000,00",,,"12.000,00","0,00",,,
ALKB,17.11.2014,"12.000,00",,,"12.000,00","0,00",,,
ALKB,18.11.2014,"12.000,00",,,"12.000,00","0,00",,,
ALKB,19.11.2014,"12.000,00",,,"12.000,00","0,00",,,
ALKB,20.11.2014,"12.000,00",,,"12.000,00","0,00",,,
ALKB,21.11.2014,"12.000,00",,,"12.000,00","0,00",,,
ALKB,24.11.2014,"12.000,00",,,"12.000,00","0,00",,,
ALKB,25.11.2014,"12.000,00",,,"12.000,00","0,00",,,
ALKB,26.11.2014,"12.000,00",,,"12.000,00","0,00",,,
ALKB,27.11.2014,"12.000,00",,,"12.000,00","0,00",,,
ALKB,28.11.2014,"12.000,00",,,"12.000,00","0,00",,,
ALKB,01.12.2014,"12.000,00",,,"12.000,00","0,00",,,
ALKB,02.12.2014,"12.000,00",,,"12.000,00","0,00",,,
ALKB,04.12.2014,"12.000,00",,,"12.000,00","0,00",,,
ALKB,05.12.2014,"12.000,00",,,"12.000,00","0,00",,,
ALKB,09.12.2014,"12.000,00",,,"12.000,00","0,00",,,
ALKB,10.12.2014,"12.000,00",,,"12.000,00","0,00",,,
ALKB,11.12.2014,"12.000,00",,,"12.000,00","0,00",,,
ALKB,12.12.2014,"12.000,00",,,"12.000,00","0,00",,,
ALKB,15.12.2014,"12.000,00",,,"12.000,00","0,00",,,
ALKB,16.12.2014,"12.000,00",,,"12.000,00","0,00",,,
ALKB,17.12.2014,"12.000,00",,,"12.000,00","0,00",,,
ALKB,18.12.2014,"12.000,00",,,"12.000,00","0,00",,,
ALKB,19.12.2014,"12.000,00",,,"12.000,00","0,00",,,
ALKB,22.12.2014,"12.000,00",,,"12.000,00","0,00",,,
ALKB,23.12.2014,"12.000,00",,,"12.000,00","0,00",,,
ALKB,24.12.2014,"12.000,00",,,"12.000,00","0,00",,,
ALKB,25.12.2014,"12.000,00",,,"12.000,00","0,00",,,
ALKB,26.12.2014,"12.000,00",,,"12.000,00","0,00",,,
ALKB,29.12.2014,"12.000,00",,,"12.000,00","0,00",,,
ALKB,30.12.2014,"12.000,00",,,"12.000,00","0,00",,,
ALKB,02.01.2015,"12.000,00",,,"12.000,00","0,00",,,
ALKB,05.01.2015,"12.000,00",,,"12.000,00","0,00",,,
ALKB,08.01.2015,"12.000,00",,,"12.000,00","0,00",,,
ALKB,09.01.2015,"12.000,00",,,"12.000,00","0,00",,,
ALKB,12.01.2015,"12.000,00",,,"12.000,00","0,00",,,
ALKB,13.01.2015,"12.000,00",,,"12.000,00","0,00",,,
ALKB,14.01.2015,"12.000,00",,,"12.000,00","0,00",,,
ALKB,15.01.2015,"12.000,00",,,"12.000,00","0,00",,,
ALKB,16.01.2015,"12.000,00",,,"12.000,00","0,00",,,
ALKB,20.01.2015,"12.000,00",,,"12.000,00","0,00",,,
ALKB,21.01.2015,"12.000,00",,,"12.000,00","0,00",,,
ALKB,22.01.2015,"12.000,00",,,"12.000,00","0,00",,,
ALKB,23.01.2015,"12.000,00",,,"12.000,00","0,00",,,
ALKB,26.01.2015,"12.000,00",,,"12.000,00","0,00",,,
ALKB,27.01.2015,"12.000,00",,,"12.000,00","0,00",,,
ALKB,28.01.2015,"12.000,00",,,"12.000,00","0,00",,,
ALKB,29.01.2015,"12.000,00",,,"12.000,00","0,00",,,
ALKB,30.01.2015,"12.000,00",,,"12.000,00","0,00",,,
ALKB,02.02.2015,"12.000,00",,,"12.000,00","0,00",,,
ALKB,03.02.2015,"12.000,00",,,"12.000,00","0,00",,,
ALKB,04.02.2015,"12.000,00",,,"12.000,00","0,00",,,
ALKB,05.02.2015,"12.000,00",,,"12.000,00","0,00",,,
ALKB,06.02.2015,"12.000,00",,,"12.000,00","0,00",,,
ALKB,09.02.2015,"12.000,00",,,"12.000,00","0,00",,,
ALKB,10.02.2015,"12.000,00",,,"12.000,00","0,00",,,
ALKB,11.02.2015,"12.000,00",,,"12.000,00","0,00",,,
ALKB,12.02.2015,"12.000,00",,,"12.000,00","0,00",,,
