Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
AMEH,13.11.2014,"400,00",,,"400,00","0,00",,,
AMEH,14.11.2014,"400,00",,,"400,00","0,00",,,
AMEH,17.11.2014,"400,00",,,"400,00","0,00",,,
AMEH,18.11.2014,"400,00",,,"400,00","0,00",,,
AMEH,19.11.2014,"400,00",,,"400,00","0,00",,,
AMEH,20.11.2014,"400,00",,,"400,00","0,00",,,
AMEH,21.11.2014,"400,00",,,"400,00","0,00",,,
AMEH,24.11.2014,"400,00",,,"400,00","0,00",,,
AMEH,25.11.2014,"400,00",,,"400,00","0,00",,,
AMEH,26.11.2014,"400,00",,,"400,00","0,00",,,
AMEH,27.11.2014,"400,00",,,"400,00","0,00",,,
AMEH,28.11.2014,"400,00",,,"400,00","0,00",,,
AMEH,01.12.2014,"400,00",,,"400,00","0,00",,,
AMEH,02.12.2014,"400,00",,,"400,00","0,00",,,
AMEH,04.12.2014,"400,00",,,"400,00","0,00",,,
AMEH,05.12.2014,"400,00",,,"400,00","0,00",,,
AMEH,09.12.2014,"400,00",,,"400,00","0,00",,,
AMEH,10.12.2014,"400,00",,,"400,00","0,00",,,
AMEH,11.12.2014,"400,00",,,"400,00","0,00",,,
AMEH,12.12.2014,"400,00",,,"400,00","0,00",,,
AMEH,15.12.2014,"400,00",,,"400,00","0,00",,,
AMEH,16.12.2014,"400,00",,,"400,00","0,00",,,
AMEH,17.12.2014,"400,00",,,"400,00","0,00",,,
AMEH,18.12.2014,"400,00",,,"400,00","0,00",,,
AMEH,19.12.2014,"400,00",,,"400,00","0,00",,,
AMEH,22.12.2014,"400,00",,,"400,00","0,00",,,
AMEH,23.12.2014,"400,00",,,"400,00","0,00",,,
AMEH,24.12.2014,"400,00",,,"400,00","0,00",,,
AMEH,25.12.2014,"400,00",,,"400,00","0,00",,,
AMEH,26.12.2014,"400,00",,,"400,00","0,00",,,
AMEH,29.12.2014,"400,00",,,"400,00","0,00",,,
AMEH,30.12.2014,"400,00",,,"400,00","0,00",,,
AMEH,02.01.2015,"400,00",,,"400,00","0,00",,,
AMEH,05.01.2015,"400,00",,,"400,00","0,00",,,
AMEH,08.01.2015,"400,00",,,"400,00","0,00",,,
AMEH,09.01.2015,"400,00",,,"400,00","0,00",,,
AMEH,12.01.2015,"400,00",,,"400,00","0,00",,,
AMEH,13.01.2015,"400,00",,,"400,00","0,00",,,
AMEH,14.01.2015,"400,00",,,"400,00","0,00",,,
AMEH,15.01.2015,"400,00",,,"400,00","0,00",,,
AMEH,16.01.2015,"400,00",,,"400,00","0,00",,,
AMEH,20.01.2015,"400,00",,,"400,00","0,00",,,
AMEH,21.01.2015,"400,00",,,"400,00","0,00",,,
AMEH,22.01.2015,"400,00",,,"400,00","0,00",,,
AMEH,23.01.2015,"400,00",,,"400,00","0,00",,,
AMEH,26.01.2015,"400,00",,,"400,00","0,00",,,
AMEH,27.01.2015,"400,00",,,"400,00","0,00",,,
AMEH,28.01.2015,"400,00",,,"400,00","0,00",,,
AMEH,29.01.2015,"400,00",,,"400,00","0,00",,,
AMEH,30.01.2015,"400,00",,,"400,00","0,00",,,
AMEH,02.02.2015,"400,00",,,"400,00","0,00",,,
AMEH,03.02.2015,"400,00",,,"400,00","0,00",,,
AMEH,04.02.2015,"400,00",,,"400,00","0,00",,,
AMEH,05.02.2015,"400,00",,,"400,00","0,00",,,
AMEH,06.02.2015,"400,00",,,"400,00","0,00",,,
AMEH,09.02.2015,"400,00",,,"400,00","0,00",,,
AMEH,10.02.2015,"400,00",,,"400,00","0,00",,,
AMEH,11.02.2015,"400,00",,,"400,00","0,00",,,
AMEH,12.02.2015,"400,00",,,"400,00","0,00",,,
AMEH,13.02.2015,"400,00",,,"400,00","0,00",,,
AMEH,16.02.2015,"400,00",,,"400,00","0,00",,,
AMEH,17.02.2015,"400,00",,,"400,00","0,00",,,
AMEH,18.02.2015,"400,00",,,"400,00","0,00",,,
AMEH,19.02.2015,"400,00",,,"400,00","0,00",,,
AMEH,20.02.2015,"400,00",,,"400,00","0,00",,,
AMEH,23.02.2015,"400,00",,,"400,00","0,00",,,
AMEH,24.02.2015,"400,00",,,"400,00","0,00",,,
AMEH,25.02.2015,"400,00",,,"400,00","0,00",,,
AMEH,26.02.2015,"400,00",,,"400,00","0,00",,,
AMEH,27.02.2015,"400,00",,,"400,00","0,00",,,
AMEH,02.03.2015,"400,00",,,"400,00","0,00",,,
AMEH,03.03.2015,"400,00",,,"400,00","0,00",,,
AMEH,04.03.2015,"400,00",,,"400,00","0,00",,,
AMEH,05.03.2015,"400,00",,,"400,00","0,00",,,
AMEH,06.03.2015,"400,00",,,"400,00","0,00",,,
AMEH,09.03.2015,"400,00",,,"400,00","0,00",,,
AMEH,10.03.2015,"400,00",,,"400,00","0,00",,,
AMEH,11.03.2015,"400,00",,,"400,00","0,00",,,
AMEH,12.03.2015,"400,00",,,"400,00","0,00",,,
AMEH,13.03.2015,"400,00",,,"400,00","0,00",,,
AMEH,16.03.2015,"400,00",,,"400,00","0,00",,,
AMEH,17.03.2015,"400,00",,,"400,00","0,00",,,
AMEH,18.03.2015,"400,00",,,"400,00","0,00",,,
AMEH,19.03.2015,"400,00",,,"400,00","0,00",,,
AMEH,20.03.2015,"400,00",,,"400,00","0,00",,,
AMEH,23.03.2015,"400,00",,,"400,00","0,00",,,
AMEH,24.03.2015,"400,00",,,"400,00","0,00",,,
AMEH,25.03.2015,"400,00",,,"400,00","0,00",,,
AMEH,26.03.2015,"400,00",,,"400,00","0,00",,,
AMEH,27.03.2015,"400,00",,,"400,00","0,00",,,
AMEH,30.03.2015,"400,00",,,"400,00","0,00",,,
AMEH,31.03.2015,"400,00",,,"400,00","0,00",,,
AMEH,01.04.2015,"400,00",,,"400,00","0,00",,,
AMEH,02.04.2015,"400,00",,,"400,00","0,00",,,
AMEH,03.04.2015,"400,00",,,"400,00","0,00",,,
AMEH,06.04.2015,"400,00",,,"400,00","0,00",,,
AMEH,07.04.2015,"400,00",,,"400,00","0,00",,,
AMEH,08.04.2015,"400,00",,,"400,00","0,00",,,
AMEH,09.04.2015,"400,00",,,"400,00","0,00",,,
AMEH,14.04.2015,"400,00",,,"400,00","0,00",,,
AMEH,15.04.2015,"400,00",,,"400,00","0,00",,,
AMEH,16.04.2015,"400,00",,,"400,00","0,00",,,
AMEH,17.04.2015,"400,00",,,"400,00","0,00",,,
AMEH,20.04.2015,"400,00",,,"400,00","0,00",,,
AMEH,21.04.2015,"400,00",,,"400,00","0,00",,,
AMEH,22.04.2015,"400,00",,,"400,00","0,00",,,
AMEH,23.04.2015,"400,00",,,"400,00","0,00",,,
AMEH,24.04.2015,"400,00",,,"400,00","0,00",,,
AMEH,27.04.2015,"400,00",,,"400,00","0,00",,,
AMEH,28.04.2015,"400,00",,,"400,00","0,00",,,
AMEH,29.04.2015,"400,00",,,"400,00","0,00",,,
AMEH,30.04.2015,"400,00",,,"400,00","0,00",,,
AMEH,04.05.2015,"400,00",,,"400,00","0,00",,,
AMEH,05.05.2015,"400,00",,,"400,00","0,00",,,
AMEH,06.05.2015,"400,00",,,"400,00","0,00",,,
AMEH,07.05.2015,"400,00",,,"400,00","0,00",,,
AMEH,08.05.2015,"400,00",,,"400,00","0,00",,,
AMEH,11.05.2015,"400,00",,,"400,00","0,00",,,
AMEH,12.05.2015,"400,00",,,"400,00","0,00",,,
AMEH,13.05.2015,"400,00",,,"400,00","0,00",,,
AMEH,14.05.2015,"400,00",,,"400,00","0,00",,,
AMEH,15.05.2015,"400,00",,,"400,00","0,00",,,
AMEH,18.05.2015,"400,00",,,"400,00","0,00",,,
AMEH,19.05.2015,"400,00",,,"400,00","0,00",,,
AMEH,20.05.2015,"400,00",,,"400,00","0,00",,,
AMEH,21.05.2015,"400,00",,,"400,00","0,00",,,
AMEH,22.05.2015,"400,00",,,"400,00","0,00",,,
AMEH,26.05.2015,"400,00",,,"400,00","0,00",,,
AMEH,27.05.2015,"400,00",,,"400,00","0,00",,,
AMEH,28.05.2015,"400,00",,,"400,00","0,00",,,
AMEH,01.06.2015,"400,00",,,"400,00","0,00",,,
AMEH,02.06.2015,"400,00",,,"400,00","0,00",,,
AMEH,03.06.2015,"400,00",,,"400,00","0,00",,,
AMEH,04.06.2015,"400,00",,,"400,00","0,00",,,
AMEH,05.06.2015,"400,00",,,"400,00","0,00",,,
