Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
APTK,13.11.2014,"750,00",,,"750,00","0,00",,,
APTK,14.11.2014,"750,00",,,"750,00","0,00",,,
APTK,17.11.2014,"750,00",,,"750,00","0,00",,,
APTK,18.11.2014,"750,00",,,"750,00","0,00",,,
APTK,19.11.2014,"750,00",,,"750,00","0,00",,,
APTK,20.11.2014,"750,00",,,"750,00","0,00",,,
APTK,21.11.2014,"750,00",,,"750,00","0,00",,,
APTK,24.11.2014,"750,00",,,"750,00","0,00",,,
APTK,25.11.2014,"750,00",,,"750,00","0,00",,,
APTK,26.11.2014,"750,00",,,"750,00","0,00",,,
APTK,27.11.2014,"750,00",,,"750,00","0,00",,,
APTK,28.11.2014,"750,00",,,"750,00","0,00",,,
APTK,01.12.2014,"750,00",,,"750,00","0,00",,,
APTK,02.12.2014,"750,00",,,"750,00","0,00",,,
APTK,04.12.2014,"750,00",,,"750,00","0,00",,,
APTK,05.12.2014,"750,00",,,"750,00","0,00",,,
APTK,09.12.2014,"750,00",,,"750,00","0,00",,,
APTK,10.12.2014,"750,00",,,"750,00","0,00",,,
APTK,11.12.2014,"750,00",,,"750,00","0,00",,,
APTK,12.12.2014,"750,00",,,"750,00","0,00",,,
APTK,15.12.2014,"750,00",,,"750,00","0,00",,,
APTK,16.12.2014,"750,00",,,"750,00","0,00",,,
APTK,17.12.2014,"750,00",,,"750,00","0,00",,,
APTK,18.12.2014,"750,00",,,"750,00","0,00",,,
APTK,19.12.2014,"750,00",,,"750,00","0,00",,,
APTK,22.12.2014,"750,00",,,"750,00","0,00",,,
APTK,23.12.2014,"750,00",,,"750,00","0,00",,,
APTK,24.12.2014,"750,00",,,"750,00","0,00",,,
APTK,25.12.2014,"750,00",,,"750,00","0,00",,,
APTK,26.12.2014,"750,00",,,"750,00","0,00",,,
APTK,29.12.2014,"750,00","750,00","750,00","750,00","0,00",1.1,825.0,825.0
APTK,30.12.2014,"750,00",,,"750,00","0,00",,,
APTK,02.01.2015,"750,00",,,"750,00","0,00",,,
APTK,05.01.2015,"750,00",,,"750,00","0,00",,,
APTK,08.01.2015,"750,00",,,"750,00","0,00",,,
APTK,09.01.2015,"750,00",,,"750,00","0,00",,,
APTK,12.01.2015,"750,00",,,"750,00","0,00",,,
APTK,13.01.2015,"750,00",,,"750,00","0,00",,,
APTK,14.01.2015,"750,00",,,"750,00","0,00",,,
APTK,15.01.2015,"750,00",,,"750,00","0,00",,,
APTK,16.01.2015,"750,00",,,"750,00","0,00",,,
APTK,20.01.2015,"750,00",,,"750,00","0,00",,,
APTK,21.01.2015,"750,00",,,"750,00","0,00",,,
APTK,22.01.2015,"750,00",,,"750,00","0,00",,,
APTK,23.01.2015,"750,00",,,"750,00","0,00",,,
APTK,26.01.2015,"750,00",,,"750,00","0,00",,,
APTK,27.01.2015,"750,00",,,"750,00","0,00",,,
APTK,28.01.2015,"750,00",,,"750,00","0,00",,,
