Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
ATPP,13.11.2014,"307,00",,,"307,00","0,00",,,
ATPP,14.11.2014,"307,00",,,"307,00","0,00",,,
ATPP,17.11.2014,"307,00",,,"307,00","0,00",,,
ATPP,18.11.2014,"307,00",,,"307,00","0,00",,,
ATPP,19.11.2014,"307,00",,,"307,00","0,00",,,
ATPP,20.11.2014,"307,00",,,"307,00","0,00",,,
ATPP,21.11.2014,"307,00",,,"307,00","0,00",,,
ATPP,24.11.2014,"307,00","307,00","307,00","307,00","0,00",24.0,7.368,7.368
ATPP,25.11.2014,"307,00",,,"307,00","0,00",,,
ATPP,26.11.2014,"307,00","307,00","307,00","307,00","0,00",23.0,7.061,7.061
ATPP,27.11.2014,"307,00",,,"307,00","0,00",,,
ATPP,28.11.2014,"307,00",,,"307,00","0,00",,,
ATPP,01.12.2014,"307,00",,,"307,00","0,00",,,
ATPP,02.12.2014,"307,00",,,"307,00","0,00",,,
ATPP,04.12.2014,"307,00",,,"307,00","0,00",,,
ATPP,05.12.2014,"307,00",,,"307,00","0,00",,,
ATPP,09.12.2014,"307,00",,,"307,00","0,00",,,
ATPP,10.12.2014,"307,00",,,"307,00","0,00",,,
ATPP,11.12.2014,"307,00",,,"307,00","0,00",,,
ATPP,12.12.2014,"307,00",,,"307,00","0,00",,,
ATPP,15.12.2014,"307,00",,,"307,00","0,00",,,
ATPP,16.12.2014,"307,00",,,"307,00","0,00",,,
ATPP,17.12.2014,"307,00",,,"307,00","0,00",,,
ATPP,18.12.2014,"307,00",,,"307,00","0,00",,,
ATPP,19.12.2014,"307,00",,,"307,00","0,00",,,
ATPP,22.12.2014,"307,00",,,"307,00","0,00",,,
ATPP,23.12.2014,"307,00",,,"307,00","0,00",,,
ATPP,24.12.2014,"307,00","307,00","307,00","307,00","0,00",18.0,5.526,5.526
ATPP,25.12.2014,"307,00",,,"307,00","0,00",,,
ATPP,26.12.2014,"307,00",,,"307,00","0,00",,,
ATPP,29.12.2014,"307,00",,,"307,00","0,00",,,
ATPP,30.12.2014,"307,00",,,"307,00","0,00",,,
ATPP,02.01.2015,"307,00",,,"307,00","0,00",,,
ATPP,05.01.2015,"307,00",,,"307,00","0,00",,,
ATPP,08.01.2015,"307,00",,,"307,00","0,00",,,
ATPP,09.01.2015,"307,00",,,"307,00","0,00",,,
ATPP,12.01.2015,"307,00",,,"307,00","0,00",,,
ATPP,13.01.2015,"307,00",,,"307,00","0,00",,,
ATPP,14.01.2015,"307,00",,,"307,00","0,00",,,
ATPP,15.01.2015,"307,00",,,"307,00","0,00",,,
ATPP,16.01.2015,"307,00",,,"307,00","0,00",,,
ATPP,20.01.2015,"307,00",,,"307,00","0,00",,,
ATPP,21.01.2015,"307,00",,,"307,00","0,00",,,
ATPP,22.01.2015,"307,00",,,"307,00","0,00",,,
ATPP,23.01.2015,"307,00",,,"307,00","0,00",,,
ATPP,26.01.2015,"307,00",,,"307,00","0,00",,,
ATPP,27.01.2015,"307,00",,,"307,00","0,00",,,
ATPP,28.01.2015,"307,00",,,"307,00","0,00",,,
ATPP,29.01.2015,"307,00",,,"307,00","0,00",,,
ATPP,30.01.2015,"307,00",,,"307,00","0,00",,,
ATPP,02.02.2015,"307,00",,,"307,00","0,00",,,
ATPP,03.02.2015,"307,00",,,"307,00","0,00",,,
ATPP,04.02.2015,"307,00",,,"307,00","0,00",,,
ATPP,05.02.2015,"307,00",,,"307,00","0,00",,,
ATPP,06.02.2015,"307,00","307,00","307,00","307,00","0,00",22.0,6.754,6.754
ATPP,09.02.2015,"307,00",,,"307,00","0,00",,,
ATPP,10.02.2015,"307,00",,,"307,00","0,00",,,
ATPP,11.02.2015,"307,00",,,"307,00","0,00",,,
ATPP,12.02.2015,"307,00",,,"307,00","0,00",,,
ATPP,13.02.2015,"307,00",,,"307,00","0,00",,,
ATPP,16.02.2015,"307,00",,,"307,00","0,00",,,
ATPP,17.02.2015,"307,00",,,"307,00","0,00",,,
ATPP,18.02.2015,"307,00",,,"307,00","0,00",,,
ATPP,19.02.2015,"307,00",,,"307,00","0,00",,,
ATPP,20.02.2015,"307,00",,,"307,00","0,00",,,
ATPP,23.02.2015,"307,00",,,"307,00","0,00",,,
ATPP,24.02.2015,"307,00",,,"307,00","0,00",,,
ATPP,25.02.2015,"307,00",,,"307,00","0,00",,,
ATPP,26.02.2015,"307,00",,,"307,00","0,00",,,
ATPP,27.02.2015,"307,00",,,"307,00","0,00",,,
ATPP,02.03.2015,"307,00",,,"307,00","0,00",,,
ATPP,03.03.2015,"307,00",,,"307,00","0,00",,,
ATPP,04.03.2015,"307,00",,,"307,00","0,00",,,
ATPP,05.03.2015,"307,00",,,"307,00","0,00",,,
ATPP,06.03.2015,"307,00",,,"307,00","0,00",,,
ATPP,09.03.2015,"307,00",,,"307,00","0,00",,,
ATPP,10.03.2015,"307,00",,,"307,00","0,00",,,
ATPP,11.03.2015,"307,00",,,"307,00","0,00",,,
ATPP,12.03.2015,"307,00",,,"307,00","0,00",,,
