Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
AUMK,13.11.2014,"1.300,00",,,"1.300,00","0,00",,,
AUMK,14.11.2014,"1.300,00",,,"1.300,00","0,00",,,
AUMK,17.11.2014,"1.300,00",,,"1.300,00","0,00",,,
AUMK,18.11.2014,"1.300,00",,,"1.300,00","0,00",,,
AUMK,19.11.2014,"1.300,00",,,"1.300,00","0,00",,,
AUMK,20.11.2014,"1.300,00",,,"1.300,00","0,00",,,
AUMK,21.11.2014,"1.300,00",,,"1.300,00","0,00",,,
AUMK,24.11.2014,"1.300,00","1.300,00","1.300,00","1.300,00","0,00",100.0,130.0,130.0
AUMK,25.11.2014,"1.300,00",,,"1.300,00","0,00",,,
AUMK,26.11.2014,"1.300,00",,,"1.300,00","0,00",,,
AUMK,27.11.2014,"1.300,00",,,"1.300,00","0,00",,,
AUMK,28.11.2014,"1.300,00",,,"1.300,00","0,00",,,
AUMK,01.12.2014,"1.300,00",,,"1.300,00","0,00",,,
AUMK,02.12.2014,"1.300,00",,,"1.300,00","0,00",,,
AUMK,04.12.2014,"1.300,00",,,"1.300,00","0,00",,,
AUMK,05.12.2014,"1.300,00",,,"1.300,00","0,00",,,
AUMK,09.12.2014,"1.300,00",,,"1.300,00","0,00",,,
AUMK,10.12.2014,"1.300,00",,,"1.300,00","0,00",,,
AUMK,11.12.2014,"1.300,00",,,"1.300,00","0,00",,,
AUMK,12.12.2014,"1.300,00",,,"1.300,00","0,00",,,
AUMK,15.12.2014,"1.300,00",,,"1.300,00","0,00",,,
AUMK,16.12.2014,"1.300,00",,,"1.300,00","0,00",,,
AUMK,17.12.2014,"1.300,00",,,"1.300,00","0,00",,,
AUMK,18.12.2014,"1.300,00",,,"1.300,00","0,00",,,
AUMK,19.12.2014,"1.300,00",,,"1.300,00","0,00",,,
AUMK,22.12.2014,"1.300,00",,,"1.300,00","0,00",,,
AUMK,23.12.2014,"1.300,00",,,"1.300,00","0,00",,,
AUMK,24.12.2014,"1.300,00",,,"1.300,00","0,00",,,
AUMK,25.12.2014,"1.300,00",,,"1.300,00","0,00",,,
AUMK,26.12.2014,"1.300,00",,,"1.300,00","0,00",,,
AUMK,29.12.2014,"1.300,00",,,"1.300,00","0,00",,,
AUMK,30.12.2014,"1.300,00",,,"1.300,00","0,00",,,
AUMK,02.01.2015,"1.300,00",,,"1.300,00","0,00",,,
AUMK,05.01.2015,"1.300,00",,,"1.300,00","0,00",,,
AUMK,08.01.2015,"1.300,00",,,"1.300,00","0,00",,,
AUMK,09.01.2015,"1.300,00",,,"1.300,00","0,00",,,
AUMK,12.01.2015,"1.300,00",,,"1.300,00","0,00",,,
AUMK,13.01.2015,"1.300,00",,,"1.300,00","0,00",,,
AUMK,14.01.2015,"1.300,00",,,"1.300,00","0,00",,,
AUMK,15.01.2015,"1.300,00",,,"1.300,00","0,00",,,
AUMK,16.01.2015,"1.300,00",,,"1.300,00","0,00",,,
AUMK,20.01.2015,"1.300,00",,,"1.300,00","0,00",,,
AUMK,21.01.2015,"1.300,00",,,"1.300,00","0,00",,,
AUMK,22.01.2015,"1.300,00",,,"1.300,00","0,00",,,
AUMK,23.01.2015,"1.300,00",,,"1.300,00","0,00",,,
AUMK,26.01.2015,"1.300,00",,,"1.300,00","0,00",,,
AUMK,27.01.2015,"1.300,00",,,"1.300,00","0,00",,,
