Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
BANA,13.11.2014,"550,00",,,"550,00","0,00",,,
BANA,14.11.2014,"550,00",,,"550,00","0,00",,,
BANA,17.11.2014,"550,00",,,"550,00","0,00",,,
BANA,18.11.2014,"550,00",,,"550,00","0,00",,,
BANA,19.11.2014,"550,00",,,"550,00","0,00",,,
BANA,20.11.2014,"550,00",,,"550,00","0,00",,,
BANA,21.11.2014,"550,00",,,"550,00","0,00",,,
BANA,24.11.2014,"550,00",,,"550,00","0,00",,,
BANA,25.11.2014,"550,00",,,"550,00","0,00",,,
BANA,26.11.2014,"550,00",,,"550,00","0,00",,,
BANA,27.11.2014,"550,00",,,"550,00","0,00",,,
BANA,28.11.2014,"550,00",,,"550,00","0,00",,,
BANA,01.12.2014,"550,00",,,"550,00","0,00",,,
BANA,02.12.2014,"550,00",,,"550,00","0,00",,,
BANA,04.12.2014,"550,00",,,"550,00","0,00",,,
BANA,05.12.2014,"550,00",,,"550,00","0,00",,,
BANA,09.12.2014,"550,00",,,"550,00","0,00",,,
BANA,10.12.2014,"550,00",,,"550,00","0,00",,,
BANA,11.12.2014,"550,00",,,"550,00","0,00",,,
BANA,12.12.2014,"550,00",,,"550,00","0,00",,,
BANA,15.12.2014,"550,00",,,"550,00","0,00",,,
BANA,16.12.2014,"550,00",,,"550,00","0,00",,,
BANA,17.12.2014,"550,00",,,"550,00","0,00",,,
BANA,18.12.2014,"550,00",,,"550,00","0,00",,,
BANA,19.12.2014,"550,00",,,"550,00","0,00",,,
BANA,22.12.2014,"550,00",,,"550,00","0,00",,,
BANA,23.12.2014,"550,00",,,"550,00","0,00",,,
BANA,24.12.2014,"550,00",,,"550,00","0,00",,,
BANA,25.12.2014,"550,00",,,"550,00","0,00",,,
BANA,26.12.2014,"550,00",,,"550,00","0,00",,,
BANA,29.12.2014,"550,00",,,"550,00","0,00",,,
BANA,30.12.2014,"550,00",,,"550,00","0,00",,,
BANA,02.01.2015,"550,00",,,"550,00","0,00",,,
BANA,05.01.2015,"550,00",,,"550,00","0,00",,,
BANA,08.01.2015,"550,00",,,"550,00","0,00",,,
BANA,09.01.2015,"550,00",,,"550,00","0,00",,,
BANA,12.01.2015,"550,00",,,"550,00","0,00",,,
BANA,13.01.2015,"550,00",,,"550,00","0,00",,,
BANA,14.01.2015,"550,00",,,"550,00","0,00",,,
BANA,15.01.2015,"550,00",,,"550,00","0,00",,,
BANA,16.01.2015,"550,00",,,"550,00","0,00",,,
BANA,20.01.2015,"550,00",,,"550,00","0,00",,,
BANA,21.01.2015,"550,00",,,"550,00","0,00",,,
BANA,22.01.2015,"550,00",,,"550,00","0,00",,,
BANA,23.01.2015,"550,00",,,"550,00","0,00",,,
BANA,26.01.2015,"550,00",,,"550,00","0,00",,,
BANA,27.01.2015,"550,00",,,"550,00","0,00",,,
BANA,28.01.2015,"550,00",,,"550,00","0,00",,,
BANA,29.01.2015,"550,00",,,"550,00","0,00",,,
BANA,30.01.2015,"550,00",,,"550,00","0,00",,,
BANA,02.02.2015,"550,00",,,"550,00","0,00",,,
BANA,03.02.2015,"550,00",,,"550,00","0,00",,,
BANA,04.02.2015,"550,00",,,"550,00","0,00",,,
BANA,05.02.2015,"550,00",,,"550,00","0,00",,,
BANA,06.02.2015,"550,00",,,"550,00","0,00",,,
BANA,09.02.2015,"550,00",,,"550,00","0,00",,,
BANA,10.02.2015,"550,00",,,"550,00","0,00",,,
BANA,11.02.2015,"550,00",,,"550,00","0,00",,,
BANA,12.02.2015,"550,00",,,"550,00","0,00",,,
BANA,13.02.2015,"550,00",,,"550,00","0,00",,,
BANA,16.02.2015,"550,00",,,"550,00","0,00",,,
