Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
BGOR,13.11.2014,"368,00",,,"368,00","0,00",,,
BGOR,14.11.2014,"368,00",,,"368,00","0,00",,,
BGOR,17.11.2014,"368,00",,,"368,00","0,00",,,
BGOR,18.11.2014,"368,00",,,"368,00","0,00",,,
BGOR,19.11.2014,"368,00",,,"368,00","0,00",,,
BGOR,20.11.2014,"368,00",,,"368,00","0,00",,,
BGOR,21.11.2014,"368,00",,,"368,00","0,00",,,
BGOR,24.11.2014,"368,00",,,"368,00","0,00",,,
BGOR,25.11.2014,"368,00",,,"368,00","0,00",,,
BGOR,26.11.2014,"368,00",,,"368,00","0,00",,,
BGOR,27.11.2014,"368,00",,,"368,00","0,00",,,
BGOR,28.11.2014,"368,00",,,"368,00","0,00",,,
BGOR,01.12.2014,"368,00",,,"368,00","0,00",,,
BGOR,02.12.2014,"368,00",,,"368,00","0,00",,,
BGOR,04.12.2014,"368,00",,,"368,00","0,00",,,
BGOR,05.12.2014,"368,00",,,"368,00","0,00",,,
BGOR,09.12.2014,"368,00",,,"368,00","0,00",,,
BGOR,10.12.2014,"368,00",,,"368,00","0,00",,,
BGOR,11.12.2014,"368,00",,,"368,00","0,00",,,
BGOR,12.12.2014,"368,00",,,"368,00","0,00",,,
BGOR,15.12.2014,"368,00",,,"368,00","0,00",,,
BGOR,16.12.2014,"368,00",,,"368,00","0,00",,,
BGOR,17.12.2014,"368,00",,,"368,00","0,00",,,
BGOR,18.12.2014,"368,00",,,"368,00","0,00",,,
BGOR,19.12.2014,"360,00","360,00","360,00","360,00","-2,17",10.0,3.6,3.600
BGOR,22.12.2014,"360,00",,,"360,00","0,00",,,
BGOR,23.12.2014,"360,00",,,"360,00","0,00",,,
BGOR,24.12.2014,"360,00",,,"360,00","0,00",,,
BGOR,25.12.2014,"360,00",,,"360,00","0,00",,,
BGOR,26.12.2014,"360,00",,,"360,00","0,00",,,
BGOR,29.12.2014,"360,00",,,"360,00","0,00",,,
BGOR,30.12.2014,"360,00",,,"360,00","0,00",,,
BGOR,02.01.2015,"360,00",,,"360,00","0,00",,,
BGOR,05.01.2015,"360,00",,,"360,00","0,00",,,
BGOR,08.01.2015,"360,00",,,"360,00","0,00",,,
BGOR,09.01.2015,"360,00",,,"360,00","0,00",,,
BGOR,12.01.2015,"360,00",,,"360,00","0,00",,,
BGOR,13.01.2015,"360,00",,,"360,00","0,00",,,
BGOR,14.01.2015,"360,00",,,"360,00","0,00",,,
BGOR,15.01.2015,"360,00",,,"360,00","0,00",,,
BGOR,16.01.2015,"360,00",,,"360,00","0,00",,,3.472.450
BGOR,20.01.2015,"360,00",,,"360,00","0,00",,,
BGOR,21.01.2015,"360,00",,,"360,00","0,00",,,
BGOR,22.01.2015,"360,00",,,"360,00","0,00",,,
BGOR,23.01.2015,"360,00",,,"360,00","0,00",,,
BGOR,26.01.2015,"360,00",,,"360,00","0,00",,,
BGOR,27.01.2015,"360,00",,,"360,00","0,00",,,
BGOR,28.01.2015,"360,00",,,"360,00","0,00",,,
BGOR,29.01.2015,"360,00",,,"360,00","0,00",,,
BGOR,30.01.2015,"360,00",,,"360,00","0,00",,,
BGOR,02.02.2015,"360,00",,,"360,00","0,00",,,
BGOR,03.02.2015,"360,00",,,"360,00","0,00",,,
BGOR,04.02.2015,"360,00",,,"360,00","0,00",,,
BGOR,05.02.2015,"360,00",,,"360,00","0,00",,,
BGOR,06.02.2015,"360,00",,,"360,00","0,00",,,
BGOR,09.02.2015,"360,00",,,"360,00","0,00",,,
BGOR,10.02.2015,"360,00",,,"360,00","0,00",,,
BGOR,11.02.2015,"360,00",,,"360,00","0,00",,,
BGOR,12.02.2015,"360,00",,,"360,00","0,00",,,
BGOR,13.02.2015,"360,00",,,"360,00","0,00",,,
BGOR,16.02.2015,"360,00",,,"360,00","0,00",,,
BGOR,17.02.2015,"370,00","370,00","370,00","370,00","2,78",80.0,29.6,29.600
BGOR,18.02.2015,"370,00",,,"370,00","0,00",,,
BGOR,19.02.2015,"370,00",,,"370,00","0,00",,,
BGOR,20.02.2015,"370,00",,,"370,00","0,00",,,
BGOR,23.02.2015,"370,00",,,"370,00","0,00",,,
BGOR,24.02.2015,"370,00",,,"370,00","0,00",,,
BGOR,25.02.2015,"370,00",,,"370,00","0,00",,,
BGOR,26.02.2015,"370,00",,,"370,00","0,00",,,
BGOR,27.02.2015,"370,00",,,"370,00","0,00",,,
BGOR,02.03.2015,"370,00",,,"370,00","0,00",,,
BGOR,03.03.2015,"370,00",,,"370,00","0,00",,,
BGOR,04.03.2015,"370,00",,,"370,00","0,00",,,
BGOR,05.03.2015,"360,00","360,00","360,00","360,00","-2,70",100.0,36.0,36.000
BGOR,06.03.2015,"360,00",,,"360,00","0,00",,,
BGOR,09.03.2015,"360,00",,,"360,00","0,00",,,
BGOR,10.03.2015,"360,00",,,"360,00","0,00",,,
BGOR,11.03.2015,"360,00",,,"360,00","0,00",,,
BGOR,12.03.2015,"360,00",,,"360,00","0,00",,,
BGOR,13.03.2015,"360,00",,,"360,00","0,00",,,
BGOR,16.03.2015,"360,00",,,"360,00","0,00",,,
BGOR,17.03.2015,"360,00",,,"360,00","0,00",,,
BGOR,18.03.2015,"360,00",,,"360,00","0,00",,,
BGOR,19.03.2015,"360,00",,,"360,00","0,00",,,
BGOR,20.03.2015,"360,00",,,"360,00","0,00",,,
BGOR,23.03.2015,"350,00","350,00","350,00","350,00","-2,78",1.1,385.0,385.000
BGOR,24.03.2015,"350,00",,,"350,00","0,00",,,
BGOR,25.03.2015,"350,00",,,"350,00","0,00",,,
BGOR,26.03.2015,"350,00",,,"350,00","0,00",,,
BGOR,27.03.2015,"350,00",,,"350,00","0,00",,,
BGOR,30.03.2015,"350,00",,,"350,00","0,00",,,
BGOR,31.03.2015,"350,00",,,"350,00","0,00",,,
BGOR,01.04.2015,"350,00",,,"350,00","0,00",,,
BGOR,02.04.2015,"350,00",,,"350,00","0,00",,,
BGOR,03.04.2015,"350,00",,,"350,00","0,00",,,
BGOR,06.04.2015,"350,00",,,"350,00","0,00",,,
BGOR,07.04.2015,"350,00",,,"350,00","0,00",,,
BGOR,08.04.2015,"350,00",,,"350,00","0,00",,,
BGOR,09.04.2015,"350,00",,,"350,00","0,00",,,
BGOR,14.04.2015,"350,00",,,"350,00","0,00",,,
BGOR,15.04.2015,"350,00",,,"350,00","0,00",,,
BGOR,16.04.2015,"350,00",,,"350,00","0,00",,,
BGOR,17.04.2015,"350,00",,,"350,00","0,00",,,
BGOR,20.04.2015,"350,00",,,"350,00","0,00",,,
BGOR,21.04.2015,"350,00",,,"350,00","0,00",,,
BGOR,22.04.2015,"350,00",,,"350,00","0,00",,,
BGOR,23.04.2015,"350,00",,,"350,00","0,00",,,
BGOR,24.04.2015,"350,00",,,"350,00","0,00",,,
BGOR,27.04.2015,"350,00",,,"350,00","0,00",,,
BGOR,28.04.2015,"350,00",,,"350,00","0,00",,,
BGOR,29.04.2015,"350,00",,,"350,00","0,00",,,
BGOR,30.04.2015,"350,00",,,"350,00","0,00",,,
BGOR,04.05.2015,"350,00",,,"350,00","0,00",,,
BGOR,05.05.2015,"350,00",,,"350,00","0,00",,,
BGOR,06.05.2015,"350,00",,,"350,00","0,00",,,
BGOR,07.05.2015,"350,00",,,"350,00","0,00",,,
BGOR,08.05.2015,"350,00",,,"350,00","0,00",,,
BGOR,11.05.2015,"350,00",,,"350,00","0,00",,,
BGOR,12.05.2015,"350,00",,,"350,00","0,00",,,
BGOR,13.05.2015,"350,00",,,"350,00","0,00",,,
BGOR,14.05.2015,"350,00",,,"350,00","0,00",,,
BGOR,15.05.2015,"350,00",,,"350,00","0,00",,,
BGOR,18.05.2015,"350,00",,,"350,00","0,00",,,
BGOR,19.05.2015,"350,00",,,"350,00","0,00",,,
BGOR,20.05.2015,"350,00",,,"350,00","0,00",,,
BGOR,21.05.2015,"350,00",,,"350,00","0,00",,,
BGOR,22.05.2015,"350,00",,,"350,00","0,00",,,
BGOR,26.05.2015,"350,00",,,"350,00","0,00",,,
BGOR,27.05.2015,"350,00",,,"350,00","0,00",,,
BGOR,28.05.2015,"350,00",,,"350,00","0,00",,,
BGOR,01.06.2015,"350,00",,,"350,00","0,00",,,
BGOR,02.06.2015,"350,00",,,"350,00","0,00",,,
BGOR,03.06.2015,"350,00",,,"350,00","0,00",,,
BGOR,04.06.2015,"350,00",,,"350,00","0,00",,,
BGOR,05.06.2015,"350,00",,,"350,00","0,00",,,
BGOR,08.06.2015,"350,00",,,"350,00","0,00",,,
BGOR,09.06.2015,"350,00",,,"350,00","0,00",,,
BGOR,10.06.2015,"350,00",,,"350,00","0,00",,,
BGOR,11.06.2015,"350,00",,,"350,00","0,00",,,
BGOR,12.06.2015,"350,00",,,"350,00","0,00",,,
BGOR,15.06.2015,"350,00",,,"350,00","0,00",,,
BGOR,16.06.2015,"350,00",,,"350,00","0,00",,,
BGOR,17.06.2015,"350,00",,,"350,00","0,00",,,
BGOR,18.06.2015,"350,00",,,"350,00","0,00",,,
BGOR,19.06.2015,"350,00",,,"350,00","0,00",,,
BGOR,22.06.2015,"350,00",,,"350,00","0,00",,,
BGOR,23.06.2015,"350,00",,,"350,00","0,00",,,
BGOR,24.06.2015,"350,00",,,"350,00","0,00",,,
BGOR,25.06.2015,"350,00",,,"350,00","0,00",,,
BGOR,26.06.2015,"350,00",,,"350,00","0,00",,,
BGOR,29.06.2015,"350,00",,,"350,00","0,00",,,
BGOR,30.06.2015,"350,00",,,"350,00","0,00",,,
BGOR,01.07.2015,"350,00",,,"350,00","0,00",,,
BGOR,02.07.2015,"350,00",,,"350,00","0,00",,,
BGOR,03.07.2015,"350,00",,,"350,00","0,00",,,
BGOR,06.07.2015,"350,00",,,"350,00","0,00",,,
BGOR,07.07.2015,"350,00",,,"350,00","0,00",,,
BGOR,08.07.2015,"350,00",,,"350,00","0,00",,,
BGOR,09.07.2015,"350,00",,,"350,00","0,00",,,
BGOR,10.07.2015,"350,00",,,"350,00","0,00",,,
BGOR,13.07.2015,"350,00",,,"350,00","0,00",,,
