Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
BIKF,13.11.2014,"615,00",,,"615,00","0,00",,,
BIKF,14.11.2014,"615,00",,,"615,00","0,00",,,
BIKF,17.11.2014,"615,00",,,"615,00","0,00",,,
BIKF,18.11.2014,"615,00",,,"615,00","0,00",,,
BIKF,19.11.2014,"615,00",,,"615,00","0,00",,,
BIKF,20.11.2014,"615,00",,,"615,00","0,00",,,
BIKF,21.11.2014,"615,00",,,"615,00","0,00",,,
BIKF,24.11.2014,"615,00",,,"615,00","0,00",,,
BIKF,25.11.2014,"615,00",,,"615,00","0,00",,,
BIKF,26.11.2014,"615,00",,,"615,00","0,00",,,
BIKF,27.11.2014,"615,00",,,"615,00","0,00",,,
BIKF,28.11.2014,"615,00",,,"615,00","0,00",,,
BIKF,01.12.2014,"615,00",,,"615,00","0,00",,,
BIKF,02.12.2014,"615,00",,,"615,00","0,00",,,
BIKF,04.12.2014,"615,00",,,"615,00","0,00",,,
BIKF,05.12.2014,"615,00",,,"615,00","0,00",,,
BIKF,09.12.2014,"615,00",,,"615,00","0,00",,,
BIKF,10.12.2014,"615,00",,,"615,00","0,00",,,
BIKF,11.12.2014,"615,00",,,"615,00","0,00",,,
BIKF,12.12.2014,"615,00",,,"615,00","0,00",,,
BIKF,15.12.2014,"615,00",,,"615,00","0,00",,,
BIKF,16.12.2014,"615,00",,,"615,00","0,00",,,
BIKF,17.12.2014,"615,00",,,"615,00","0,00",,,
BIKF,18.12.2014,"615,00",,,"615,00","0,00",,,
BIKF,19.12.2014,"615,00",,,"615,00","0,00",,,
BIKF,22.12.2014,"615,00",,,"615,00","0,00",,,
BIKF,23.12.2014,"615,00",,,"615,00","0,00",,,
BIKF,24.12.2014,"615,00",,,"615,00","0,00",,,
BIKF,25.12.2014,"615,00",,,"615,00","0,00",,,
BIKF,26.12.2014,"615,00",,,"615,00","0,00",,,
BIKF,29.12.2014,"615,00",,,"615,00","0,00",,,
