Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
CBNG,13.11.2014,"3.200,00",,,"3.200,00","0,00",,,
CBNG,14.11.2014,"3.200,00",,,"3.200,00","0,00",,,
CBNG,17.11.2014,"3.200,00",,,"3.200,00","0,00",,,
CBNG,18.11.2014,"3.200,00",,,"3.200,00","0,00",,,
CBNG,19.11.2014,"3.200,00",,,"3.200,00","0,00",,,
CBNG,20.11.2014,"3.200,00",,,"3.200,00","0,00",,,
CBNG,21.11.2014,"3.200,00",,,"3.200,00","0,00",,,
CBNG,24.11.2014,"3.200,00",,,"3.200,00","0,00",,,
CBNG,25.11.2014,"3.200,00",,,"3.200,00","0,00",,,
CBNG,26.11.2014,"3.200,00",,,"3.200,00","0,00",,,
CBNG,27.11.2014,"3.200,00",,,"3.200,00","0,00",,,
CBNG,28.11.2014,"3.200,00",,,"3.200,00","0,00",,,
CBNG,01.12.2014,"3.200,00",,,"3.200,00","0,00",,,
CBNG,02.12.2014,"3.200,00",,,"3.200,00","0,00",,,
CBNG,04.12.2014,"3.200,00",,,"3.200,00","0,00",,,
CBNG,05.12.2014,"3.200,00",,,"3.200,00","0,00",,,
CBNG,09.12.2014,"3.200,00",,,"3.200,00","0,00",,,
CBNG,10.12.2014,"3.200,00",,,"3.200,00","0,00",,,
CBNG,11.12.2014,"3.200,00",,,"3.200,00","0,00",,,
CBNG,12.12.2014,"3.200,00",,,"3.200,00","0,00",,,
CBNG,15.12.2014,"3.200,00",,,"3.200,00","0,00",,,
CBNG,16.12.2014,"3.200,00",,,"3.200,00","0,00",,,
CBNG,17.12.2014,"3.200,00",,,"3.200,00","0,00",,,
CBNG,18.12.2014,"3.200,00",,,"3.200,00","0,00",,,
CBNG,19.12.2014,"3.200,00",,,"3.200,00","0,00",,,
CBNG,22.12.2014,"3.200,00",,,"3.200,00","0,00",,,
CBNG,23.12.2014,"3.200,00",,,"3.200,00","0,00",,,
CBNG,24.12.2014,"3.200,00",,,"3.200,00","0,00",,,
CBNG,25.12.2014,"3.200,00",,,"3.200,00","0,00",,,
CBNG,26.12.2014,"3.200,00",,,"3.200,00","0,00",,,
CBNG,29.12.2014,"3.200,00",,,"3.200,00","0,00",,,
CBNG,30.12.2014,"3.200,00",,,"3.200,00","0,00",,,
CBNG,02.01.2015,"3.200,00",,,"3.200,00","0,00",,,
CBNG,05.01.2015,"3.200,00",,,"3.200,00","0,00",,,
CBNG,08.01.2015,"3.200,00",,,"3.200,00","0,00",,,
CBNG,09.01.2015,"3.200,00",,,"3.200,00","0,00",,,
CBNG,12.01.2015,"3.200,00",,,"3.200,00","0,00",,,
CBNG,13.01.2015,"3.200,00",,,"3.200,00","0,00",,,
CBNG,14.01.2015,"3.200,00",,,"3.200,00","0,00",,,
CBNG,15.01.2015,"3.200,00",,,"3.200,00","0,00",,,
CBNG,16.01.2015,"3.200,00",,,"3.200,00","0,00",,,
CBNG,20.01.2015,"3.200,00",,,"3.200,00","0,00",,,
CBNG,21.01.2015,"3.200,00",,,"3.200,00","0,00",,,
CBNG,22.01.2015,"3.200,00",,,"3.200,00","0,00",,,
CBNG,23.01.2015,"3.200,00",,,"3.200,00","0,00",,,
