Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
CDHV,13.11.2014,"15.000,00",,,"15.000,00","0,00",,,
CDHV,14.11.2014,"15.000,00",,,"15.000,00","0,00",,,
CDHV,17.11.2014,"15.000,00",,,"15.000,00","0,00",,,
CDHV,18.11.2014,"15.000,00",,,"15.000,00","0,00",,,
CDHV,19.11.2014,"15.000,00",,,"15.000,00","0,00",,,
CDHV,20.11.2014,"15.000,00",,,"15.000,00","0,00",,,
CDHV,21.11.2014,"15.000,00",,,"15.000,00","0,00",,,
CDHV,24.11.2014,"15.000,00",,,"15.000,00","0,00",,,
CDHV,25.11.2014,"15.000,00",,,"15.000,00","0,00",,,
CDHV,26.11.2014,"15.000,00",,,"15.000,00","0,00",,,
CDHV,27.11.2014,"15.000,00",,,"15.000,00","0,00",,,
CDHV,28.11.2014,"15.000,00",,,"15.000,00","0,00",,,
CDHV,01.12.2014,"15.000,00",,,"15.000,00","0,00",,,
CDHV,02.12.2014,"15.000,00",,,"15.000,00","0,00",,,
CDHV,04.12.2014,"15.000,00",,,"15.000,00","0,00",,,
CDHV,05.12.2014,"15.000,00",,,"15.000,00","0,00",,,
CDHV,09.12.2014,"15.000,00",,,"15.000,00","0,00",,,
CDHV,10.12.2014,"15.000,00",,,"15.000,00","0,00",,,
CDHV,11.12.2014,"15.000,00",,,"15.000,00","0,00",,,
CDHV,12.12.2014,"15.000,00",,,"15.000,00","0,00",,,
CDHV,15.12.2014,"15.000,00",,,"15.000,00","0,00",,,
CDHV,16.12.2014,"15.000,00",,,"15.000,00","0,00",,,
CDHV,17.12.2014,"15.000,00",,,"15.000,00","0,00",,,
CDHV,18.12.2014,"15.000,00",,,"15.000,00","0,00",,,
CDHV,19.12.2014,"15.000,00",,,"15.000,00","0,00",,,
CDHV,22.12.2014,"15.000,00",,,"15.000,00","0,00",,,
CDHV,23.12.2014,"15.000,00",,,"15.000,00","0,00",,,
CDHV,24.12.2014,"15.000,00",,,"15.000,00","0,00",,,
CDHV,25.12.2014,"15.000,00",,,"15.000,00","0,00",,,
CDHV,26.12.2014,"15.000,00",,,"15.000,00","0,00",,,
CDHV,29.12.2014,"15.000,00",,,"15.000,00","0,00",,,
CDHV,30.12.2014,"15.000,00",,,"15.000,00","0,00",,,
CDHV,02.01.2015,"15.000,00",,,"15.000,00","0,00",,,
CDHV,05.01.2015,"15.000,00",,,"15.000,00","0,00",,,
CDHV,08.01.2015,"15.000,00",,,"15.000,00","0,00",,,
CDHV,09.01.2015,"15.000,00",,,"15.000,00","0,00",,,
CDHV,12.01.2015,"15.000,00",,,"15.000,00","0,00",,,
CDHV,13.01.2015,"15.000,00",,,"15.000,00","0,00",,,
CDHV,14.01.2015,"15.000,00",,,"15.000,00","0,00",,,
CDHV,15.01.2015,"15.000,00",,,"15.000,00","0,00",,,
CDHV,16.01.2015,"15.000,00",,,"15.000,00","0,00",,,
