Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
CEVI,13.11.2014,"353,00",,,"353,00","0,00",,,
CEVI,14.11.2014,"353,00",,,"353,00","0,00",,,
CEVI,17.11.2014,"353,00",,,"353,00","0,00",,,
CEVI,18.11.2014,"353,00",,,"353,00","0,00",,,
CEVI,19.11.2014,"353,00",,,"353,00","0,00",,,
CEVI,20.11.2014,"353,00",,,"353,00","0,00",,,
CEVI,21.11.2014,"353,00",,,"353,00","0,00",,,
CEVI,24.11.2014,"353,00",,,"353,00","0,00",,,
CEVI,25.11.2014,"353,00",,,"353,00","0,00",,,
CEVI,26.11.2014,"353,00",,,"353,00","0,00",,,
CEVI,27.11.2014,"353,00",,,"353,00","0,00",,,
CEVI,28.11.2014,"353,00",,,"353,00","0,00",,,
CEVI,01.12.2014,"353,00",,,"353,00","0,00",,,
CEVI,02.12.2014,"353,00",,,"353,00","0,00",,,
CEVI,04.12.2014,"353,00",,,"353,00","0,00",,,
CEVI,05.12.2014,"353,00",,,"353,00","0,00",,,
CEVI,09.12.2014,"353,00",,,"353,00","0,00",,,
CEVI,10.12.2014,"353,00",,,"353,00","0,00",,,
CEVI,11.12.2014,"353,00",,,"353,00","0,00",,,
CEVI,12.12.2014,"353,00",,,"353,00","0,00",,,
CEVI,15.12.2014,"353,00",,,"353,00","0,00",,,
CEVI,16.12.2014,"353,00",,,"353,00","0,00",,,
CEVI,17.12.2014,"353,00",,,"353,00","0,00",,,
CEVI,18.12.2014,"353,00",,,"353,00","0,00",,,
CEVI,19.12.2014,"353,00",,,"353,00","0,00",,,
CEVI,22.12.2014,"353,00",,,"353,00","0,00",,,
CEVI,23.12.2014,"353,00",,,"353,00","0,00",,,
CEVI,24.12.2014,"353,00",,,"353,00","0,00",,,
CEVI,25.12.2014,"353,00",,,"353,00","0,00",,,
CEVI,26.12.2014,"353,00",,,"353,00","0,00",,,
CEVI,29.12.2014,"353,00",,,"353,00","0,00",,,
CEVI,30.12.2014,"353,00",,,"353,00","0,00",,,
CEVI,02.01.2015,"353,00",,,"353,00","0,00",,,
CEVI,05.01.2015,"353,00",,,"353,00","0,00",,,
CEVI,08.01.2015,"353,00",,,"353,00","0,00",,,
CEVI,09.01.2015,"353,00",,,"353,00","0,00",,,
