Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
CKB,13.11.2014,"600,00",,,"600,00","0,00",,,
CKB,14.11.2014,"600,00",,,"600,00","0,00",,,
CKB,17.11.2014,"600,00",,,"600,00","0,00",,,
CKB,18.11.2014,"600,00",,,"600,00","0,00",,,
CKB,19.11.2014,"600,00",,,"600,00","0,00",,,
CKB,20.11.2014,"600,00",,,"600,00","0,00",,,
CKB,21.11.2014,"600,00",,,"600,00","0,00",,,
CKB,24.11.2014,"600,00",,,"600,00","0,00",,,
CKB,25.11.2014,"600,00",,,"600,00","0,00",,,
CKB,26.11.2014,"600,00",,,"600,00","0,00",,,
CKB,27.11.2014,"600,00",,,"600,00","0,00",,,
CKB,28.11.2014,"600,00",,,"600,00","0,00",,,
CKB,01.12.2014,"600,00",,,"600,00","0,00",,,
CKB,02.12.2014,"600,00",,,"600,00","0,00",,,
CKB,04.12.2014,"600,00",,,"600,00","0,00",,,
CKB,05.12.2014,"600,00",,,"600,00","0,00",,,
CKB,09.12.2014,"600,00",,,"600,00","0,00",,,
CKB,10.12.2014,"600,00",,,"600,00","0,00",,,
CKB,11.12.2014,"600,00",,,"600,00","0,00",,,
CKB,12.12.2014,"600,00",,,"600,00","0,00",,,
CKB,15.12.2014,"600,00",,,"600,00","0,00",,,
CKB,16.12.2014,"600,00",,,"600,00","0,00",,,
CKB,17.12.2014,"600,00",,,"600,00","0,00",,,
CKB,18.12.2014,"600,00",,,"600,00","0,00",,,
CKB,19.12.2014,"600,00",,,"600,00","0,00",,,
CKB,22.12.2014,"600,00",,,"600,00","0,00",,,
CKB,23.12.2014,"600,00",,,"600,00","0,00",,,
CKB,24.12.2014,"600,00",,,"600,00","0,00",,,
CKB,25.12.2014,"615,00","615,00","615,00","615,00","2,50",5.0,3.075,3.075
CKB,26.12.2014,"615,00",,,"615,00","0,00",,,
CKB,29.12.2014,"615,00",,,"615,00","0,00",,,
CKB,30.12.2014,"615,00",,,"615,00","0,00",,,
CKB,02.01.2015,"615,00",,,"615,00","0,00",,,
CKB,05.01.2015,"615,00",,,"615,00","0,00",,,
CKB,08.01.2015,"615,00",,,"615,00","0,00",,,
CKB,09.01.2015,"615,00",,,"615,00","0,00",,,
CKB,12.01.2015,"615,00",,,"615,00","0,00",,,
CKB,13.01.2015,"615,00",,,"615,00","0,00",,,
CKB,14.01.2015,"615,00",,,"615,00","0,00",,,
CKB,15.01.2015,"615,00",,,"615,00","0,00",,,
CKB,16.01.2015,"615,00",,,"615,00","0,00",,,
CKB,20.01.2015,"615,00",,,"615,00","0,00",,,
CKB,21.01.2015,"615,00",,,"615,00","0,00",,,
CKB,22.01.2015,"615,00",,,"615,00","0,00",,,
CKB,23.01.2015,"615,00",,,"615,00","0,00",,,
CKB,26.01.2015,"615,00",,,"615,00","0,00",,,
CKB,27.01.2015,"615,00",,,"615,00","0,00",,,
CKB,28.01.2015,"615,00",,,"615,00","0,00",,,
CKB,29.01.2015,"615,00",,,"615,00","0,00",,,
CKB,30.01.2015,"615,00",,,"615,00","0,00",,,
CKB,02.02.2015,"615,00",,,"615,00","0,00",,,
CKB,03.02.2015,"615,00",,,"615,00","0,00",,,
CKB,04.02.2015,"615,00",,,"615,00","0,00",,,
CKB,05.02.2015,"615,00",,,"615,00","0,00",,,
CKB,06.02.2015,"615,00",,,"615,00","0,00",,,
CKB,09.02.2015,"615,00",,,"615,00","0,00",,,
