Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
CKBKO,19.07.2019,,,,,,,,
CKBKO,22.07.2019,,,,,,,,
CKBKO,23.07.2019,,,,,,,,
CKBKO,24.07.2019,,,,,,,,
CKBKO,25.07.2019,,,,,,,,
CKBKO,26.07.2019,,,,,,,,
CKBKO,29.07.2019,,,,,,,,
CKBKO,30.07.2019,,,,,,,,
CKBKO,31.07.2019,,,,,,,,
CKBKO,01.08.2019,,,,,,,,
CKBKO,05.08.2019,,,,,,,,
CKBKO,06.08.2019,,,,,,,,
CKBKO,07.08.2019,,,,,,,,
CKBKO,08.08.2019,,,,,,,,
CKBKO,09.08.2019,,,,,,,,
CKBKO,12.08.2019,,,,,,,,
CKBKO,13.08.2019,,,,,,,,
CKBKO,14.08.2019,,,,,,,,
CKBKO,15.08.2019,,,,,,,,
CKBKO,16.08.2019,,,,,,,,
CKBKO,19.08.2019,,,,,,,,
CKBKO,20.08.2019,,,,,,,,
CKBKO,21.08.2019,,,,,,,,
CKBKO,22.08.2019,,,,,,,,
CKBKO,23.08.2019,,,,,,,,
CKBKO,26.08.2019,,,,,,,,
CKBKO,27.08.2019,,,,,,,,
CKBKO,29.08.2019,,,,,,,,
CKBKO,30.08.2019,,,,,,,,
CKBKO,02.09.2019,,,,,,,,
CKBKO,03.09.2019,,,,,,,,
CKBKO,04.09.2019,,,,,,,,
CKBKO,05.09.2019,,,,,,,,
CKBKO,06.09.2019,,,,,,,,
CKBKO,10.09.2019,,,,,,,,
CKBKO,11.09.2019,,,,,,,,
CKBKO,12.09.2019,,,,,,,,
CKBKO,13.09.2019,,,,,,,,
CKBKO,16.09.2019,,,,,,,,
CKBKO,17.09.2019,,,,,,,,
CKBKO,18.09.2019,,,,,,,,
CKBKO,19.09.2019,,,,,,,,
CKBKO,20.09.2019,,,,,,,,
CKBKO,23.09.2019,,,,,,,,
CKBKO,24.09.2019,,,,,,,,
CKBKO,25.09.2019,,,,,,,,
CKBKO,26.09.2019,,,,,,,,
CKBKO,27.09.2019,,,,,,,,
CKBKO,30.09.2019,,,,,,,,
CKBKO,01.10.2019,,,,,,,,
CKBKO,02.10.2019,,,,,,,,
