Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
DIMI,13.11.2014,"1.251,00",,,"1.251,00","0,00",,,
DIMI,14.11.2014,"1.251,00",,,"1.251,00","0,00",,,
DIMI,17.11.2014,"1.251,00",,,"1.251,00","0,00",,,
DIMI,18.11.2014,"1.251,00",,,"1.251,00","0,00",,,
DIMI,19.11.2014,"1.251,00",,,"1.251,00","0,00",,,
DIMI,20.11.2014,"1.251,00",,,"1.251,00","0,00",,,
DIMI,21.11.2014,"1.251,00",,,"1.251,00","0,00",,,
DIMI,24.11.2014,"1.251,00",,,"1.251,00","0,00",,,
DIMI,25.11.2014,"1.251,00",,,"1.251,00","0,00",,,
DIMI,26.11.2014,"1.251,00",,,"1.251,00","0,00",,,
DIMI,27.11.2014,"1.251,00",,,"1.251,00","0,00",,,
DIMI,28.11.2014,"1.251,00",,,"1.251,00","0,00",,,
DIMI,01.12.2014,"1.251,00",,,"1.251,00","0,00",,,
DIMI,02.12.2014,"1.251,00",,,"1.251,00","0,00",,,
DIMI,04.12.2014,"1.251,00",,,"1.251,00","0,00",,,
DIMI,05.12.2014,"1.251,00",,,"1.251,00","0,00",,,
DIMI,09.12.2014,"1.251,00",,,"1.251,00","0,00",,,
DIMI,10.12.2014,"1.251,00",,,"1.251,00","0,00",,,
DIMI,11.12.2014,"1.251,00",,,"1.251,00","0,00",,,
DIMI,12.12.2014,"1.251,00",,,"1.251,00","0,00",,,
DIMI,15.12.2014,"1.251,00",,,"1.251,00","0,00",,,
DIMI,16.12.2014,"1.251,00",,,"1.251,00","0,00",,,
DIMI,17.12.2014,"1.251,00",,,"1.251,00","0,00",,,
DIMI,18.12.2014,"1.251,00",,,"1.251,00","0,00",,,
DIMI,19.12.2014,"1.251,00",,,"1.251,00","0,00",,,
DIMI,22.12.2014,"1.251,00",,,"1.251,00","0,00",,,
DIMI,23.12.2014,"1.251,00",,,"1.251,00","0,00",,,
DIMI,24.12.2014,"1.251,00",,,"1.251,00","0,00",,,
