Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
EDST,13.11.2014,"61,00",,,"61,00","0,00",,,
EDST,14.11.2014,"61,00",,,"61,00","0,00",,,
EDST,17.11.2014,"61,00",,,"61,00","0,00",,,
EDST,18.11.2014,"61,00",,,"61,00","0,00",,,
EDST,19.11.2014,"61,00",,,"61,00","0,00",,,
EDST,20.11.2014,"61,00",,,"61,00","0,00",,,
EDST,21.11.2014,"61,00",,,"61,00","0,00",,,
EDST,24.11.2014,"61,00",,,"61,00","0,00",,,
EDST,25.11.2014,"61,00",,,"61,00","0,00",,,
EDST,26.11.2014,"61,00",,,"61,00","0,00",,,
EDST,27.11.2014,"61,00",,,"61,00","0,00",,,
EDST,28.11.2014,"61,00",,,"61,00","0,00",,,
EDST,01.12.2014,"61,00",,,"61,00","0,00",,,
EDST,02.12.2014,"61,00",,,"61,00","0,00",,,
EDST,04.12.2014,"61,00",,,"61,00","0,00",,,
EDST,05.12.2014,"61,00",,,"61,00","0,00",,,
EDST,09.12.2014,"61,00",,,"61,00","0,00",,,
EDST,10.12.2014,"61,00",,,"61,00","0,00",,,
EDST,11.12.2014,"61,00",,,"61,00","0,00",,,
EDST,12.12.2014,"61,00",,,"61,00","0,00",,,
EDST,15.12.2014,"61,00",,,"61,00","0,00",,,
EDST,16.12.2014,"61,00",,,"61,00","0,00",,,
EDST,17.12.2014,"61,00",,,"61,00","0,00",,,
EDST,18.12.2014,"61,00",,,"61,00","0,00",,,
EDST,19.12.2014,"61,00",,,"61,00","0,00",,,
EDST,22.12.2014,"61,00",,,"61,00","0,00",,,
EDST,23.12.2014,"61,00",,,"61,00","0,00",,,
EDST,24.12.2014,"61,00",,,"61,00","0,00",,,
EDST,25.12.2014,"61,00",,,"61,00","0,00",,,
EDST,26.12.2014,"61,00",,,"61,00","0,00",,,
EDST,29.12.2014,"61,00",,,"61,00","0,00",,,
EDST,30.12.2014,"61,00",,,"61,00","0,00",,,
EDST,02.01.2015,"61,00",,,"61,00","0,00",,,
EDST,05.01.2015,"61,00",,,"61,00","0,00",,,
EDST,08.01.2015,"61,00",,,"61,00","0,00",,,
EDST,09.01.2015,"61,00",,,"61,00","0,00",,,
EDST,12.01.2015,"61,00",,,"61,00","0,00",,,
EDST,13.01.2015,"61,00",,,"61,00","0,00",,,
EDST,14.01.2015,"61,00",,,"61,00","0,00",,,
EDST,15.01.2015,"61,00",,,"61,00","0,00",,,
EDST,16.01.2015,"61,00",,,"61,00","0,00",,,
EDST,20.01.2015,"61,00",,,"61,00","0,00",,,
EDST,21.01.2015,"61,00",,,"61,00","0,00",,,
EDST,22.01.2015,"61,00",,,"61,00","0,00",,,
EDST,23.01.2015,"61,00",,,"61,00","0,00",,,
EDST,26.01.2015,"61,00",,,"61,00","0,00",,,
EDST,27.01.2015,"61,00",,,"61,00","0,00",,,
EDST,28.01.2015,"61,00",,,"61,00","0,00",,,
EDST,29.01.2015,"61,00",,,"61,00","0,00",,,
EDST,30.01.2015,"61,00",,,"61,00","0,00",,,
EDST,02.02.2015,"61,00",,,"61,00","0,00",,,
EDST,03.02.2015,"61,00",,,"61,00","0,00",,,
EDST,04.02.2015,"61,00",,,"61,00","0,00",,,
EDST,05.02.2015,"61,00",,,"61,00","0,00",,,
EDST,06.02.2015,"61,00",,,"61,00","0,00",,,
EDST,09.02.2015,"61,00",,,"61,00","0,00",,,
EDST,10.02.2015,"61,00",,,"61,00","0,00",,,
EDST,11.02.2015,"61,00",,,"61,00","0,00",,,
EDST,12.02.2015,"61,00",,,"61,00","0,00",,,
EDST,13.02.2015,"61,00",,,"61,00","0,00",,,
EDST,16.02.2015,"61,00",,,"61,00","0,00",,,
EDST,17.02.2015,"61,00",,,"61,00","0,00",,,
EDST,18.02.2015,"61,00",,,"61,00","0,00",,,
EDST,19.02.2015,"61,00",,,"61,00","0,00",,,
EDST,20.02.2015,"61,00",,,"61,00","0,00",,,
EDST,23.02.2015,"61,00",,,"61,00","0,00",,,
EDST,24.02.2015,"61,00",,,"61,00","0,00",,,
EDST,25.02.2015,"61,00",,,"61,00","0,00",,,
EDST,26.02.2015,"61,00",,,"61,00","0,00",,,
EDST,27.02.2015,"61,00",,,"61,00","0,00",,,
EDST,02.03.2015,"61,00",,,"61,00","0,00",,,
EDST,03.03.2015,"61,00",,,"61,00","0,00",,,
