Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
ELMA,13.11.2014,"30,00",,,"30,00","0,00",,,
ELMA,14.11.2014,"30,00",,,"30,00","0,00",,,
ELMA,17.11.2014,"30,00",,,"30,00","0,00",,,
ELMA,18.11.2014,"30,00",,,"30,00","0,00",,,
ELMA,19.11.2014,"30,00",,,"30,00","0,00",,,
ELMA,20.11.2014,"30,00",,,"30,00","0,00",,,
ELMA,21.11.2014,"30,00",,,"30,00","0,00",,,
ELMA,24.11.2014,"30,00",,,"30,00","0,00",,,
ELMA,25.11.2014,"30,00",,,"30,00","0,00",,,
ELMA,26.11.2014,"30,00",,,"30,00","0,00",,,
ELMA,27.11.2014,"30,00",,,"30,00","0,00",,,
ELMA,28.11.2014,"30,00",,,"30,00","0,00",,,
ELMA,01.12.2014,"30,00",,,"30,00","0,00",,,
ELMA,02.12.2014,"30,00",,,"30,00","0,00",,,
ELMA,04.12.2014,"30,00",,,"30,00","0,00",,,
ELMA,05.12.2014,"30,00",,,"30,00","0,00",,,
ELMA,09.12.2014,"30,00",,,"30,00","0,00",,,
ELMA,10.12.2014,"30,00",,,"30,00","0,00",,,
ELMA,11.12.2014,"30,00",,,"30,00","0,00",,,
ELMA,12.12.2014,"30,00",,,"30,00","0,00",,,
ELMA,15.12.2014,"30,00",,,"30,00","0,00",,,
ELMA,16.12.2014,"30,00",,,"30,00","0,00",,,
ELMA,17.12.2014,"30,00",,,"30,00","0,00",,,
ELMA,18.12.2014,"30,00",,,"30,00","0,00",,,
ELMA,19.12.2014,"30,00",,,"30,00","0,00",,,
ELMA,22.12.2014,"30,00",,,"30,00","0,00",,,
ELMA,23.12.2014,"30,00",,,"30,00","0,00",,,
ELMA,24.12.2014,"30,00",,,"30,00","0,00",,,
ELMA,25.12.2014,"30,00",,,"30,00","0,00",,,
ELMA,26.12.2014,"30,00",,,"30,00","0,00",,,
ELMA,29.12.2014,"30,00",,,"30,00","0,00",,,
ELMA,30.12.2014,"30,00",,,"30,00","0,00",,,
ELMA,02.01.2015,"30,00",,,"30,00","0,00",,,
ELMA,05.01.2015,"30,00",,,"30,00","0,00",,,
ELMA,08.01.2015,"30,00",,,"30,00","0,00",,,
ELMA,09.01.2015,"30,00",,,"30,00","0,00",,,
ELMA,12.01.2015,"30,00",,,"30,00","0,00",,,
ELMA,13.01.2015,"30,00",,,"30,00","0,00",,,
ELMA,14.01.2015,"30,00",,,"30,00","0,00",,,
ELMA,15.01.2015,"30,00",,,"30,00","0,00",,,
ELMA,16.01.2015,"30,00",,,"30,00","0,00",,,
ELMA,20.01.2015,"30,00",,,"30,00","0,00",,,
ELMA,21.01.2015,"30,00",,,"30,00","0,00",,,
ELMA,22.01.2015,"30,00",,,"30,00","0,00",,,
ELMA,23.01.2015,"30,00",,,"30,00","0,00",,,
ELMA,26.01.2015,"30,00",,,"30,00","0,00",,,
ELMA,27.01.2015,"30,00",,,"30,00","0,00",,,
ELMA,28.01.2015,"30,00",,,"30,00","0,00",,,
ELMA,29.01.2015,"30,00",,,"30,00","0,00",,,
ELMA,30.01.2015,"30,00",,,"30,00","0,00",,,
ELMA,02.02.2015,"30,00",,,"30,00","0,00",,,
ELMA,03.02.2015,"30,00",,,"30,00","0,00",,,
ELMA,04.02.2015,"30,00",,,"30,00","0,00",,,
ELMA,05.02.2015,"30,00",,,"30,00","0,00",,,
ELMA,06.02.2015,"30,00",,,"30,00","0,00",,,
ELMA,09.02.2015,"30,00",,,"30,00","0,00",,,
ELMA,10.02.2015,"30,00",,,"30,00","0,00",,,
ELMA,11.02.2015,"30,00","30,00","30,00","30,00","0,00",1.221,36.63,36.63
ELMA,12.02.2015,"30,00",,,"30,00","0,00",,,
ELMA,13.02.2015,"30,00",,,"30,00","0,00",,,
ELMA,16.02.2015,"30,00",,,"30,00","0,00",,,
ELMA,17.02.2015,"30,00",,,"30,00","0,00",,,
ELMA,18.02.2015,"30,00",,,"30,00","0,00",,,
ELMA,19.02.2015,"30,00",,,"30,00","0,00",,,
ELMA,20.02.2015,"30,00",,,"30,00","0,00",,,
ELMA,23.02.2015,"30,00",,,"30,00","0,00",,,
ELMA,24.02.2015,"30,00",,,"30,00","0,00",,,
ELMA,25.02.2015,"30,00",,,"30,00","0,00",,,
ELMA,26.02.2015,"30,00",,,"30,00","0,00",,,
ELMA,27.02.2015,"30,00",,,"30,00","0,00",,,
ELMA,02.03.2015,"30,00",,,"30,00","0,00",,,
ELMA,03.03.2015,"30,00",,,"30,00","0,00",,,
ELMA,04.03.2015,"30,00",,,"30,00","0,00",,,
ELMA,05.03.2015,"30,00",,,"30,00","0,00",,,
ELMA,06.03.2015,"30,00",,,"30,00","0,00",,,
ELMA,09.03.2015,"30,00",,,"30,00","0,00",,,
ELMA,10.03.2015,"30,00",,,"30,00","0,00",,,
ELMA,11.03.2015,"30,00",,,"30,00","0,00",,,
ELMA,12.03.2015,"30,00",,,"30,00","0,00",,,
ELMA,13.03.2015,"30,00",,,"30,00","0,00",,,
ELMA,16.03.2015,"30,00",,,"30,00","0,00",,,
ELMA,17.03.2015,"30,00",,,"30,00","0,00",,,
ELMA,18.03.2015,"30,00",,,"30,00","0,00",,,
ELMA,19.03.2015,"30,00",,,"30,00","0,00",,,
ELMA,20.03.2015,"30,00",,,"30,00","0,00",,,
ELMA,23.03.2015,"30,00",,,"30,00","0,00",,,
ELMA,24.03.2015,"30,00",,,"30,00","0,00",,,
ELMA,25.03.2015,"30,00",,,"30,00","0,00",,,
ELMA,26.03.2015,"30,00",,,"30,00","0,00",,,
ELMA,27.03.2015,"30,00",,,"30,00","0,00",,,
ELMA,30.03.2015,"30,00",,,"30,00","0,00",,,
ELMA,31.03.2015,"30,00",,,"30,00","0,00",,,
ELMA,01.04.2015,"30,00",,,"30,00","0,00",,,
ELMA,02.04.2015,"30,00",,,"30,00","0,00",,,
ELMA,03.04.2015,"30,00",,,"30,00","0,00",,,
ELMA,06.04.2015,"30,00",,,"30,00","0,00",,,
ELMA,07.04.2015,"30,00",,,"30,00","0,00",,,
ELMA,08.04.2015,"30,00",,,"30,00","0,00",,,
ELMA,09.04.2015,"30,00",,,"30,00","0,00",,,
ELMA,14.04.2015,"30,00",,,"30,00","0,00",,,
ELMA,15.04.2015,"30,00",,,"30,00","0,00",,,
ELMA,16.04.2015,"30,00",,,"30,00","0,00",,,
ELMA,17.04.2015,"30,00",,,"30,00","0,00",,,
ELMA,20.04.2015,"30,00",,,"30,00","0,00",,,
ELMA,21.04.2015,"30,00",,,"30,00","0,00",,,
ELMA,22.04.2015,"30,00",,,"30,00","0,00",,,
ELMA,23.04.2015,"30,00",,,"30,00","0,00",,,
ELMA,24.04.2015,"30,00",,,"30,00","0,00",,,
ELMA,27.04.2015,"30,00",,,"30,00","0,00",,,
ELMA,28.04.2015,"30,00",,,"30,00","0,00",,,
ELMA,29.04.2015,"30,00",,,"30,00","0,00",,,
ELMA,30.04.2015,"30,00",,,"30,00","0,00",,,
ELMA,04.05.2015,"30,00",,,"30,00","0,00",,,
ELMA,05.05.2015,"30,00",,,"30,00","0,00",,,
ELMA,06.05.2015,"30,00",,,"30,00","0,00",,,
ELMA,07.05.2015,"30,00",,,"30,00","0,00",,,
ELMA,08.05.2015,"30,00",,,"30,00","0,00",,,
ELMA,11.05.2015,"30,00",,,"30,00","0,00",,,
ELMA,12.05.2015,"30,00",,,"30,00","0,00",,,
ELMA,13.05.2015,"30,00",,,"30,00","0,00",,,
ELMA,14.05.2015,"30,00",,,"30,00","0,00",,,
ELMA,15.05.2015,"30,00",,,"30,00","0,00",,,
ELMA,18.05.2015,"30,00",,,"30,00","0,00",,,
