Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
ELNC,13.11.2014,"3.150,00",,,"3.150,00","0,00",,,
ELNC,14.11.2014,"3.150,00",,,"3.150,00","0,00",,,
ELNC,17.11.2014,"3.150,00",,,"3.150,00","0,00",,,
ELNC,18.11.2014,"3.150,00",,,"3.150,00","0,00",,,
ELNC,19.11.2014,"3.150,00",,,"3.150,00","0,00",,,
ELNC,20.11.2014,"3.150,00",,,"3.150,00","0,00",,,
ELNC,21.11.2014,"3.150,00",,,"3.150,00","0,00",,,
ELNC,24.11.2014,"3.150,00",,,"3.150,00","0,00",,,
ELNC,25.11.2014,"3.150,00",,,"3.150,00","0,00",,,
ELNC,26.11.2014,"3.150,00",,,"3.150,00","0,00",,,
ELNC,27.11.2014,"3.150,00",,,"3.150,00","0,00",,,
ELNC,28.11.2014,"3.150,00",,,"3.150,00","0,00",,,
ELNC,01.12.2014,"3.150,00",,,"3.150,00","0,00",,,
ELNC,02.12.2014,"3.150,00",,,"3.150,00","0,00",,,
ELNC,04.12.2014,"3.150,00",,,"3.150,00","0,00",,,
ELNC,05.12.2014,"3.150,00",,,"3.150,00","0,00",,,
ELNC,09.12.2014,"3.150,00",,,"3.150,00","0,00",,,
ELNC,10.12.2014,"3.150,00",,,"3.150,00","0,00",,,
ELNC,11.12.2014,"3.150,00",,,"3.150,00","0,00",,,
ELNC,12.12.2014,"3.150,00",,,"3.150,00","0,00",,,
ELNC,15.12.2014,"3.150,00",,,"3.150,00","0,00",,,
ELNC,16.12.2014,"3.150,00",,,"3.150,00","0,00",,,
ELNC,17.12.2014,"3.150,00",,,"3.150,00","0,00",,,
ELNC,18.12.2014,"3.150,00",,,"3.150,00","0,00",,,
ELNC,19.12.2014,"3.150,00",,,"3.150,00","0,00",,,
ELNC,22.12.2014,"3.150,00",,,"3.150,00","0,00",,,
ELNC,23.12.2014,"3.150,00",,,"3.150,00","0,00",,,
ELNC,24.12.2014,"3.150,00",,,"3.150,00","0,00",,,
ELNC,25.12.2014,"3.150,00",,,"3.150,00","0,00",,,
ELNC,26.12.2014,"3.150,00",,,"3.150,00","0,00",,,
ELNC,29.12.2014,"3.150,00",,,"3.150,00","0,00",,,
ELNC,30.12.2014,"3.150,00",,,"3.150,00","0,00",,,
ELNC,02.01.2015,"3.150,00",,,"3.150,00","0,00",,,
ELNC,05.01.2015,"3.150,00",,,"3.150,00","0,00",,,
ELNC,08.01.2015,"3.150,00",,,"3.150,00","0,00",,,
ELNC,09.01.2015,"3.150,00",,,"3.150,00","0,00",,,
ELNC,12.01.2015,"3.150,00",,,"3.150,00","0,00",,,
ELNC,13.01.2015,"3.150,00",,,"3.150,00","0,00",,,
ELNC,14.01.2015,"3.150,00",,,"3.150,00","0,00",,,
ELNC,15.01.2015,"3.150,00",,,"3.150,00","0,00",,,
ELNC,16.01.2015,"3.150,00",,,"3.150,00","0,00",,,
ELNC,20.01.2015,"3.150,00",,,"3.150,00","0,00",,,
ELNC,21.01.2015,"3.150,00",,,"3.150,00","0,00",,,
ELNC,22.01.2015,"3.150,00",,,"3.150,00","0,00",,,
ELNC,23.01.2015,"3.150,00",,,"3.150,00","0,00",,,
ELNC,26.01.2015,"3.150,00",,,"3.150,00","0,00",,,
ELNC,27.01.2015,"3.150,00",,,"3.150,00","0,00",,,
ELNC,28.01.2015,"3.150,00",,,"3.150,00","0,00",,,
ELNC,29.01.2015,"3.150,00",,,"3.150,00","0,00",,,
ELNC,30.01.2015,"3.150,00",,,"3.150,00","0,00",,,
ELNC,02.02.2015,"3.150,00",,,"3.150,00","0,00",,,
ELNC,03.02.2015,"3.150,00",,,"3.150,00","0,00",,,
ELNC,04.02.2015,"3.150,00",,,"3.150,00","0,00",,,
ELNC,05.02.2015,"3.150,00",,,"3.150,00","0,00",,,
ELNC,06.02.2015,"3.150,00",,,"3.150,00","0,00",,,
ELNC,09.02.2015,"3.150,00",,,"3.150,00","0,00",,,
