Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
ENER,13.11.2014,"1.200,00",,,"1.200,00","0,00",,,
ENER,14.11.2014,"1.200,00",,,"1.200,00","0,00",,,
ENER,17.11.2014,"1.200,00",,,"1.200,00","0,00",,,
ENER,18.11.2014,"1.200,00",,,"1.200,00","0,00",,,
ENER,19.11.2014,"1.200,00",,,"1.200,00","0,00",,,
ENER,20.11.2014,"1.200,00",,,"1.200,00","0,00",,,
ENER,21.11.2014,"1.200,00",,,"1.200,00","0,00",,,
ENER,24.11.2014,"1.200,00",,,"1.200,00","0,00",,,
ENER,25.11.2014,"1.200,00",,,"1.200,00","0,00",,,
ENER,26.11.2014,"1.200,00",,,"1.200,00","0,00",,,
ENER,27.11.2014,"1.200,00",,,"1.200,00","0,00",,,
ENER,28.11.2014,"1.200,00",,,"1.200,00","0,00",,,
ENER,01.12.2014,"1.200,00",,,"1.200,00","0,00",,,
ENER,02.12.2014,"1.200,00",,,"1.200,00","0,00",,,
ENER,04.12.2014,"1.200,00",,,"1.200,00","0,00",,,
ENER,05.12.2014,"1.200,00",,,"1.200,00","0,00",,,
ENER,09.12.2014,"1.200,00",,,"1.200,00","0,00",,,
ENER,10.12.2014,"1.200,00",,,"1.200,00","0,00",,,
ENER,11.12.2014,"1.200,00",,,"1.200,00","0,00",,,
ENER,12.12.2014,"1.200,00",,,"1.200,00","0,00",,,
ENER,15.12.2014,"1.200,00",,,"1.200,00","0,00",,,
ENER,16.12.2014,"1.200,00",,,"1.200,00","0,00",,,
ENER,17.12.2014,"1.200,00",,,"1.200,00","0,00",,,
ENER,18.12.2014,"1.200,00",,,"1.200,00","0,00",,,
ENER,19.12.2014,"1.200,00",,,"1.200,00","0,00",,,
ENER,22.12.2014,"1.200,00",,,"1.200,00","0,00",,,
ENER,23.12.2014,"1.200,00",,,"1.200,00","0,00",,,
ENER,24.12.2014,"1.200,00",,,"1.200,00","0,00",,,
ENER,25.12.2014,"1.200,00",,,"1.200,00","0,00",,,
ENER,26.12.2014,"1.200,00",,,"1.200,00","0,00",,,
ENER,29.12.2014,"1.200,00",,,"1.200,00","0,00",,,
ENER,30.12.2014,"1.200,00",,,"1.200,00","0,00",,,
ENER,02.01.2015,"1.200,00",,,"1.200,00","0,00",,,
ENER,05.01.2015,"1.200,00",,,"1.200,00","0,00",,,
ENER,08.01.2015,"1.200,00",,,"1.200,00","0,00",,,
ENER,09.01.2015,"1.200,00",,,"1.200,00","0,00",,,
ENER,12.01.2015,"1.200,00",,,"1.200,00","0,00",,,
ENER,13.01.2015,"1.200,00",,,"1.200,00","0,00",,,
ENER,14.01.2015,"1.200,00",,,"1.200,00","0,00",,,
ENER,15.01.2015,"1.200,00",,,"1.200,00","0,00",,,
ENER,16.01.2015,"1.200,00",,,"1.200,00","0,00",,,
ENER,20.01.2015,"1.200,00",,,"1.200,00","0,00",,,
ENER,21.01.2015,"1.200,00",,,"1.200,00","0,00",,,
ENER,22.01.2015,"1.200,00",,,"1.200,00","0,00",,,
ENER,23.01.2015,"1.200,00",,,"1.200,00","0,00",,,
ENER,26.01.2015,"1.200,00",,,"1.200,00","0,00",,,
ENER,27.01.2015,"1.200,00",,,"1.200,00","0,00",,,
ENER,28.01.2015,"1.200,00",,,"1.200,00","0,00",,,
ENER,29.01.2015,"1.200,00",,,"1.200,00","0,00",,,
ENER,30.01.2015,"1.200,00",,,"1.200,00","0,00",,,
ENER,02.02.2015,"1.200,00",,,"1.200,00","0,00",,,
ENER,03.02.2015,"1.200,00",,,"1.200,00","0,00",,,
ENER,04.02.2015,"1.200,00",,,"1.200,00","0,00",,,
ENER,05.02.2015,"1.200,00",,,"1.200,00","0,00",,,
