Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
EUHA,13.11.2014,,,,,,,,
EUHA,14.11.2014,,,,,,,,
EUHA,17.11.2014,,,,,,,,
EUHA,18.11.2014,,,,,,,,
EUHA,19.11.2014,,,,,,,,
EUHA,20.11.2014,,,,,,,,
EUHA,21.11.2014,,,,,,,,
EUHA,24.11.2014,,,,,,,,
EUHA,25.11.2014,,,,,,,,
EUHA,26.11.2014,,,,,,,,
EUHA,27.11.2014,,,,,,,,
EUHA,28.11.2014,,,,,,,,
EUHA,01.12.2014,,,,,,,,
EUHA,02.12.2014,,,,,,,,
EUHA,04.12.2014,,,,,,,,
EUHA,05.12.2014,,,,,,,,
EUHA,09.12.2014,,,,,,,,
EUHA,10.12.2014,,,,,,,,
EUHA,11.12.2014,,,,,,,,
EUHA,12.12.2014,,,,,,,,
EUHA,15.12.2014,,,,,,,,
EUHA,16.12.2014,,,,,,,,
EUHA,17.12.2014,,,,,,,,
EUHA,18.12.2014,,,,,,,,
EUHA,19.12.2014,,,,,,,,
EUHA,22.12.2014,,,,,,,,
EUHA,23.12.2014,,,,,,,,
EUHA,24.12.2014,,,,,,,,
EUHA,25.12.2014,,,,,,,,
EUHA,26.12.2014,,,,,,,,
EUHA,29.12.2014,,,,,,,,
EUHA,30.12.2014,,,,,,,,
EUHA,02.01.2015,,,,,,,,
EUHA,05.01.2015,,,,,,,,
EUHA,08.01.2015,,,,,,,,
EUHA,09.01.2015,,,,,,,,
EUHA,12.01.2015,,,,,,,,
EUHA,13.01.2015,,,,,,,,
EUHA,14.01.2015,,,,,,,,
EUHA,15.01.2015,,,,,,,,
EUHA,16.01.2015,,,,,,,,
EUHA,20.01.2015,,,,,,,,
EUHA,21.01.2015,,,,,,,,
EUHA,22.01.2015,,,,,,,,
EUHA,23.01.2015,,,,,,,,
EUHA,26.01.2015,,,,,,,,
EUHA,27.01.2015,,,,,,,,
EUHA,28.01.2015,,,,,,,,
EUHA,29.01.2015,,,,,,,,
EUHA,30.01.2015,,,,,,,,
EUHA,02.02.2015,,,,,,,,
EUHA,03.02.2015,,,,,,,,
EUHA,04.02.2015,,,,,,,,
EUHA,05.02.2015,,,,,,,,
EUHA,06.02.2015,,,,,,,,
EUHA,09.02.2015,,,,,,,,
EUHA,10.02.2015,,,,,,,,
EUHA,11.02.2015,,,,,,,,
EUHA,12.02.2015,,,,,,,,
EUHA,13.02.2015,,,,,,,,
EUHA,16.02.2015,,,,,,,,
EUHA,17.02.2015,,,,,,,,
EUHA,18.02.2015,,,,,,,,
EUHA,19.02.2015,,,,,,,,
EUHA,20.02.2015,,,,,,,,
EUHA,23.02.2015,,,,,,,,
EUHA,24.02.2015,,,,,,,,
EUHA,25.02.2015,,,,,,,,
EUHA,26.02.2015,,,,,,,,
EUHA,27.02.2015,,,,,,,,
EUHA,02.03.2015,,,,,,,,
EUHA,03.03.2015,,,,,,,,
EUHA,04.03.2015,,,,,,,,
EUHA,05.03.2015,,,,,,,,
EUHA,06.03.2015,,,,,,,,
EUHA,09.03.2015,,,,,,,,
EUHA,10.03.2015,,,,,,,,
EUHA,11.03.2015,,,,,,,,
EUHA,12.03.2015,,,,,,,,
EUHA,13.03.2015,,,,,,,,
EUHA,16.03.2015,,,,,,,,
EUHA,17.03.2015,,,,,,,,
EUHA,18.03.2015,,,,,,,,
EUHA,19.03.2015,,,,,,,,
EUHA,20.03.2015,,,,,,,,
EUHA,23.03.2015,,,,,,,,
EUHA,24.03.2015,,,,,,,,
EUHA,25.03.2015,,,,,,,,
EUHA,26.03.2015,,,,,,,,
EUHA,27.03.2015,,,,,,,,
EUHA,30.03.2015,,,,,,,,
EUHA,31.03.2015,,,,,,,,
EUHA,01.04.2015,,,,,,,,
EUHA,02.04.2015,,,,,,,,
EUHA,03.04.2015,,,,,,,,
EUHA,06.04.2015,,,,,,,,
EUHA,07.04.2015,,,,,,,,
EUHA,08.04.2015,,,,,,,,
EUHA,09.04.2015,,,,,,,,
EUHA,14.04.2015,,,,,,,,
EUHA,15.04.2015,,,,,,,,
EUHA,16.04.2015,,,,,,,,
