Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
FAKM,13.11.2014,"5.880,00",,,"5.880,00","0,00",,,
FAKM,14.11.2014,"5.880,00",,,"5.880,00","0,00",,,
FAKM,17.11.2014,"5.880,00",,,"5.880,00","0,00",,,
FAKM,18.11.2014,"5.880,00",,,"5.880,00","0,00",,,
FAKM,19.11.2014,"5.880,00",,,"5.880,00","0,00",,,
FAKM,20.11.2014,"5.880,00",,,"5.880,00","0,00",,,
FAKM,21.11.2014,"5.880,00",,,"5.880,00","0,00",,,
FAKM,24.11.2014,"5.880,00",,,"5.880,00","0,00",,,
FAKM,25.11.2014,"5.880,00",,,"5.880,00","0,00",,,
FAKM,26.11.2014,"5.880,00",,,"5.880,00","0,00",,,
FAKM,27.11.2014,"5.880,00",,,"5.880,00","0,00",,,
FAKM,28.11.2014,"5.880,00",,,"5.880,00","0,00",,,
FAKM,01.12.2014,"5.880,00",,,"5.880,00","0,00",,,
FAKM,02.12.2014,"5.880,00",,,"5.880,00","0,00",,,
FAKM,04.12.2014,"5.880,00",,,"5.880,00","0,00",,,
FAKM,05.12.2014,"5.880,00",,,"5.880,00","0,00",,,
FAKM,09.12.2014,"5.880,00",,,"5.880,00","0,00",,,
FAKM,10.12.2014,"5.880,00",,,"5.880,00","0,00",,,
FAKM,11.12.2014,"5.880,00",,,"5.880,00","0,00",,,
FAKM,12.12.2014,"5.880,00",,,"5.880,00","0,00",,,
FAKM,15.12.2014,"5.880,00",,,"5.880,00","0,00",,,
FAKM,16.12.2014,"5.880,00",,,"5.880,00","0,00",,,
FAKM,17.12.2014,"5.880,00",,,"5.880,00","0,00",,,
FAKM,18.12.2014,"5.880,00",,,"5.880,00","0,00",,,
FAKM,19.12.2014,"5.880,00",,,"5.880,00","0,00",,,
FAKM,22.12.2014,"5.880,00",,,"5.880,00","0,00",,,
FAKM,23.12.2014,"5.880,00",,,"5.880,00","0,00",,,
FAKM,24.12.2014,"5.880,00",,,"5.880,00","0,00",,,
FAKM,25.12.2014,"5.880,00",,,"5.880,00","0,00",,,
FAKM,26.12.2014,"5.880,00",,,"5.880,00","0,00",,,
FAKM,29.12.2014,"5.880,00",,,"5.880,00","0,00",,,
FAKM,30.12.2014,"5.880,00",,,"5.880,00","0,00",,,
FAKM,02.01.2015,"5.880,00",,,"5.880,00","0,00",,,
FAKM,05.01.2015,"5.880,00",,,"5.880,00","0,00",,,
FAKM,08.01.2015,"5.880,00",,,"5.880,00","0,00",,,
FAKM,09.01.2015,"5.880,00",,,"5.880,00","0,00",,,
FAKM,12.01.2015,"5.880,00",,,"5.880,00","0,00",,,
FAKM,13.01.2015,"5.880,00",,,"5.880,00","0,00",,,
FAKM,14.01.2015,"5.880,00",,,"5.880,00","0,00",,,
FAKM,15.01.2015,"5.880,00",,,"5.880,00","0,00",,,
FAKM,16.01.2015,"5.880,00",,,"5.880,00","0,00",,,
FAKM,20.01.2015,"5.880,00",,,"5.880,00","0,00",,,
FAKM,21.01.2015,"5.880,00",,,"5.880,00","0,00",,,
FAKM,22.01.2015,"5.880,00",,,"5.880,00","0,00",,,
FAKM,23.01.2015,"5.880,00",,,"5.880,00","0,00",,,
FAKM,26.01.2015,"5.880,00",,,"5.880,00","0,00",,,
FAKM,27.01.2015,"5.880,00",,,"5.880,00","0,00",,,
