Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
FERS,13.11.2014,"55.000,00",,,"55.000,00","0,00",,,
FERS,14.11.2014,"55.000,00",,,"55.000,00","0,00",,,
FERS,17.11.2014,"55.000,00",,,"55.000,00","0,00",,,
FERS,18.11.2014,"55.000,00",,,"55.000,00","0,00",,,
FERS,19.11.2014,"55.000,00",,,"55.000,00","0,00",,,
FERS,20.11.2014,"55.000,00",,,"55.000,00","0,00",,,
FERS,21.11.2014,"55.000,00",,,"55.000,00","0,00",,,
FERS,24.11.2014,"55.000,00",,,"55.000,00","0,00",,,
FERS,25.11.2014,"55.000,00",,,"55.000,00","0,00",,,
FERS,26.11.2014,"55.000,00",,,"55.000,00","0,00",,,
FERS,27.11.2014,"55.000,00",,,"55.000,00","0,00",,,
FERS,28.11.2014,"55.000,00",,,"55.000,00","0,00",,,
FERS,01.12.2014,"55.000,00",,,"55.000,00","0,00",,,
FERS,02.12.2014,"57.000,00","57.000,00","57.000,00","57.000,00","3,64",2.0,114.000,114.000
FERS,04.12.2014,"57.000,00","57.000,00","57.000,00","57.000,00","0,00",4.0,228.000,228.000
FERS,05.12.2014,"57.000,00",,,"57.000,00","0,00",,,
FERS,09.12.2014,"57.000,00",,,"57.000,00","0,00",,,
FERS,10.12.2014,"56.000,00","56.000,00","56.000,00","56.000,00","-1,75",5.0,280.000,280.000
FERS,11.12.2014,"56.000,00",,,"56.000,00","0,00",,,
FERS,12.12.2014,"56.000,00",,,"56.000,00","0,00",,,
FERS,15.12.2014,"56.000,00",,,"56.000,00","0,00",,,
FERS,16.12.2014,"56.000,00",,,"56.000,00","0,00",,,
FERS,17.12.2014,"56.000,00",,,"56.000,00","0,00",,,
FERS,18.12.2014,"56.000,00",,,"56.000,00","0,00",,,
FERS,19.12.2014,"56.000,00",,,"56.000,00","0,00",,,
FERS,22.12.2014,"56.000,00",,,"56.000,00","0,00",,,
FERS,23.12.2014,"56.000,00",,,"56.000,00","0,00",,,
FERS,24.12.2014,"56.000,00",,,"56.000,00","0,00",,,
FERS,25.12.2014,"56.000,00",,,"56.000,00","0,00",,,75.717.200
FERS,26.12.2014,"56.000,00",,,"56.000,00","0,00",,,
FERS,29.12.2014,"56.000,00",,,"56.000,00","0,00",,,75.020.000
FERS,30.12.2014,"56.000,00","56.000,00","55.000,00","55.500,00","-0,89",4.0,222.000,222.000
FERS,02.01.2015,"56.000,00",,,"55.500,00","0,00",,,
FERS,05.01.2015,"56.000,00",,,"55.500,00","0,00",,,2.322.000
FERS,08.01.2015,"56.000,00",,,"55.500,00","0,00",,,
FERS,09.01.2015,"56.000,00",,,"55.500,00","0,00",,,
FERS,12.01.2015,"56.000,00",,,"55.500,00","0,00",,,
FERS,13.01.2015,"56.000,00",,,"55.500,00","0,00",,,
FERS,14.01.2015,"56.000,00",,,"55.500,00","0,00",,,
FERS,15.01.2015,"56.000,00",,,"55.500,00","0,00",,,
FERS,16.01.2015,"56.000,00",,,"55.500,00","0,00",,,
FERS,20.01.2015,"56.000,00",,,"55.500,00","0,00",,,
FERS,21.01.2015,"56.000,00",,,"55.500,00","0,00",,,
FERS,22.01.2015,"56.000,00",,,"55.500,00","0,00",,,
