Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
FKTL,12.09.2023,"620,00","620,00","620,00","620,00",,1.25,775.0,775.0
FKTL,13.09.2023,"620,00",,,"620,00","0,00",,,
FKTL,14.09.2023,"620,00",,,"620,00","0,00",,,
FKTL,15.09.2023,"620,00",,,"620,00","0,00",,,
FKTL,18.09.2023,"620,00",,,"620,00","0,00",,,
FKTL,19.09.2023,"620,00",,,"620,00","0,00",,,
FKTL,20.09.2023,"620,00",,,"620,00","0,00",,,
FKTL,21.09.2023,"620,00",,,"620,00","0,00",,,
FKTL,22.09.2023,"620,00",,,"620,00","0,00",,,
FKTL,25.09.2023,"620,00",,,"620,00","0,00",,,
FKTL,26.09.2023,"620,00",,,"620,00","0,00",,,
FKTL,27.09.2023,"620,00",,,"620,00","0,00",,,
FKTL,28.09.2023,"620,00",,,"620,00","0,00",,,
FKTL,29.09.2023,"620,00",,,"620,00","0,00",,,
FKTL,02.10.2023,"620,00",,,"620,00","0,00",,,
FKTL,03.10.2023,"620,00",,,"620,00","0,00",,,
FKTL,04.10.2023,"620,00",,,"620,00","0,00",,,
FKTL,05.10.2023,"620,00",,,"620,00","0,00",,,
FKTL,06.10.2023,"620,00",,,"620,00","0,00",,,
FKTL,09.10.2023,"620,00",,,"620,00","0,00",,,
FKTL,10.10.2023,"620,00",,,"620,00","0,00",,,
FKTL,12.10.2023,"620,00",,,"620,00","0,00",,,
FKTL,13.10.2023,"620,00",,,"620,00","0,00",,,
FKTL,16.10.2023,"620,00",,,"620,00","0,00",,,
FKTL,17.10.2023,"620,00",,,"620,00","0,00",,,
FKTL,18.10.2023,"620,00",,,"620,00","0,00",,,
FKTL,19.10.2023,"620,00",,,"620,00","0,00",,,
FKTL,20.10.2023,"620,00",,,"620,00","0,00",,,
FKTL,24.10.2023,"620,00",,,"620,00","0,00",,,
FKTL,25.10.2023,"620,00",,,"620,00","0,00",,,
FKTL,26.10.2023,"620,00",,,"620,00","0,00",,,
FKTL,27.10.2023,"620,00",,,"620,00","0,00",,,
FKTL,30.10.2023,"620,00",,,"620,00","0,00",,,
FKTL,31.10.2023,"620,00",,,"620,00","0,00",,,
FKTL,01.11.2023,"620,00",,,"620,00","0,00",,,
FKTL,02.11.2023,"620,00",,,"620,00","0,00",,,
FKTL,03.11.2023,"620,00",,,"620,00","0,00",,,
FKTL,06.11.2023,"620,00",,,"620,00","0,00",,,
FKTL,07.11.2023,"620,00",,,"620,00","0,00",,,
FKTL,08.11.2023,"620,00",,,"620,00","0,00",,,
FKTL,09.11.2023,"620,00",,,"620,00","0,00",,,
FKTL,10.11.2023,"620,00",,,"620,00","0,00",,,
FKTL,13.11.2023,"620,00",,,"620,00","0,00",,,
FKTL,14.11.2023,"620,00",,,"620,00","0,00",,,
FKTL,15.11.2023,"620,00",,,"620,00","0,00",,,
FKTL,16.11.2023,"620,00",,,"620,00","0,00",,,
FKTL,17.11.2023,"620,00",,,"620,00","0,00",,,
FKTL,20.11.2023,"620,00",,,"620,00","0,00",,,
FKTL,21.11.2023,"620,00",,,"620,00","0,00",,,
FKTL,22.11.2023,"620,00",,,"620,00","0,00",,,
FKTL,23.11.2023,"620,00",,,"620,00","0,00",,,
FKTL,24.11.2023,"620,00",,,"620,00","0,00",,,
FKTL,27.11.2023,"620,00",,,"620,00","0,00",,,
FKTL,28.11.2023,"620,00",,,"620,00","0,00",,,
FKTL,29.11.2023,"620,00",,,"620,00","0,00",,,
FKTL,30.11.2023,"620,00",,,"620,00","0,00",,,
FKTL,01.12.2023,"620,00",,,"620,00","0,00",,,
FKTL,04.12.2023,"620,00",,,"620,00","0,00",,,
FKTL,05.12.2023,"620,00",,,"620,00","0,00",,,
FKTL,06.12.2023,"620,00",,,"620,00","0,00",,,
FKTL,07.12.2023,"620,00",,,"620,00","0,00",,,
FKTL,11.12.2023,"620,00",,,"620,00","0,00",,,
FKTL,12.12.2023,"620,00",,,"620,00","0,00",,,
FKTL,13.12.2023,"620,00",,,"620,00","0,00",,,
