Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
FROT,13.11.2014,"120,00",,,"120,00","0,00",,,
FROT,14.11.2014,"120,00",,,"120,00","0,00",,,
FROT,17.11.2014,"120,00",,,"120,00","0,00",,,
FROT,18.11.2014,"120,00",,,"120,00","0,00",,,
FROT,19.11.2014,"120,00",,,"120,00","0,00",,,
FROT,20.11.2014,"120,00",,,"120,00","0,00",,,
FROT,21.11.2014,"120,00",,,"120,00","0,00",,,
FROT,24.11.2014,"120,00",,,"120,00","0,00",,,
FROT,25.11.2014,"120,00",,,"120,00","0,00",,,
FROT,26.11.2014,"120,00",,,"120,00","0,00",,,
FROT,27.11.2014,"120,00",,,"120,00","0,00",,,
FROT,28.11.2014,"120,00",,,"120,00","0,00",,,
FROT,01.12.2014,"120,00",,,"120,00","0,00",,,
FROT,02.12.2014,"120,00",,,"120,00","0,00",,,
FROT,04.12.2014,"120,00",,,"120,00","0,00",,,
FROT,05.12.2014,"120,00",,,"120,00","0,00",,,
FROT,09.12.2014,"120,00",,,"120,00","0,00",,,
FROT,10.12.2014,"120,00",,,"120,00","0,00",,,
FROT,11.12.2014,"120,00",,,"120,00","0,00",,,
FROT,12.12.2014,"120,00",,,"120,00","0,00",,,
FROT,15.12.2014,"120,00",,,"120,00","0,00",,,
FROT,16.12.2014,"120,00",,,"120,00","0,00",,,
FROT,17.12.2014,"120,00",,,"120,00","0,00",,,
FROT,18.12.2014,"120,00",,,"120,00","0,00",,,
FROT,19.12.2014,"120,00",,,"120,00","0,00",,,
FROT,22.12.2014,"120,00",,,"120,00","0,00",,,
FROT,23.12.2014,"120,00",,,"120,00","0,00",,,
FROT,24.12.2014,"120,00",,,"120,00","0,00",,,
FROT,25.12.2014,"120,00",,,"120,00","0,00",,,
FROT,26.12.2014,"120,00",,,"120,00","0,00",,,
FROT,29.12.2014,"120,00",,,"120,00","0,00",,,
FROT,30.12.2014,"120,00",,,"120,00","0,00",,,
FROT,02.01.2015,"120,00",,,"120,00","0,00",,,
FROT,05.01.2015,"120,00",,,"120,00","0,00",,,
FROT,08.01.2015,"120,00",,,"120,00","0,00",,,
FROT,09.01.2015,"120,00",,,"120,00","0,00",,,
FROT,12.01.2015,"120,00",,,"120,00","0,00",,,
FROT,13.01.2015,"120,00",,,"120,00","0,00",,,
FROT,14.01.2015,"120,00",,,"120,00","0,00",,,
FROT,15.01.2015,"120,00",,,"120,00","0,00",,,
FROT,16.01.2015,"120,00",,,"120,00","0,00",,,
FROT,20.01.2015,"120,00",,,"120,00","0,00",,,
FROT,21.01.2015,"120,00",,,"120,00","0,00",,,
FROT,22.01.2015,"120,00",,,"120,00","0,00",,,
FROT,23.01.2015,"120,00",,,"120,00","0,00",,,
FROT,26.01.2015,"120,00",,,"120,00","0,00",,,
FROT,27.01.2015,"120,00",,,"120,00","0,00",,,
FROT,28.01.2015,"120,00",,,"120,00","0,00",,,
FROT,29.01.2015,"120,00",,,"120,00","0,00",,,
FROT,30.01.2015,"120,00",,,"120,00","0,00",,,
FROT,02.02.2015,"120,00",,,"120,00","0,00",,,
FROT,03.02.2015,"120,00",,,"120,00","0,00",,,
FROT,04.02.2015,"120,00",,,"120,00","0,00",,,
FROT,05.02.2015,"120,00",,,"120,00","0,00",,,
FROT,06.02.2015,"120,00",,,"120,00","0,00",,,
FROT,09.02.2015,"120,00",,,"120,00","0,00",,,
FROT,10.02.2015,"120,00",,,"120,00","0,00",,,
FROT,11.02.2015,"120,00",,,"120,00","0,00",,,
FROT,12.02.2015,"120,00",,,"120,00","0,00",,,
FROT,13.02.2015,"120,00",,,"120,00","0,00",,,
FROT,16.02.2015,"120,00",,,"120,00","0,00",,,
FROT,17.02.2015,"120,00",,,"120,00","0,00",,,
FROT,18.02.2015,"120,00",,,"120,00","0,00",,,
FROT,19.02.2015,"120,00",,,"120,00","0,00",,,
FROT,20.02.2015,"120,00",,,"120,00","0,00",,,
FROT,23.02.2015,"120,00",,,"120,00","0,00",,,
FROT,24.02.2015,"120,00",,,"120,00","0,00",,,
FROT,25.02.2015,"120,00",,,"120,00","0,00",,,
FROT,26.02.2015,"120,00",,,"120,00","0,00",,,
FROT,27.02.2015,"120,00",,,"120,00","0,00",,,
FROT,02.03.2015,"120,00",,,"120,00","0,00",,,
FROT,03.03.2015,"120,00",,,"120,00","0,00",,,
FROT,04.03.2015,"120,00",,,"120,00","0,00",,,
FROT,05.03.2015,"120,00",,,"120,00","0,00",,,
FROT,06.03.2015,"120,00",,,"120,00","0,00",,,
FROT,09.03.2015,"120,00",,,"120,00","0,00",,,
FROT,10.03.2015,"120,00",,,"120,00","0,00",,,
FROT,11.03.2015,"120,00",,,"120,00","0,00",,,
FROT,12.03.2015,"120,00",,,"120,00","0,00",,,
FROT,13.03.2015,"120,00",,,"120,00","0,00",,,
FROT,16.03.2015,"120,00",,,"120,00","0,00",,,
FROT,17.03.2015,"120,00",,,"120,00","0,00",,,
FROT,18.03.2015,"120,00",,,"120,00","0,00",,,
FROT,19.03.2015,"120,00",,,"120,00","0,00",,,
FROT,20.03.2015,"120,00",,,"120,00","0,00",,,
FROT,23.03.2015,"120,00",,,"120,00","0,00",,,
FROT,24.03.2015,"120,00",,,"120,00","0,00",,,
FROT,25.03.2015,"120,00",,,"120,00","0,00",,,
