Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
FUBT,13.11.2014,"500,00",,,"500,00","0,00",,,
FUBT,14.11.2014,"500,00",,,"500,00","0,00",,,
FUBT,17.11.2014,"500,00",,,"500,00","0,00",,,
FUBT,18.11.2014,"500,00",,,"500,00","0,00",,,
FUBT,19.11.2014,"500,00",,,"500,00","0,00",,,
FUBT,20.11.2014,"500,00",,,"500,00","0,00",,,
FUBT,21.11.2014,"500,00",,,"500,00","0,00",,,
FUBT,24.11.2014,"500,00",,,"500,00","0,00",,,
FUBT,25.11.2014,"500,00",,,"500,00","0,00",,,
FUBT,26.11.2014,"500,00",,,"500,00","0,00",,,
FUBT,27.11.2014,"500,00",,,"500,00","0,00",,,
FUBT,28.11.2014,"500,00",,,"500,00","0,00",,,
FUBT,01.12.2014,"500,00",,,"500,00","0,00",,,
FUBT,02.12.2014,"500,00",,,"500,00","0,00",,,
FUBT,04.12.2014,"500,00",,,"500,00","0,00",,,
FUBT,05.12.2014,"500,00",,,"500,00","0,00",,,
FUBT,09.12.2014,"500,00",,,"500,00","0,00",,,
FUBT,10.12.2014,"500,00",,,"500,00","0,00",,,
FUBT,11.12.2014,"500,00",,,"500,00","0,00",,,
FUBT,12.12.2014,"500,00",,,"500,00","0,00",,,
FUBT,15.12.2014,"500,00",,,"500,00","0,00",,,
FUBT,16.12.2014,"500,00",,,"500,00","0,00",,,
FUBT,17.12.2014,"500,00",,,"500,00","0,00",,,
FUBT,18.12.2014,"500,00",,,"500,00","0,00",,,
FUBT,19.12.2014,"500,00",,,"500,00","0,00",,,
FUBT,22.12.2014,"500,00",,,"500,00","0,00",,,
FUBT,23.12.2014,"500,00",,,"500,00","0,00",,,
FUBT,24.12.2014,"500,00",,,"500,00","0,00",,,
FUBT,25.12.2014,"500,00",,,"500,00","0,00",,,
FUBT,26.12.2014,"500,00",,,"500,00","0,00",,,
FUBT,29.12.2014,"500,00",,,"500,00","0,00",,,
FUBT,30.12.2014,"500,00",,,"500,00","0,00",,,
FUBT,02.01.2015,"500,00",,,"500,00","0,00",,,
FUBT,05.01.2015,"500,00",,,"500,00","0,00",,,
FUBT,08.01.2015,"500,00",,,"500,00","0,00",,,
FUBT,09.01.2015,"500,00",,,"500,00","0,00",,,
FUBT,12.01.2015,"500,00",,,"500,00","0,00",,,
FUBT,13.01.2015,"500,00",,,"500,00","0,00",,,
FUBT,14.01.2015,"500,00",,,"500,00","0,00",,,
FUBT,15.01.2015,"500,00",,,"500,00","0,00",,,
FUBT,16.01.2015,"500,00",,,"500,00","0,00",,,
FUBT,20.01.2015,"500,00",,,"500,00","0,00",,,
FUBT,21.01.2015,"500,00","500,00","500,00","500,00","0,00",60.0,30.0,30.0
FUBT,22.01.2015,"500,00",,,"500,00","0,00",,,
FUBT,23.01.2015,"500,00",,,"500,00","0,00",,,
FUBT,26.01.2015,"500,00",,,"500,00","0,00",,,
FUBT,27.01.2015,"500,00",,,"500,00","0,00",,,
FUBT,28.01.2015,"500,00",,,"500,00","0,00",,,
FUBT,29.01.2015,"500,00",,,"500,00","0,00",,,
FUBT,30.01.2015,"500,00",,,"500,00","0,00",,,
FUBT,02.02.2015,"500,00",,,"500,00","0,00",,,
FUBT,03.02.2015,"500,00",,,"500,00","0,00",,,
FUBT,04.02.2015,"500,00",,,"500,00","0,00",,,
FUBT,05.02.2015,"500,00",,,"500,00","0,00",,,
FUBT,06.02.2015,"500,00",,,"500,00","0,00",,,
FUBT,09.02.2015,"500,00",,,"500,00","0,00",,,
FUBT,10.02.2015,"500,00",,,"500,00","0,00",,,
FUBT,11.02.2015,"500,00",,,"500,00","0,00",,,
FUBT,12.02.2015,"500,00",,,"500,00","0,00",,,
FUBT,13.02.2015,"500,00",,,"500,00","0,00",,,
FUBT,16.02.2015,"500,00",,,"500,00","0,00",,,
FUBT,17.02.2015,"500,00",,,"500,00","0,00",,,
FUBT,18.02.2015,"500,00",,,"500,00","0,00",,,
FUBT,19.02.2015,"500,00",,,"500,00","0,00",,,
FUBT,20.02.2015,"500,00",,,"500,00","0,00",,,
FUBT,23.02.2015,"500,00",,,"500,00","0,00",,,
FUBT,24.02.2015,"500,00",,,"500,00","0,00",,,
FUBT,25.02.2015,"500,00",,,"500,00","0,00",,,
FUBT,26.02.2015,"500,00",,,"500,00","0,00",,,
FUBT,27.02.2015,"500,00","500,00","500,00","500,00","0,00",43.0,21.5,21.5
FUBT,02.03.2015,"500,00",,,"500,00","0,00",,,
FUBT,03.03.2015,"500,00",,,"500,00","0,00",,,
FUBT,04.03.2015,"500,00",,,"500,00","0,00",,,
FUBT,05.03.2015,"500,00",,,"500,00","0,00",,,
FUBT,06.03.2015,"500,00",,,"500,00","0,00",,,
FUBT,09.03.2015,"500,00",,,"500,00","0,00",,,
FUBT,10.03.2015,"500,00",,,"500,00","0,00",,,
FUBT,11.03.2015,"500,00",,,"500,00","0,00",,,
FUBT,12.03.2015,"500,00",,,"500,00","0,00",,,
FUBT,13.03.2015,"500,00",,,"500,00","0,00",,,
FUBT,16.03.2015,"500,00",,,"500,00","0,00",,,
FUBT,17.03.2015,"500,00",,,"500,00","0,00",,,
FUBT,18.03.2015,"500,00",,,"500,00","0,00",,,
FUBT,19.03.2015,"500,00",,,"500,00","0,00",,,
FUBT,20.03.2015,"500,00",,,"500,00","0,00",,,
FUBT,23.03.2015,"500,00",,,"500,00","0,00",,,
FUBT,24.03.2015,"500,00",,,"500,00","0,00",,,
