Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
GALE,13.11.2014,"1.250,00",,,"1.250,00","0,00",,,
GALE,14.11.2014,"1.250,00",,,"1.250,00","0,00",,,
GALE,17.11.2014,"1.250,00",,,"1.250,00","0,00",,,
GALE,18.11.2014,"1.250,00",,,"1.250,00","0,00",,,
GALE,19.11.2014,"1.250,00",,,"1.250,00","0,00",,,
GALE,20.11.2014,"1.250,00",,,"1.250,00","0,00",,,
GALE,21.11.2014,"1.250,00",,,"1.250,00","0,00",,,
GALE,24.11.2014,"1.250,00",,,"1.250,00","0,00",,,
GALE,25.11.2014,"1.250,00",,,"1.250,00","0,00",,,
GALE,26.11.2014,"1.250,00",,,"1.250,00","0,00",,,
GALE,27.11.2014,"1.250,00",,,"1.250,00","0,00",,,
GALE,28.11.2014,"1.250,00",,,"1.250,00","0,00",,,
GALE,01.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GALE,02.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GALE,04.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GALE,05.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GALE,09.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GALE,10.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GALE,11.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GALE,12.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GALE,15.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GALE,16.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GALE,17.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GALE,18.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GALE,19.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GALE,22.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GALE,23.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GALE,24.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GALE,25.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GALE,26.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GALE,29.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GALE,30.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GALE,02.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,05.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,08.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,09.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,12.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,13.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,14.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,15.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,16.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,20.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,21.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,22.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,23.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,26.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,27.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,28.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,29.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,30.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,02.02.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,03.02.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,04.02.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,05.02.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,06.02.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,09.02.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,10.02.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,11.02.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,12.02.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,13.02.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,16.02.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,17.02.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,18.02.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,19.02.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,20.02.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,23.02.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,24.02.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,25.02.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,26.02.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,27.02.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,02.03.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,03.03.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,04.03.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,05.03.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,06.03.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,09.03.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,10.03.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,11.03.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,12.03.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,13.03.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,16.03.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,17.03.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,18.03.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,19.03.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,20.03.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,23.03.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,24.03.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,25.03.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,26.03.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,27.03.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,30.03.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,31.03.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,01.04.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,02.04.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,03.04.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,06.04.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,07.04.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,08.04.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,09.04.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,14.04.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,15.04.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,16.04.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,17.04.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,20.04.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,21.04.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,22.04.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,23.04.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,24.04.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,27.04.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,28.04.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,29.04.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,30.04.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,04.05.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,05.05.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,06.05.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,07.05.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,08.05.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,11.05.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,12.05.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,13.05.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,14.05.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,15.05.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,18.05.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,19.05.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,20.05.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,21.05.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,22.05.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,26.05.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,27.05.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,28.05.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,01.06.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,02.06.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,03.06.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,04.06.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,05.06.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,08.06.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,09.06.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,10.06.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,11.06.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,12.06.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,15.06.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,16.06.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,17.06.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,18.06.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,19.06.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,22.06.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,23.06.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,24.06.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,25.06.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,26.06.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,29.06.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,30.06.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,01.07.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,02.07.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,03.07.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,06.07.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,07.07.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,08.07.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,09.07.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,10.07.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,13.07.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,14.07.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,15.07.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,16.07.2015,"1.250,00",,,"1.250,00","0,00",,,
GALE,20.07.2015,"1.250,00",,,"1.250,00","0,00",,,
