Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
GDKM,13.11.2014,"1.250,00",,,"1.250,00","0,00",,,
GDKM,14.11.2014,"1.250,00",,,"1.250,00","0,00",,,
GDKM,17.11.2014,"1.250,00",,,"1.250,00","0,00",,,
GDKM,18.11.2014,"1.250,00",,,"1.250,00","0,00",,,
GDKM,19.11.2014,"1.250,00",,,"1.250,00","0,00",,,
GDKM,20.11.2014,"1.250,00",,,"1.250,00","0,00",,,
GDKM,21.11.2014,"1.250,00",,,"1.250,00","0,00",,,
GDKM,24.11.2014,"1.250,00",,,"1.250,00","0,00",,,
GDKM,25.11.2014,"1.250,00",,,"1.250,00","0,00",,,
GDKM,26.11.2014,"1.250,00",,,"1.250,00","0,00",,,
GDKM,27.11.2014,"1.250,00",,,"1.250,00","0,00",,,
GDKM,28.11.2014,"1.250,00",,,"1.250,00","0,00",,,
GDKM,01.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GDKM,02.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GDKM,04.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GDKM,05.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GDKM,09.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GDKM,10.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GDKM,11.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GDKM,12.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GDKM,15.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GDKM,16.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GDKM,17.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GDKM,18.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GDKM,19.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GDKM,22.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GDKM,23.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GDKM,24.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GDKM,25.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GDKM,26.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GDKM,29.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GDKM,30.12.2014,"1.250,00",,,"1.250,00","0,00",,,
GDKM,02.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GDKM,05.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GDKM,08.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GDKM,09.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GDKM,12.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GDKM,13.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GDKM,14.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GDKM,15.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GDKM,16.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GDKM,20.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GDKM,21.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GDKM,22.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GDKM,23.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GDKM,26.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GDKM,27.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GDKM,28.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GDKM,29.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GDKM,30.01.2015,"1.250,00",,,"1.250,00","0,00",,,
GDKM,02.02.2015,"1.250,00",,,"1.250,00","0,00",,,
GDKM,03.02.2015,"1.250,00",,,"1.250,00","0,00",,,
GDKM,04.02.2015,"1.250,00",,,"1.250,00","0,00",,,
GDKM,05.02.2015,"1.250,00",,,"1.250,00","0,00",,,
GDKM,06.02.2015,"1.250,00",,,"1.250,00","0,00",,,
GDKM,09.02.2015,"1.250,00",,,"1.250,00","0,00",,,
GDKM,10.02.2015,"1.250,00",,,"1.250,00","0,00",,,
