Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
GIMS,13.11.2014,"6.500,00",,,"6.500,00","0,00",,,
GIMS,14.11.2014,"6.500,00",,,"6.500,00","0,00",,,
GIMS,17.11.2014,"6.500,00",,,"6.500,00","0,00",,,
GIMS,18.11.2014,"6.500,00",,,"6.500,00","0,00",,,
GIMS,19.11.2014,"6.500,00",,,"6.500,00","0,00",,,
GIMS,20.11.2014,"6.500,00",,,"6.500,00","0,00",,,
GIMS,21.11.2014,"6.500,00",,,"6.500,00","0,00",,,
GIMS,24.11.2014,"6.500,00",,,"6.500,00","0,00",,,
GIMS,25.11.2014,"6.500,00",,,"6.500,00","0,00",,,
GIMS,26.11.2014,"6.500,00",,,"6.500,00","0,00",,,
GIMS,27.11.2014,"7.060,00","7.060,00","7.060,00","7.060,00","8,62",35.0,247.1,247.100
GIMS,28.11.2014,"7.555,00","7.555,00","7.555,00","7.555,00","7,01",24.0,181.32,181.320
GIMS,01.12.2014,"7.555,00",,,"7.555,00","0,00",,,
GIMS,02.12.2014,"7.555,00",,,"7.555,00","0,00",,,
GIMS,04.12.2014,"7.555,00",,,"7.555,00","0,00",,,
GIMS,05.12.2014,"7.555,00",,,"7.555,00","0,00",,,
GIMS,09.12.2014,"7.555,00",,,"7.555,00","0,00",,,
GIMS,10.12.2014,"7.555,00",,,"7.555,00","0,00",,,
GIMS,11.12.2014,"7.555,00",,,"7.555,00","0,00",,,
GIMS,12.12.2014,"7.555,00",,,"7.555,00","0,00",,,
GIMS,15.12.2014,"7.555,00",,,"7.555,00","0,00",,,
GIMS,16.12.2014,"7.555,00",,,"7.555,00","0,00",,,
GIMS,17.12.2014,"7.555,00",,,"7.555,00","0,00",,,
GIMS,18.12.2014,"7.555,00",,,"7.555,00","0,00",,,
GIMS,19.12.2014,"7.555,00",,,"7.555,00","0,00",,,
GIMS,22.12.2014,"7.555,00",,,"7.555,00","0,00",,,
GIMS,23.12.2014,"7.555,00",,,"7.555,00","0,00",,,
GIMS,24.12.2014,"7.555,00",,,"7.555,00","0,00",,,1.185.000
GIMS,25.12.2014,"7.555,00",,,"7.555,00","0,00",,,
GIMS,26.12.2014,"7.555,00",,,"7.555,00","0,00",,,
GIMS,29.12.2014,"7.555,00",,,"7.555,00","0,00",,,
GIMS,30.12.2014,"7.555,00",,,"7.555,00","0,00",,,
GIMS,02.01.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,05.01.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,08.01.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,09.01.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,12.01.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,13.01.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,14.01.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,15.01.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,16.01.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,20.01.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,21.01.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,22.01.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,23.01.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,26.01.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,27.01.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,28.01.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,29.01.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,30.01.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,02.02.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,03.02.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,04.02.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,05.02.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,06.02.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,09.02.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,10.02.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,11.02.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,12.02.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,13.02.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,16.02.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,17.02.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,18.02.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,19.02.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,20.02.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,23.02.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,24.02.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,25.02.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,26.02.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,27.02.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,02.03.2015,"7.555,00",,,"7.555,00","0,00",,,
GIMS,03.03.2015,"7.329,00","7.329,00","7.329,00","7.329,00","-2,99",13.0,95.277,95.277
GIMS,04.03.2015,"7.329,00",,,"7.329,00","0,00",,,
GIMS,05.03.2015,"7.329,00",,,"7.329,00","0,00",,,
GIMS,06.03.2015,"7.329,00",,,"7.329,00","0,00",,,
GIMS,09.03.2015,"7.329,00",,,"7.329,00","0,00",,,
GIMS,10.03.2015,"7.329,00",,,"7.329,00","0,00",,,
GIMS,11.03.2015,"7.329,00",,,"7.329,00","0,00",,,
GIMS,12.03.2015,"7.329,00",,,"7.329,00","0,00",,,
GIMS,13.03.2015,"7.329,00",,,"7.329,00","0,00",,,
GIMS,16.03.2015,"7.329,00",,,"7.329,00","0,00",,,
GIMS,17.03.2015,"7.329,00",,,"7.329,00","0,00",,,
GIMS,18.03.2015,"7.329,00",,,"7.329,00","0,00",,,
GIMS,19.03.2015,"7.329,00",,,"7.329,00","0,00",,,
GIMS,20.03.2015,"7.329,00",,,"7.329,00","0,00",,,
GIMS,23.03.2015,"7.329,00",,,"7.329,00","0,00",,,
GIMS,24.03.2015,"7.329,00",,,"7.329,00","0,00",,,
GIMS,25.03.2015,"7.329,00",,,"7.329,00","0,00",,,
GIMS,26.03.2015,"7.329,00",,,"7.329,00","0,00",,,
GIMS,27.03.2015,"7.329,00",,,"7.329,00","0,00",,,
GIMS,30.03.2015,"7.329,00",,,"7.329,00","0,00",,,
GIMS,31.03.2015,"7.329,00",,,"7.329,00","0,00",,,
GIMS,01.04.2015,"7.329,00",,,"7.329,00","0,00",,,
GIMS,02.04.2015,"7.329,00",,,"7.329,00","0,00",,,
GIMS,03.04.2015,"7.329,00",,,"7.329,00","0,00",,,
GIMS,06.04.2015,"7.329,00",,,"7.329,00","0,00",,,
GIMS,07.04.2015,"7.329,00",,,"7.329,00","0,00",,,
GIMS,08.04.2015,"7.329,00",,,"7.329,00","0,00",,,
GIMS,09.04.2015,"7.329,00",,,"7.329,00","0,00",,,
GIMS,14.04.2015,"7.329,00",,,"7.329,00","0,00",,,
GIMS,15.04.2015,"7.329,00",,,"7.329,00","0,00",,,
GIMS,16.04.2015,"7.329,00",,,"7.329,00","0,00",,,
