Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
GRNT,13.11.2014,"575,00","576,00","575,00","575,23","0,52",452.0,260.002,260.002
GRNT,14.11.2014,"576,00","576,00","575,00","575,28","0,01",266.0,153.025,153.025
GRNT,17.11.2014,"580,00","580,00","575,00","575,51","0,04",390.0,224.450,224.450
GRNT,18.11.2014,"575,00","575,00","574,00","574,67","-0,15",1.194,686.156,686.156
GRNT,19.11.2014,"570,00","570,00","560,00","562,99","-2,03",428.0,240.960,240.960
GRNT,20.11.2014,"570,00","579,00","569,00","570,33","1,30",6.991,3.987.210,3.987.210
GRNT,21.11.2014,"573,00","573,00","573,00","573,00","0,47",329.0,188.517,188.517
GRNT,24.11.2014,"573,00",,,"573,00","0,00",,,
GRNT,25.11.2014,"570,00","570,00","570,00","570,00","-0,52",310.0,176.700,176.700
GRNT,26.11.2014,"570,00","570,00","570,00","570,00","0,00",20.0,11.400,11.400
GRNT,27.11.2014,"570,00","570,00","570,00","570,00","0,00",100.0,57.000,57.000
GRNT,28.11.2014,"570,00","570,00","570,00","570,00","0,00",778.0,443.460,443.460
GRNT,01.12.2014,"562,00","562,00","562,00","562,00","-1,40",100.0,56.200,56.200
GRNT,02.12.2014,"573,00","573,00","562,00","570,13","1,45",5.522,3.148.265,3.148.265
GRNT,04.12.2014,"570,00","570,00","570,00","570,00","-0,02",622.0,354.540,354.540
GRNT,05.12.2014,"575,00","575,00","571,00","571,92","0,34",2.658,1.520.154,1.520.154
GRNT,09.12.2014,"560,00","573,00","560,00","570,40","-0,27",500.0,285.200,285.200
GRNT,10.12.2014,"560,00",,,"570,40","0,00",,,
GRNT,11.12.2014,"560,00",,,"570,40","0,00",,,
GRNT,12.12.2014,"580,00","581,00","560,00","579,23","1,55",17.741,10.276.138,10.276.138
GRNT,15.12.2014,"580,00",,,"579,23","0,00",,,
GRNT,16.12.2014,"570,00","570,00","570,00","570,00","-1,59",350.0,199.500,199.500
GRNT,17.12.2014,"555,00","570,00","555,00","569,27","-0,13",409.0,232.830,232.830
GRNT,18.12.2014,"555,00",,,"569,27","0,00",,,
GRNT,19.12.2014,"570,00","570,00","570,00","570,00","0,13",200.0,114.000,114.000
GRNT,22.12.2014,"560,00","560,00","560,00","560,00","-1,75",500.0,280.000,280.000
GRNT,23.12.2014,"566,00","570,00","560,00","562,25","0,40",1.53,860.240,860.240
