Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
GRSN,13.11.2014,"615,00",,,"615,00","0,00",,,
GRSN,14.11.2014,"615,00",,,"615,00","0,00",,,
GRSN,17.11.2014,"615,00",,,"615,00","0,00",,,
GRSN,18.11.2014,"615,00",,,"615,00","0,00",,,
GRSN,19.11.2014,"615,00",,,"615,00","0,00",,,
GRSN,20.11.2014,"615,00",,,"615,00","0,00",,,
GRSN,21.11.2014,"615,00",,,"615,00","0,00",,,
GRSN,24.11.2014,"615,00",,,"615,00","0,00",,,
GRSN,25.11.2014,"615,00",,,"615,00","0,00",,,
GRSN,26.11.2014,"615,00",,,"615,00","0,00",,,
GRSN,27.11.2014,"615,00",,,"615,00","0,00",,,
GRSN,28.11.2014,"615,00",,,"615,00","0,00",,,
GRSN,01.12.2014,"615,00",,,"615,00","0,00",,,
GRSN,02.12.2014,"615,00",,,"615,00","0,00",,,
GRSN,04.12.2014,"615,00",,,"615,00","0,00",,,
GRSN,05.12.2014,"615,00",,,"615,00","0,00",,,
GRSN,09.12.2014,"615,00",,,"615,00","0,00",,,
GRSN,10.12.2014,"615,00",,,"615,00","0,00",,,
GRSN,11.12.2014,"615,00",,,"615,00","0,00",,,
GRSN,12.12.2014,"615,00",,,"615,00","0,00",,,
GRSN,15.12.2014,"615,00",,,"615,00","0,00",,,
GRSN,16.12.2014,"615,00",,,"615,00","0,00",,,
GRSN,17.12.2014,"615,00",,,"615,00","0,00",,,
GRSN,18.12.2014,"615,00",,,"615,00","0,00",,,
GRSN,19.12.2014,"615,00",,,"615,00","0,00",,,
GRSN,22.12.2014,"615,00",,,"615,00","0,00",,,
GRSN,23.12.2014,"615,00",,,"615,00","0,00",,,
GRSN,24.12.2014,"615,00",,,"615,00","0,00",,,
GRSN,25.12.2014,"615,00",,,"615,00","0,00",,,
GRSN,26.12.2014,"615,00",,,"615,00","0,00",,,
GRSN,29.12.2014,"615,00",,,"615,00","0,00",,,
GRSN,30.12.2014,"615,00",,,"615,00","0,00",,,
GRSN,02.01.2015,"615,00",,,"615,00","0,00",,,
GRSN,05.01.2015,"615,00",,,"615,00","0,00",,,
GRSN,08.01.2015,"615,00",,,"615,00","0,00",,,
GRSN,09.01.2015,"615,00",,,"615,00","0,00",,,
GRSN,12.01.2015,"615,00",,,"615,00","0,00",,,
GRSN,13.01.2015,"615,00",,,"615,00","0,00",,,
GRSN,14.01.2015,"615,00",,,"615,00","0,00",,,
GRSN,15.01.2015,"615,00",,,"615,00","0,00",,,
GRSN,16.01.2015,"615,00",,,"615,00","0,00",,,
GRSN,20.01.2015,"615,00",,,"615,00","0,00",,,
GRSN,21.01.2015,"615,00",,,"615,00","0,00",,,
GRSN,22.01.2015,"615,00",,,"615,00","0,00",,,
GRSN,23.01.2015,"615,00",,,"615,00","0,00",,,
GRSN,26.01.2015,"615,00",,,"615,00","0,00",,,
GRSN,27.01.2015,"615,00",,,"615,00","0,00",,,
GRSN,28.01.2015,"615,00",,,"615,00","0,00",,,
GRSN,29.01.2015,"615,00",,,"615,00","0,00",,,
GRSN,30.01.2015,"615,00",,,"615,00","0,00",,,
GRSN,02.02.2015,"615,00",,,"615,00","0,00",,,
GRSN,03.02.2015,"615,00",,,"615,00","0,00",,,
GRSN,04.02.2015,"615,00",,,"615,00","0,00",,,
GRSN,05.02.2015,"615,00",,,"615,00","0,00",,,
GRSN,06.02.2015,"615,00",,,"615,00","0,00",,,
GRSN,09.02.2015,"615,00",,,"615,00","0,00",,,
GRSN,10.02.2015,"615,00",,,"615,00","0,00",,,
GRSN,11.02.2015,"615,00",,,"615,00","0,00",,,
GRSN,12.02.2015,"615,00",,,"615,00","0,00",,,
GRSN,13.02.2015,"615,00",,,"615,00","0,00",,,
GRSN,16.02.2015,"615,00",,,"615,00","0,00",,,
GRSN,17.02.2015,"615,00",,,"615,00","0,00",,,
GRSN,18.02.2015,"615,00",,,"615,00","0,00",,,
GRSN,19.02.2015,"615,00",,,"615,00","0,00",,,
GRSN,20.02.2015,"615,00",,,"615,00","0,00",,,
GRSN,23.02.2015,"615,00",,,"615,00","0,00",,,
GRSN,24.02.2015,"615,00",,,"615,00","0,00",,,
GRSN,25.02.2015,"615,00",,,"615,00","0,00",,,
GRSN,26.02.2015,"615,00",,,"615,00","0,00",,,
GRSN,27.02.2015,"615,00",,,"615,00","0,00",,,
GRSN,02.03.2015,"615,00",,,"615,00","0,00",,,
GRSN,03.03.2015,"615,00",,,"615,00","0,00",,,
GRSN,04.03.2015,"615,00",,,"615,00","0,00",,,
GRSN,05.03.2015,"615,00",,,"615,00","0,00",,,
GRSN,06.03.2015,"615,00",,,"615,00","0,00",,,
GRSN,09.03.2015,"615,00",,,"615,00","0,00",,,
GRSN,10.03.2015,"615,00",,,"615,00","0,00",,,
GRSN,11.03.2015,"615,00",,,"615,00","0,00",,,
GRSN,12.03.2015,"615,00",,,"615,00","0,00",,,
GRSN,13.03.2015,"615,00",,,"615,00","0,00",,,
GRSN,16.03.2015,"615,00",,,"615,00","0,00",,,
GRSN,17.03.2015,"615,00",,,"615,00","0,00",,,
GRSN,18.03.2015,"615,00",,,"615,00","0,00",,,
GRSN,19.03.2015,"615,00",,,"615,00","0,00",,,
GRSN,20.03.2015,"615,00",,,"615,00","0,00",,,
GRSN,23.03.2015,"615,00",,,"615,00","0,00",,,
GRSN,24.03.2015,"615,00",,,"615,00","0,00",,,
GRSN,25.03.2015,"615,00",,,"615,00","0,00",,,
GRSN,26.03.2015,"615,00",,,"615,00","0,00",,,
GRSN,27.03.2015,"615,00",,,"615,00","0,00",,,
GRSN,30.03.2015,"615,00",,,"615,00","0,00",,,
GRSN,31.03.2015,"615,00",,,"615,00","0,00",,,
GRSN,01.04.2015,"615,00",,,"615,00","0,00",,,
GRSN,02.04.2015,"615,00",,,"615,00","0,00",,,
GRSN,03.04.2015,"615,00",,,"615,00","0,00",,,
GRSN,06.04.2015,"615,00",,,"615,00","0,00",,,
GRSN,07.04.2015,"615,00",,,"615,00","0,00",,,
GRSN,08.04.2015,"615,00",,,"615,00","0,00",,,
GRSN,09.04.2015,"615,00",,,"615,00","0,00",,,
GRSN,14.04.2015,"615,00",,,"615,00","0,00",,,
GRSN,15.04.2015,"615,00",,,"615,00","0,00",,,
GRSN,16.04.2015,"615,00",,,"615,00","0,00",,,
GRSN,17.04.2015,"615,00",,,"615,00","0,00",,,
GRSN,20.04.2015,"615,00",,,"615,00","0,00",,,
GRSN,21.04.2015,"615,00",,,"615,00","0,00",,,
GRSN,22.04.2015,"615,00",,,"615,00","0,00",,,
GRSN,23.04.2015,"615,00",,,"615,00","0,00",,,
GRSN,24.04.2015,"615,00",,,"615,00","0,00",,,
GRSN,27.04.2015,"615,00",,,"615,00","0,00",,,
GRSN,28.04.2015,"615,00",,,"615,00","0,00",,,
GRSN,29.04.2015,"615,00",,,"615,00","0,00",,,
GRSN,30.04.2015,"615,00",,,"615,00","0,00",,,
GRSN,04.05.2015,"615,00",,,"615,00","0,00",,,
GRSN,05.05.2015,"615,00",,,"615,00","0,00",,,
GRSN,06.05.2015,"615,00",,,"615,00","0,00",,,
GRSN,07.05.2015,"615,00",,,"615,00","0,00",,,
GRSN,08.05.2015,"615,00",,,"615,00","0,00",,,
GRSN,11.05.2015,"615,00",,,"615,00","0,00",,,
