Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
GRZD,13.11.2014,"950,00",,,"950,00","0,00",,,
GRZD,14.11.2014,"950,00",,,"950,00","0,00",,,
GRZD,17.11.2014,"950,00",,,"950,00","0,00",,,
GRZD,18.11.2014,"950,00",,,"950,00","0,00",,,
GRZD,19.11.2014,"950,00",,,"950,00","0,00",,,
GRZD,20.11.2014,"950,00",,,"950,00","0,00",,,
GRZD,21.11.2014,"950,00",,,"950,00","0,00",,,
GRZD,24.11.2014,"950,00",,,"950,00","0,00",,,
GRZD,25.11.2014,"950,00",,,"950,00","0,00",,,
GRZD,26.11.2014,"950,00",,,"950,00","0,00",,,
GRZD,27.11.2014,"950,00",,,"950,00","0,00",,,
GRZD,28.11.2014,"950,00",,,"950,00","0,00",,,
GRZD,01.12.2014,"950,00",,,"950,00","0,00",,,
GRZD,02.12.2014,"950,00",,,"950,00","0,00",,,
GRZD,04.12.2014,"950,00",,,"950,00","0,00",,,
GRZD,05.12.2014,"950,00",,,"950,00","0,00",,,
GRZD,09.12.2014,"950,00",,,"950,00","0,00",,,
GRZD,10.12.2014,"950,00",,,"950,00","0,00",,,
GRZD,11.12.2014,"950,00",,,"950,00","0,00",,,
GRZD,12.12.2014,"950,00",,,"950,00","0,00",,,
GRZD,15.12.2014,"950,00",,,"950,00","0,00",,,
GRZD,16.12.2014,"950,00",,,"950,00","0,00",,,
GRZD,17.12.2014,"950,00",,,"950,00","0,00",,,
GRZD,18.12.2014,"950,00",,,"950,00","0,00",,,
GRZD,19.12.2014,"950,00",,,"950,00","0,00",,,
GRZD,22.12.2014,"950,00",,,"950,00","0,00",,,
GRZD,23.12.2014,"950,00",,,"950,00","0,00",,,
GRZD,24.12.2014,"950,00",,,"950,00","0,00",,,
GRZD,25.12.2014,"950,00",,,"950,00","0,00",,,
GRZD,26.12.2014,"950,00",,,"950,00","0,00",,,
GRZD,29.12.2014,"950,00",,,"950,00","0,00",,,
GRZD,30.12.2014,"950,00",,,"950,00","0,00",,,
GRZD,02.01.2015,"950,00",,,"950,00","0,00",,,
GRZD,05.01.2015,"950,00",,,"950,00","0,00",,,
GRZD,08.01.2015,"950,00",,,"950,00","0,00",,,
GRZD,09.01.2015,"950,00",,,"950,00","0,00",,,
GRZD,12.01.2015,"950,00",,,"950,00","0,00",,,
GRZD,13.01.2015,"950,00",,,"950,00","0,00",,,
GRZD,14.01.2015,"950,00",,,"950,00","0,00",,,
GRZD,15.01.2015,"950,00",,,"950,00","0,00",,,
GRZD,16.01.2015,"950,00",,,"950,00","0,00",,,
GRZD,20.01.2015,"950,00",,,"950,00","0,00",,,
GRZD,21.01.2015,"950,00",,,"950,00","0,00",,,
GRZD,22.01.2015,"950,00",,,"950,00","0,00",,,
GRZD,23.01.2015,"950,00",,,"950,00","0,00",,,
GRZD,26.01.2015,"950,00",,,"950,00","0,00",,,
GRZD,27.01.2015,"950,00",,,"950,00","0,00",,,
GRZD,28.01.2015,"950,00",,,"950,00","0,00",,,
GRZD,29.01.2015,"950,00",,,"950,00","0,00",,,
GRZD,30.01.2015,"950,00",,,"950,00","0,00",,,
GRZD,02.02.2015,"950,00",,,"950,00","0,00",,,
GRZD,03.02.2015,"950,00",,,"950,00","0,00",,,
GRZD,04.02.2015,"950,00",,,"950,00","0,00",,,
GRZD,05.02.2015,"950,00",,,"950,00","0,00",,,
GRZD,06.02.2015,"950,00",,,"950,00","0,00",,,
GRZD,09.02.2015,"950,00",,,"950,00","0,00",,,
GRZD,10.02.2015,"950,00",,,"950,00","0,00",,,
