Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
GTC,13.11.2014,"1.795,00",,,"1.795,00","0,00",,,
GTC,14.11.2014,"1.795,00",,,"1.795,00","0,00",,,
GTC,17.11.2014,"1.795,00",,,"1.795,00","0,00",,,
GTC,18.11.2014,"1.795,00",,,"1.795,00","0,00",,,
GTC,19.11.2014,"1.795,00",,,"1.795,00","0,00",,,
GTC,20.11.2014,"1.795,00",,,"1.795,00","0,00",,,
GTC,21.11.2014,"1.795,00",,,"1.795,00","0,00",,,
GTC,24.11.2014,"1.795,00",,,"1.795,00","0,00",,,
GTC,25.11.2014,"1.795,00",,,"1.795,00","0,00",,,
GTC,26.11.2014,"1.795,00",,,"1.795,00","0,00",,,
GTC,27.11.2014,"1.795,00",,,"1.795,00","0,00",,,
GTC,28.11.2014,"1.795,00",,,"1.795,00","0,00",,,
GTC,01.12.2014,"1.795,00",,,"1.795,00","0,00",,,
GTC,02.12.2014,"1.795,00",,,"1.795,00","0,00",,,
GTC,04.12.2014,"1.795,00",,,"1.795,00","0,00",,,
GTC,05.12.2014,"1.795,00",,,"1.795,00","0,00",,,
GTC,09.12.2014,"1.795,00",,,"1.795,00","0,00",,,
GTC,10.12.2014,"1.795,00",,,"1.795,00","0,00",,,
GTC,11.12.2014,"1.795,00",,,"1.795,00","0,00",,,
GTC,12.12.2014,"1.795,00",,,"1.795,00","0,00",,,
GTC,15.12.2014,"1.795,00",,,"1.795,00","0,00",,,
GTC,16.12.2014,"1.795,00",,,"1.795,00","0,00",,,
GTC,17.12.2014,"1.795,00",,,"1.795,00","0,00",,,
GTC,18.12.2014,"1.795,00",,,"1.795,00","0,00",,,
GTC,19.12.2014,"1.795,00",,,"1.795,00","0,00",,,
GTC,22.12.2014,"1.795,00",,,"1.795,00","0,00",,,
GTC,23.12.2014,"1.795,00",,,"1.795,00","0,00",,,
GTC,24.12.2014,"1.795,00",,,"1.795,00","0,00",,,
GTC,25.12.2014,"1.795,00",,,"1.795,00","0,00",,,
GTC,26.12.2014,"1.795,00",,,"1.795,00","0,00",,,
GTC,29.12.2014,"1.795,00",,,"1.795,00","0,00",,,
GTC,30.12.2014,"1.795,00",,,"1.795,00","0,00",,,
GTC,02.01.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,05.01.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,08.01.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,09.01.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,12.01.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,13.01.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,14.01.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,15.01.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,16.01.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,20.01.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,21.01.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,22.01.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,23.01.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,26.01.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,27.01.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,28.01.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,29.01.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,30.01.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,02.02.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,03.02.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,04.02.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,05.02.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,06.02.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,09.02.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,10.02.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,11.02.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,12.02.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,13.02.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,16.02.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,17.02.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,18.02.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,19.02.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,20.02.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,23.02.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,24.02.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,25.02.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,26.02.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,27.02.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,02.03.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,03.03.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,04.03.2015,"1.795,00",,,"1.795,00","0,00",,,
GTC,05.03.2015,"1.795,00",,,"1.795,00","0,00",,,
