Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
GTRG,13.11.2014,"3.000,00",,,"3.000,00","0,00",,,
GTRG,14.11.2014,"3.000,00",,,"3.000,00","0,00",,,
GTRG,17.11.2014,"3.000,00",,,"3.000,00","0,00",,,
GTRG,18.11.2014,"3.000,00",,,"3.000,00","0,00",,,
GTRG,19.11.2014,"3.000,00",,,"3.000,00","0,00",,,
GTRG,20.11.2014,"3.000,00",,,"3.000,00","0,00",,,
GTRG,21.11.2014,"3.000,00",,,"3.000,00","0,00",,,
GTRG,24.11.2014,"3.000,00",,,"3.000,00","0,00",,,
GTRG,25.11.2014,"3.000,00",,,"3.000,00","0,00",,,
GTRG,26.11.2014,"3.000,00",,,"3.000,00","0,00",,,
GTRG,27.11.2014,"3.000,00",,,"3.000,00","0,00",,,
GTRG,28.11.2014,"3.000,00",,,"3.000,00","0,00",,,
GTRG,01.12.2014,"3.000,00",,,"3.000,00","0,00",,,
GTRG,02.12.2014,"3.000,00",,,"3.000,00","0,00",,,
GTRG,04.12.2014,"3.000,00",,,"3.000,00","0,00",,,
GTRG,05.12.2014,"3.000,00",,,"3.000,00","0,00",,,
GTRG,09.12.2014,"3.000,00",,,"3.000,00","0,00",,,
GTRG,10.12.2014,"3.000,00",,,"3.000,00","0,00",,,
GTRG,11.12.2014,"3.000,00",,,"3.000,00","0,00",,,
GTRG,12.12.2014,"3.000,00",,,"3.000,00","0,00",,,
GTRG,15.12.2014,"3.000,00",,,"3.000,00","0,00",,,
GTRG,16.12.2014,"3.000,00",,,"3.000,00","0,00",,,
GTRG,17.12.2014,"3.000,00",,,"3.000,00","0,00",,,
GTRG,18.12.2014,"3.000,00",,,"3.000,00","0,00",,,
GTRG,19.12.2014,"3.000,00",,,"3.000,00","0,00",,,
GTRG,22.12.2014,"3.000,00",,,"3.000,00","0,00",,,
GTRG,23.12.2014,"3.000,00",,,"3.000,00","0,00",,,
GTRG,24.12.2014,"3.000,00",,,"3.000,00","0,00",,,
GTRG,25.12.2014,"3.000,00",,,"3.000,00","0,00",,,
GTRG,26.12.2014,"3.000,00",,,"3.000,00","0,00",,,
GTRG,29.12.2014,"3.000,00",,,"3.000,00","0,00",,,
GTRG,30.12.2014,"3.000,00",,,"3.000,00","0,00",,,
GTRG,02.01.2015,"3.000,00",,,"3.000,00","0,00",,,
GTRG,05.01.2015,"3.000,00",,,"3.000,00","0,00",,,
GTRG,08.01.2015,"3.000,00",,,"3.000,00","0,00",,,
GTRG,09.01.2015,"3.000,00",,,"3.000,00","0,00",,,
