Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
IJUG,13.11.2014,"2.286,00",,,"2.286,00","0,00",,,
IJUG,14.11.2014,"2.286,00",,,"2.286,00","0,00",,,
IJUG,17.11.2014,"2.286,00",,,"2.286,00","0,00",,,
IJUG,18.11.2014,"2.286,00",,,"2.286,00","0,00",,,
IJUG,19.11.2014,"2.286,00",,,"2.286,00","0,00",,,
IJUG,20.11.2014,"2.286,00",,,"2.286,00","0,00",,,
IJUG,21.11.2014,"2.286,00",,,"2.286,00","0,00",,,
IJUG,24.11.2014,"2.286,00",,,"2.286,00","0,00",,,
IJUG,25.11.2014,"2.286,00",,,"2.286,00","0,00",,,
IJUG,26.11.2014,"2.286,00",,,"2.286,00","0,00",,,
IJUG,27.11.2014,"2.286,00",,,"2.286,00","0,00",,,
IJUG,28.11.2014,"2.286,00",,,"2.286,00","0,00",,,
IJUG,01.12.2014,"2.286,00",,,"2.286,00","0,00",,,
IJUG,02.12.2014,"2.286,00",,,"2.286,00","0,00",,,
IJUG,04.12.2014,"2.286,00",,,"2.286,00","0,00",,,
IJUG,05.12.2014,"2.286,00",,,"2.286,00","0,00",,,
IJUG,09.12.2014,"2.286,00",,,"2.286,00","0,00",,,
IJUG,10.12.2014,"2.286,00",,,"2.286,00","0,00",,,
IJUG,11.12.2014,"2.286,00",,,"2.286,00","0,00",,,
IJUG,12.12.2014,"2.286,00",,,"2.286,00","0,00",,,
IJUG,15.12.2014,"2.286,00",,,"2.286,00","0,00",,,
IJUG,16.12.2014,"2.286,00",,,"2.286,00","0,00",,,
IJUG,17.12.2014,"2.286,00",,,"2.286,00","0,00",,,
IJUG,18.12.2014,"2.286,00",,,"2.286,00","0,00",,,
IJUG,19.12.2014,"2.286,00",,,"2.286,00","0,00",,,
IJUG,22.12.2014,"2.286,00",,,"2.286,00","0,00",,,
IJUG,23.12.2014,"2.286,00",,,"2.286,00","0,00",,,
IJUG,24.12.2014,"2.286,00",,,"2.286,00","0,00",,,
IJUG,25.12.2014,"2.286,00",,,"2.286,00","0,00",,,
IJUG,26.12.2014,"2.286,00",,,"2.286,00","0,00",,,
IJUG,29.12.2014,"2.286,00",,,"2.286,00","0,00",,,
IJUG,30.12.2014,"2.286,00",,,"2.286,00","0,00",,,
IJUG,02.01.2015,"2.286,00",,,"2.286,00","0,00",,,
IJUG,05.01.2015,"2.286,00",,,"2.286,00","0,00",,,
IJUG,08.01.2015,"2.286,00",,,"2.286,00","0,00",,,
IJUG,09.01.2015,"2.286,00",,,"2.286,00","0,00",,,
