Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
INB,13.11.2014,"5.000,00",,,"5.000,00","0,00",,,
INB,14.11.2014,"5.000,00",,,"5.000,00","0,00",,,
INB,17.11.2014,"5.000,00",,,"5.000,00","0,00",,,
INB,18.11.2014,"5.000,00",,,"5.000,00","0,00",,,
INB,19.11.2014,"5.000,00",,,"5.000,00","0,00",,,
INB,20.11.2014,"5.000,00",,,"5.000,00","0,00",,,
INB,21.11.2014,"5.000,00",,,"5.000,00","0,00",,,
INB,24.11.2014,"5.000,00",,,"5.000,00","0,00",,,
INB,25.11.2014,"5.000,00",,,"5.000,00","0,00",,,
INB,26.11.2014,"5.000,00",,,"5.000,00","0,00",,,
INB,27.11.2014,"5.000,00",,,"5.000,00","0,00",,,
INB,28.11.2014,"5.000,00",,,"5.000,00","0,00",,,
INB,01.12.2014,"5.000,00",,,"5.000,00","0,00",,,
INB,02.12.2014,"5.000,00",,,"5.000,00","0,00",,,
INB,04.12.2014,"5.000,00",,,"5.000,00","0,00",,,
INB,05.12.2014,"5.000,00",,,"5.000,00","0,00",,,
INB,09.12.2014,"5.000,00",,,"5.000,00","0,00",,,
INB,10.12.2014,"5.000,00",,,"5.000,00","0,00",,,
INB,11.12.2014,"5.000,00",,,"5.000,00","0,00",,,
INB,12.12.2014,"5.000,00",,,"5.000,00","0,00",,,
INB,15.12.2014,"5.000,00",,,"5.000,00","0,00",,,
INB,16.12.2014,"5.000,00",,,"5.000,00","0,00",,,
INB,17.12.2014,"5.000,00",,,"5.000,00","0,00",,,
INB,18.12.2014,"5.000,00",,,"5.000,00","0,00",,,
INB,19.12.2014,"5.000,00",,,"5.000,00","0,00",,,
INB,22.12.2014,"5.000,00",,,"5.000,00","0,00",,,
INB,23.12.2014,"5.000,00",,,"5.000,00","0,00",,,
INB,24.12.2014,"5.000,00",,,"5.000,00","0,00",,,
INB,25.12.2014,"5.000,00",,,"5.000,00","0,00",,,
INB,26.12.2014,"5.000,00",,,"5.000,00","0,00",,,
INB,29.12.2014,"5.000,00",,,"5.000,00","0,00",,,
INB,30.12.2014,"5.000,00",,,"5.000,00","0,00",,,
INB,02.01.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,05.01.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,08.01.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,09.01.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,12.01.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,13.01.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,14.01.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,15.01.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,16.01.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,20.01.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,21.01.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,22.01.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,23.01.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,26.01.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,27.01.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,28.01.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,29.01.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,30.01.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,02.02.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,03.02.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,04.02.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,05.02.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,06.02.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,09.02.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,10.02.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,11.02.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,12.02.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,13.02.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,16.02.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,17.02.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,18.02.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,19.02.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,20.02.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,23.02.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,24.02.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,25.02.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,26.02.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,27.02.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,02.03.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,03.03.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,04.03.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,05.03.2015,"5.000,00",,,"5.000,00","0,00",,,
INB,06.03.2015,"5.000,00",,,"5.000,00","0,00",,,
