Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
INOV,11.11.2022,"773,00","773,00","773,00","773,00",,301.0,232.673,232.673
INOV,14.11.2022,"773,00",,,"773,00","0,00",,,
INOV,15.11.2022,"773,00",,,"773,00","0,00",,,
INOV,16.11.2022,"773,00",,,"773,00","0,00",,,
INOV,17.11.2022,"773,00",,,"773,00","0,00",,,
INOV,18.11.2022,"773,00",,,"773,00","0,00",,,
INOV,21.11.2022,"773,00",,,"773,00","0,00",,,
INOV,22.11.2022,"773,00",,,"773,00","0,00",,,
INOV,23.11.2022,"773,00",,,"773,00","0,00",,,
INOV,24.11.2022,"773,00",,,"773,00","0,00",,,
INOV,25.11.2022,"773,00",,,"773,00","0,00",,,
INOV,28.11.2022,"773,00",,,"773,00","0,00",,,
INOV,29.11.2022,"773,00",,,"773,00","0,00",,,
INOV,30.11.2022,"773,00",,,"773,00","0,00",,,
INOV,01.12.2022,"773,00",,,"773,00","0,00",,,
INOV,02.12.2022,"773,00",,,"773,00","0,00",,,
INOV,05.12.2022,"773,00",,,"773,00","0,00",,,
INOV,06.12.2022,"773,00",,,"773,00","0,00",,,
INOV,07.12.2022,"773,00",,,"773,00","0,00",,,
INOV,09.12.2022,"773,00",,,"773,00","0,00",,,
INOV,12.12.2022,"773,00",,,"773,00","0,00",,,
INOV,13.12.2022,"773,00",,,"773,00","0,00",,,
INOV,14.12.2022,"773,00",,,"773,00","0,00",,,
INOV,15.12.2022,"773,00",,,"773,00","0,00",,,
INOV,16.12.2022,"773,00",,,"773,00","0,00",,,
INOV,19.12.2022,"773,00",,,"773,00","0,00",,,
INOV,20.12.2022,"773,00",,,"773,00","0,00",,,
INOV,21.12.2022,"773,00",,,"773,00","0,00",,,
INOV,22.12.2022,"773,00",,,"773,00","0,00",,,
INOV,23.12.2022,"773,00",,,"773,00","0,00",,,
INOV,26.12.2022,"773,00",,,"773,00","0,00",,,
INOV,27.12.2022,"773,00",,,"773,00","0,00",,,
INOV,28.12.2022,"773,00",,,"773,00","0,00",,,
INOV,29.12.2022,"773,00",,,"773,00","0,00",,,
INOV,03.01.2023,"773,00",,,"773,00","0,00",,,
INOV,04.01.2023,"773,00",,,"773,00","0,00",,,
INOV,05.01.2023,"773,00",,,"773,00","0,00",,,
INOV,09.01.2023,"773,00",,,"773,00","0,00",,,
INOV,10.01.2023,"773,00",,,"773,00","0,00",,,
