Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
INPR,13.11.2014,"620,00",,,"620,00","0,00",,,
INPR,14.11.2014,"620,00",,,"620,00","0,00",,,
INPR,17.11.2014,"620,00",,,"620,00","0,00",,,
INPR,18.11.2014,"620,00",,,"620,00","0,00",,,
INPR,19.11.2014,"620,00",,,"620,00","0,00",,,
INPR,20.11.2014,"620,00",,,"620,00","0,00",,,
INPR,21.11.2014,"620,00",,,"620,00","0,00",,,
INPR,24.11.2014,"620,00",,,"620,00","0,00",,,
INPR,25.11.2014,"620,00",,,"620,00","0,00",,,
INPR,26.11.2014,"620,00",,,"620,00","0,00",,,
INPR,27.11.2014,"620,00",,,"620,00","0,00",,,
INPR,28.11.2014,"620,00",,,"620,00","0,00",,,
INPR,01.12.2014,"620,00",,,"620,00","0,00",,,
INPR,02.12.2014,"620,00",,,"620,00","0,00",,,
INPR,04.12.2014,"620,00",,,"620,00","0,00",,,
INPR,05.12.2014,"620,00",,,"620,00","0,00",,,
INPR,09.12.2014,"620,00",,,"620,00","0,00",,,
INPR,10.12.2014,"620,00",,,"620,00","0,00",,,
INPR,11.12.2014,"620,00",,,"620,00","0,00",,,
INPR,12.12.2014,"620,00",,,"620,00","0,00",,,
INPR,15.12.2014,"620,00",,,"620,00","0,00",,,
INPR,16.12.2014,"620,00",,,"620,00","0,00",,,
INPR,17.12.2014,"620,00",,,"620,00","0,00",,,
INPR,18.12.2014,"620,00",,,"620,00","0,00",,,
INPR,19.12.2014,"620,00",,,"620,00","0,00",,,
INPR,22.12.2014,"620,00",,,"620,00","0,00",,,
INPR,23.12.2014,"620,00",,,"620,00","0,00",,,
INPR,24.12.2014,"620,00",,,"620,00","0,00",,,
INPR,25.12.2014,"620,00",,,"620,00","0,00",,,
INPR,26.12.2014,"620,00",,,"620,00","0,00",,,
INPR,29.12.2014,"620,00",,,"620,00","0,00",,,
INPR,30.12.2014,"620,00",,,"620,00","0,00",,,
INPR,02.01.2015,"620,00",,,"620,00","0,00",,,
INPR,05.01.2015,"620,00",,,"620,00","0,00",,,
INPR,08.01.2015,"620,00",,,"620,00","0,00",,,
INPR,09.01.2015,"620,00",,,"620,00","0,00",,,
INPR,12.01.2015,"620,00",,,"620,00","0,00",,,
INPR,13.01.2015,"620,00",,,"620,00","0,00",,,
INPR,14.01.2015,"620,00",,,"620,00","0,00",,,
INPR,15.01.2015,"620,00",,,"620,00","0,00",,,
INPR,16.01.2015,"620,00",,,"620,00","0,00",,,
INPR,20.01.2015,"620,00",,,"620,00","0,00",,,
INPR,21.01.2015,"620,00",,,"620,00","0,00",,,
INPR,22.01.2015,"620,00",,,"620,00","0,00",,,
INPR,23.01.2015,"620,00",,,"620,00","0,00",,,
INPR,26.01.2015,"620,00",,,"620,00","0,00",,,
INPR,27.01.2015,"620,00",,,"620,00","0,00",,,
INPR,28.01.2015,"620,00",,,"620,00","0,00",,,
INPR,29.01.2015,"620,00",,,"620,00","0,00",,,
INPR,30.01.2015,"620,00",,,"620,00","0,00",,,
INPR,02.02.2015,"620,00",,,"620,00","0,00",,,
INPR,03.02.2015,"620,00",,,"620,00","0,00",,,
