Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
JAKO,13.11.2014,"91,00",,,"91,00","0,00",,,
JAKO,14.11.2014,"91,00",,,"91,00","0,00",,,
JAKO,17.11.2014,"91,00",,,"91,00","0,00",,,
JAKO,18.11.2014,"91,00",,,"91,00","0,00",,,
JAKO,19.11.2014,"91,00",,,"91,00","0,00",,,
JAKO,20.11.2014,"91,00",,,"91,00","0,00",,,
JAKO,21.11.2014,"91,00",,,"91,00","0,00",,,
JAKO,24.11.2014,"91,00",,,"91,00","0,00",,,
JAKO,25.11.2014,"91,00",,,"91,00","0,00",,,
JAKO,26.11.2014,"91,00",,,"91,00","0,00",,,
JAKO,27.11.2014,"91,00",,,"91,00","0,00",,,
JAKO,28.11.2014,"91,00",,,"91,00","0,00",,,
JAKO,01.12.2014,"91,00",,,"91,00","0,00",,,
JAKO,02.12.2014,"91,00",,,"91,00","0,00",,,
JAKO,04.12.2014,"91,00",,,"91,00","0,00",,,
JAKO,05.12.2014,"91,00",,,"91,00","0,00",,,
JAKO,09.12.2014,"91,00",,,"91,00","0,00",,,
JAKO,10.12.2014,"91,00",,,"91,00","0,00",,,
JAKO,11.12.2014,"91,00",,,"91,00","0,00",,,
JAKO,12.12.2014,"91,00",,,"91,00","0,00",,,
JAKO,15.12.2014,"91,00",,,"91,00","0,00",,,
JAKO,16.12.2014,"91,00",,,"91,00","0,00",,,
JAKO,17.12.2014,"91,00",,,"91,00","0,00",,,
JAKO,18.12.2014,"91,00",,,"91,00","0,00",,,
JAKO,19.12.2014,"91,00",,,"91,00","0,00",,,
JAKO,22.12.2014,"91,00",,,"91,00","0,00",,,
JAKO,23.12.2014,"91,00",,,"91,00","0,00",,,
JAKO,24.12.2014,"91,00",,,"91,00","0,00",,,
JAKO,25.12.2014,"91,00",,,"91,00","0,00",,,
JAKO,26.12.2014,"91,00",,,"91,00","0,00",,,
