Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
JUSK,13.11.2014,"6.925,00",,,"6.925,00","0,00",,,
JUSK,14.11.2014,"6.925,00",,,"6.925,00","0,00",,,
JUSK,17.11.2014,"6.925,00",,,"6.925,00","0,00",,,
JUSK,18.11.2014,"6.925,00",,,"6.925,00","0,00",,,
JUSK,19.11.2014,"6.925,00",,,"6.925,00","0,00",,,
JUSK,20.11.2014,"6.925,00",,,"6.925,00","0,00",,,
JUSK,21.11.2014,"6.925,00",,,"6.925,00","0,00",,,
JUSK,24.11.2014,"6.925,00",,,"6.925,00","0,00",,,
JUSK,25.11.2014,"6.925,00",,,"6.925,00","0,00",,,
JUSK,26.11.2014,"6.925,00",,,"6.925,00","0,00",,,
JUSK,27.11.2014,"6.925,00",,,"6.925,00","0,00",,,
JUSK,28.11.2014,"6.925,00",,,"6.925,00","0,00",,,
JUSK,01.12.2014,"6.925,00",,,"6.925,00","0,00",,,
JUSK,02.12.2014,"6.925,00",,,"6.925,00","0,00",,,
JUSK,04.12.2014,"6.925,00",,,"6.925,00","0,00",,,
JUSK,05.12.2014,"6.925,00",,,"6.925,00","0,00",,,
JUSK,09.12.2014,"6.925,00",,,"6.925,00","0,00",,,
JUSK,10.12.2014,"6.925,00",,,"6.925,00","0,00",,,
JUSK,11.12.2014,"6.925,00",,,"6.925,00","0,00",,,
JUSK,12.12.2014,"6.925,00",,,"6.925,00","0,00",,,
JUSK,15.12.2014,"6.925,00",,,"6.925,00","0,00",,,
JUSK,16.12.2014,"6.925,00",,,"6.925,00","0,00",,,
JUSK,17.12.2014,"6.925,00",,,"6.925,00","0,00",,,
JUSK,18.12.2014,"6.925,00",,,"6.925,00","0,00",,,
JUSK,19.12.2014,"6.925,00",,,"6.925,00","0,00",,,
JUSK,22.12.2014,"6.925,00",,,"6.925,00","0,00",,,
JUSK,23.12.2014,"6.925,00",,,"6.925,00","0,00",,,
JUSK,24.12.2014,"6.925,00",,,"6.925,00","0,00",,,
JUSK,25.12.2014,"6.925,00",,,"6.925,00","0,00",,,
JUSK,26.12.2014,"6.925,00",,,"6.925,00","0,00",,,
JUSK,29.12.2014,"6.925,00",,,"6.925,00","0,00",,,
JUSK,30.12.2014,"6.925,00",,,"6.925,00","0,00",,,
JUSK,02.01.2015,"6.925,00",,,"6.925,00","0,00",,,
JUSK,05.01.2015,"6.925,00",,,"6.925,00","0,00",,,
JUSK,08.01.2015,"6.925,00",,,"6.925,00","0,00",,,
JUSK,09.01.2015,"6.925,00",,,"6.925,00","0,00",,,
JUSK,12.01.2015,"6.925,00",,,"6.925,00","0,00",,,
JUSK,13.01.2015,"6.925,00",,,"6.925,00","0,00",,,
JUSK,14.01.2015,"6.925,00",,,"6.925,00","0,00",,,
JUSK,15.01.2015,"6.925,00",,,"6.925,00","0,00",,,
JUSK,16.01.2015,"6.925,00",,,"6.925,00","0,00",,,
JUSK,20.01.2015,"6.925,00",,,"6.925,00","0,00",,,
JUSK,21.01.2015,"6.925,00",,,"6.925,00","0,00",,,
JUSK,22.01.2015,"6.925,00",,,"6.925,00","0,00",,,
JUSK,23.01.2015,"6.925,00",,,"6.925,00","0,00",,,
JUSK,26.01.2015,"6.925,00",,,"6.925,00","0,00",,,
JUSK,27.01.2015,"6.925,00",,,"6.925,00","0,00",,,
JUSK,28.01.2015,"6.925,00",,,"6.925,00","0,00",,,
JUSK,29.01.2015,"6.925,00",,,"6.925,00","0,00",,,
JUSK,30.01.2015,"6.925,00",,,"6.925,00","0,00",,,
JUSK,02.02.2015,"6.925,00",,,"6.925,00","0,00",,,
JUSK,03.02.2015,"6.925,00",,,"6.925,00","0,00",,,
JUSK,04.02.2015,"6.925,00",,,"6.925,00","0,00",,,
JUSK,05.02.2015,"6.925,00",,,"6.925,00","0,00",,,
JUSK,06.02.2015,"6.925,00",,,"6.925,00","0,00",,,
JUSK,09.02.2015,"6.925,00",,,"6.925,00","0,00",,,
JUSK,10.02.2015,"6.925,00",,,"6.925,00","0,00",,,
JUSK,11.02.2015,"6.925,00",,,"6.925,00","0,00",,,
JUSK,12.02.2015,"6.925,00",,,"6.925,00","0,00",,,
JUSK,13.02.2015,"6.925,00",,,"6.925,00","0,00",,,
JUSK,16.02.2015,"6.925,00",,,"6.925,00","0,00",,,
JUSK,17.02.2015,"6.925,00",,,"6.925,00","0,00",,,
JUSK,18.02.2015,"6.925,00",,,"6.925,00","0,00",,,
JUSK,19.02.2015,"6.925,00",,,"6.925,00","0,00",,,
