Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
KARO,13.11.2014,"622,00",,,"622,00","0,00",,,
KARO,14.11.2014,"622,00",,,"622,00","0,00",,,
KARO,17.11.2014,"622,00",,,"622,00","0,00",,,
KARO,18.11.2014,"622,00",,,"622,00","0,00",,,
KARO,19.11.2014,"622,00",,,"622,00","0,00",,,
KARO,20.11.2014,"622,00",,,"622,00","0,00",,,
KARO,21.11.2014,"622,00",,,"622,00","0,00",,,
KARO,24.11.2014,"622,00",,,"622,00","0,00",,,2.032.670
KARO,25.11.2014,"622,00",,,"622,00","0,00",,,
KARO,26.11.2014,"622,00",,,"622,00","0,00",,,1.283.180
KARO,27.11.2014,"622,00",,,"622,00","0,00",,,1.861.770
KARO,28.11.2014,"622,00",,,"622,00","0,00",,,
KARO,01.12.2014,"622,00",,,"622,00","0,00",,,
KARO,02.12.2014,"622,00",,,"622,00","0,00",,,
KARO,04.12.2014,"622,00",,,"622,00","0,00",,,
KARO,05.12.2014,"622,00",,,"622,00","0,00",,,
KARO,09.12.2014,"622,00",,,"622,00","0,00",,,
KARO,10.12.2014,"622,00",,,"622,00","0,00",,,
KARO,11.12.2014,"622,00",,,"622,00","0,00",,,
KARO,12.12.2014,"622,00",,,"622,00","0,00",,,
KARO,15.12.2014,"622,00",,,"622,00","0,00",,,
KARO,16.12.2014,"622,00",,,"622,00","0,00",,,
KARO,17.12.2014,"622,00",,,"622,00","0,00",,,
KARO,18.12.2014,"622,00",,,"622,00","0,00",,,
KARO,19.12.2014,"622,00",,,"622,00","0,00",,,
KARO,22.12.2014,"622,00",,,"622,00","0,00",,,
KARO,23.12.2014,"622,00",,,"622,00","0,00",,,
KARO,24.12.2014,"622,00",,,"622,00","0,00",,,
KARO,25.12.2014,"622,00",,,"622,00","0,00",,,
KARO,26.12.2014,"622,00",,,"622,00","0,00",,,
KARO,29.12.2014,"622,00",,,"622,00","0,00",,,
KARO,30.12.2014,"622,00",,,"622,00","0,00",,,
KARO,02.01.2015,"622,00",,,"622,00","0,00",,,
KARO,05.01.2015,"622,00",,,"622,00","0,00",,,
KARO,08.01.2015,"622,00",,,"622,00","0,00",,,
KARO,09.01.2015,"622,00",,,"622,00","0,00",,,
KARO,12.01.2015,"622,00",,,"622,00","0,00",,,
KARO,13.01.2015,"622,00",,,"622,00","0,00",,,
KARO,14.01.2015,"622,00",,,"622,00","0,00",,,
KARO,15.01.2015,"622,00",,,"622,00","0,00",,,
KARO,16.01.2015,"622,00",,,"622,00","0,00",,,
KARO,20.01.2015,"622,00",,,"622,00","0,00",,,
KARO,21.01.2015,"622,00",,,"622,00","0,00",,,
KARO,22.01.2015,"622,00",,,"622,00","0,00",,,
KARO,23.01.2015,"622,00",,,"622,00","0,00",,,
KARO,26.01.2015,"622,00",,,"622,00","0,00",,,
KARO,27.01.2015,"622,00",,,"622,00","0,00",,,
KARO,28.01.2015,"622,00",,,"622,00","0,00",,,
KARO,29.01.2015,"622,00",,,"622,00","0,00",,,
KARO,30.01.2015,"622,00",,,"622,00","0,00",,,
KARO,02.02.2015,"622,00",,,"622,00","0,00",,,
KARO,03.02.2015,"622,00",,,"622,00","0,00",,,
KARO,04.02.2015,"622,00",,,"622,00","0,00",,,
KARO,05.02.2015,"622,00",,,"622,00","0,00",,,
KARO,06.02.2015,"622,00",,,"622,00","0,00",,,
KARO,09.02.2015,"622,00",,,"622,00","0,00",,,
KARO,10.02.2015,"622,00",,,"622,00","0,00",,,
KARO,11.02.2015,"622,00",,,"622,00","0,00",,,
KARO,12.02.2015,"622,00",,,"622,00","0,00",,,
KARO,13.02.2015,"622,00",,,"622,00","0,00",,,
KARO,16.02.2015,"622,00",,,"622,00","0,00",,,1.003.520
KARO,17.02.2015,"622,00",,,"622,00","0,00",,,
KARO,18.02.2015,"622,00",,,"622,00","0,00",,,
KARO,19.02.2015,"622,00",,,"622,00","0,00",,,
KARO,20.02.2015,"622,00",,,"622,00","0,00",,,
KARO,23.02.2015,"622,00",,,"622,00","0,00",,,
KARO,24.02.2015,"622,00",,,"622,00","0,00",,,
KARO,25.02.2015,"622,00",,,"622,00","0,00",,,
KARO,26.02.2015,"622,00",,,"622,00","0,00",,,
KARO,27.02.2015,"622,00",,,"622,00","0,00",,,
KARO,02.03.2015,"622,00",,,"622,00","0,00",,,
KARO,03.03.2015,"622,00",,,"622,00","0,00",,,
KARO,04.03.2015,"622,00",,,"622,00","0,00",,,
KARO,05.03.2015,"622,00",,,"622,00","0,00",,,
KARO,06.03.2015,"622,00",,,"622,00","0,00",,,
KARO,09.03.2015,"622,00",,,"622,00","0,00",,,
KARO,10.03.2015,"622,00",,,"622,00","0,00",,,
KARO,11.03.2015,"622,00",,,"622,00","0,00",,,
KARO,12.03.2015,"622,00",,,"622,00","0,00",,,
KARO,13.03.2015,"622,00",,,"622,00","0,00",,,
KARO,16.03.2015,"622,00",,,"622,00","0,00",,,
KARO,17.03.2015,"622,00",,,"622,00","0,00",,,
KARO,18.03.2015,"622,00",,,"622,00","0,00",,,
KARO,19.03.2015,"622,00",,,"622,00","0,00",,,
KARO,20.03.2015,"622,00",,,"622,00","0,00",,,
KARO,23.03.2015,"622,00",,,"622,00","0,00",,,
KARO,24.03.2015,"622,00",,,"622,00","0,00",,,
KARO,25.03.2015,"622,00",,,"622,00","0,00",,,
KARO,26.03.2015,"622,00",,,"622,00","0,00",,,
KARO,27.03.2015,"622,00",,,"622,00","0,00",,,
KARO,30.03.2015,"622,00",,,"622,00","0,00",,,
KARO,31.03.2015,"622,00",,,"622,00","0,00",,,
KARO,01.04.2015,"622,00",,,"622,00","0,00",,,
KARO,02.04.2015,"622,00",,,"622,00","0,00",,,
KARO,03.04.2015,"622,00",,,"622,00","0,00",,,
KARO,06.04.2015,"622,00",,,"622,00","0,00",,,
KARO,07.04.2015,"622,00",,,"622,00","0,00",,,
KARO,08.04.2015,"622,00",,,"622,00","0,00",,,
KARO,09.04.2015,"622,00",,,"622,00","0,00",,,
KARO,14.04.2015,"622,00",,,"622,00","0,00",,,
KARO,15.04.2015,"622,00",,,"622,00","0,00",,,
KARO,16.04.2015,"622,00",,,"622,00","0,00",,,
KARO,17.04.2015,"622,00",,,"622,00","0,00",,,
