Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
KDFO,13.11.2014,"616,00",,,"616,00","0,00",,,
KDFO,14.11.2014,"616,00",,,"616,00","0,00",,,
KDFO,17.11.2014,"616,00",,,"616,00","0,00",,,
KDFO,18.11.2014,"616,00",,,"616,00","0,00",,,
KDFO,19.11.2014,"616,00",,,"616,00","0,00",,,
KDFO,20.11.2014,"616,00",,,"616,00","0,00",,,
KDFO,21.11.2014,"616,00",,,"616,00","0,00",,,
KDFO,24.11.2014,"616,00",,,"616,00","0,00",,,
KDFO,25.11.2014,"616,00",,,"616,00","0,00",,,
KDFO,26.11.2014,"616,00",,,"616,00","0,00",,,
KDFO,27.11.2014,"616,00",,,"616,00","0,00",,,
KDFO,28.11.2014,"616,00",,,"616,00","0,00",,,
KDFO,01.12.2014,"616,00",,,"616,00","0,00",,,
KDFO,02.12.2014,"616,00",,,"616,00","0,00",,,
KDFO,04.12.2014,"616,00",,,"616,00","0,00",,,
KDFO,05.12.2014,"616,00",,,"616,00","0,00",,,
KDFO,09.12.2014,"616,00",,,"616,00","0,00",,,
KDFO,10.12.2014,"616,00",,,"616,00","0,00",,,
KDFO,11.12.2014,"616,00",,,"616,00","0,00",,,
KDFO,12.12.2014,"616,00",,,"616,00","0,00",,,
KDFO,15.12.2014,"616,00",,,"616,00","0,00",,,
KDFO,16.12.2014,"616,00",,,"616,00","0,00",,,
KDFO,17.12.2014,"616,00",,,"616,00","0,00",,,
KDFO,18.12.2014,"616,00",,,"616,00","0,00",,,
KDFO,19.12.2014,"616,00",,,"616,00","0,00",,,
KDFO,22.12.2014,"616,00",,,"616,00","0,00",,,
KDFO,23.12.2014,"616,00",,,"616,00","0,00",,,
KDFO,24.12.2014,"616,00",,,"616,00","0,00",,,
KDFO,25.12.2014,"616,00",,,"616,00","0,00",,,
KDFO,26.12.2014,"616,00",,,"616,00","0,00",,,
KDFO,29.12.2014,"616,00",,,"616,00","0,00",,,
KDFO,30.12.2014,"616,00",,,"616,00","0,00",,,
KDFO,02.01.2015,"616,00",,,"616,00","0,00",,,
KDFO,05.01.2015,"616,00",,,"616,00","0,00",,,
KDFO,08.01.2015,"616,00",,,"616,00","0,00",,,
KDFO,09.01.2015,"616,00",,,"616,00","0,00",,,
KDFO,12.01.2015,"616,00",,,"616,00","0,00",,,
KDFO,13.01.2015,"616,00",,,"616,00","0,00",,,
KDFO,14.01.2015,"616,00",,,"616,00","0,00",,,
KDFO,15.01.2015,"616,00",,,"616,00","0,00",,,
KDFO,16.01.2015,"616,00",,,"616,00","0,00",,,
KDFO,20.01.2015,"616,00",,,"616,00","0,00",,,
KDFO,21.01.2015,"616,00",,,"616,00","0,00",,,
KDFO,22.01.2015,"616,00",,,"616,00","0,00",,,
KDFO,23.01.2015,"616,00",,,"616,00","0,00",,,
KDFO,26.01.2015,"616,00",,,"616,00","0,00",,,
