Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
KJUBI,13.11.2014,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,14.11.2014,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,17.11.2014,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,18.11.2014,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",10.0,15.0,15.0
KJUBI,19.11.2014,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,20.11.2014,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,21.11.2014,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,24.11.2014,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,25.11.2014,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,26.11.2014,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,27.11.2014,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,28.11.2014,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,01.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,02.12.2014,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",60.0,90.0,90.0
KJUBI,04.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,05.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,09.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,10.12.2014,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",14.0,21.0,21.0
KJUBI,11.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,12.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,15.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,16.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,17.12.2014,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",35.0,52.5,52.5
KJUBI,18.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,19.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,22.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,23.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,24.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,25.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,26.12.2014,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",32.0,48.0,48.0
KJUBI,29.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,30.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,02.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,05.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,08.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,09.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,12.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,13.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,14.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,15.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,16.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,20.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,21.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,22.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,23.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,26.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,27.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,28.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,29.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,30.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,02.02.2015,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,03.02.2015,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,04.02.2015,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,05.02.2015,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,06.02.2015,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,09.02.2015,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,10.02.2015,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,11.02.2015,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,12.02.2015,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,13.02.2015,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,16.02.2015,"1.500,00",,,"1.500,00","0,00",,,
KJUBI,17.02.2015,"1.500,00",,,"1.500,00","0,00",,,
