Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
KLST,13.11.2014,"120,00",,,"120,00","0,00",,,
KLST,14.11.2014,"120,00",,,"120,00","0,00",,,
KLST,17.11.2014,"120,00",,,"120,00","0,00",,,
KLST,18.11.2014,"120,00",,,"120,00","0,00",,,
KLST,19.11.2014,"120,00",,,"120,00","0,00",,,
KLST,20.11.2014,"120,00",,,"120,00","0,00",,,
KLST,21.11.2014,"120,00",,,"120,00","0,00",,,
KLST,24.11.2014,"120,00",,,"120,00","0,00",,,
KLST,25.11.2014,"120,00",,,"120,00","0,00",,,
KLST,26.11.2014,"120,00",,,"120,00","0,00",,,
KLST,27.11.2014,"120,00",,,"120,00","0,00",,,
KLST,28.11.2014,"120,00",,,"120,00","0,00",,,
KLST,01.12.2014,"120,00",,,"120,00","0,00",,,
KLST,02.12.2014,"120,00",,,"120,00","0,00",,,
KLST,04.12.2014,"120,00",,,"120,00","0,00",,,
KLST,05.12.2014,"120,00",,,"120,00","0,00",,,
KLST,09.12.2014,"120,00",,,"120,00","0,00",,,
KLST,10.12.2014,"120,00",,,"120,00","0,00",,,
KLST,11.12.2014,"120,00",,,"120,00","0,00",,,
KLST,12.12.2014,"120,00",,,"120,00","0,00",,,
KLST,15.12.2014,"120,00",,,"120,00","0,00",,,
KLST,16.12.2014,"120,00",,,"120,00","0,00",,,
KLST,17.12.2014,"120,00",,,"120,00","0,00",,,
KLST,18.12.2014,"120,00",,,"120,00","0,00",,,
KLST,19.12.2014,"120,00",,,"120,00","0,00",,,
KLST,22.12.2014,"120,00",,,"120,00","0,00",,,
KLST,23.12.2014,"120,00",,,"120,00","0,00",,,
KLST,24.12.2014,"120,00",,,"120,00","0,00",,,
KLST,25.12.2014,"120,00",,,"120,00","0,00",,,
KLST,26.12.2014,"120,00",,,"120,00","0,00",,,
KLST,29.12.2014,"120,00",,,"120,00","0,00",,,
KLST,30.12.2014,"120,00",,,"120,00","0,00",,,
KLST,02.01.2015,"120,00",,,"120,00","0,00",,,
KLST,05.01.2015,"120,00",,,"120,00","0,00",,,
KLST,08.01.2015,"120,00",,,"120,00","0,00",,,
KLST,09.01.2015,"120,00",,,"120,00","0,00",,,
KLST,12.01.2015,"120,00",,,"120,00","0,00",,,
KLST,13.01.2015,"120,00",,,"120,00","0,00",,,
KLST,14.01.2015,"120,00",,,"120,00","0,00",,,
KLST,15.01.2015,"120,00",,,"120,00","0,00",,,
KLST,16.01.2015,"120,00",,,"120,00","0,00",,,
KLST,20.01.2015,"120,00",,,"120,00","0,00",,,
KLST,21.01.2015,"120,00",,,"120,00","0,00",,,
KLST,22.01.2015,"120,00",,,"120,00","0,00",,,
KLST,23.01.2015,"120,00",,,"120,00","0,00",,,
KLST,26.01.2015,"120,00",,,"120,00","0,00",,,
KLST,27.01.2015,"120,00",,,"120,00","0,00",,,
KLST,28.01.2015,"120,00",,,"120,00","0,00",,,
KLST,29.01.2015,"120,00",,,"120,00","0,00",,,
KLST,30.01.2015,"120,00",,,"120,00","0,00",,,
KLST,02.02.2015,"120,00",,,"120,00","0,00",,,
KLST,03.02.2015,"120,00",,,"120,00","0,00",,,
KLST,04.02.2015,"120,00",,,"120,00","0,00",,,
