Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
KMB,13.11.2014,"2.152,00","2.170,00","2.150,00","2.151,40","0,16",509.0,1.095.064,1.095.064
KMB,14.11.2014,"2.152,00","2.160,00","2.150,00","2.155,54","0,19",65.0,140.110,140.110
KMB,17.11.2014,"2.150,00","2.151,00","2.150,00","2.150,22","-0,25",244.0,524.653,524.653
KMB,18.11.2014,"2.110,00","2.150,00","2.110,00","2.146,77","-0,16",413.0,886.615,886.615
KMB,19.11.2014,"2.083,00","2.086,00","2.083,00","2.083,47","-2,95",581.0,1.210.497,1.210.497
KMB,20.11.2014,"2.085,00","2.100,00","2.085,00","2.091,40","0,38",50.0,104.570,104.570
KMB,21.11.2014,"2.100,00","2.100,00","2.087,00","2.094,84","0,16",63.0,131.975,131.975
KMB,24.11.2014,"2.100,00","2.100,00","2.100,00","2.100,00","0,25",778.0,1.633.800,1.633.800
KMB,25.11.2014,"2.125,00","2.125,00","2.125,00","2.125,00","1,19",110.0,233.750,233.750
KMB,26.11.2014,"2.124,00","2.124,00","2.124,00","2.124,00","-0,05",70.0,148.680,148.680
KMB,27.11.2014,"2.100,00","2.100,00","2.100,00","2.100,00","-1,13",87.0,182.700,182.700
KMB,28.11.2014,"2.099,00","2.100,00","2.086,00","2.098,82","-0,06",263.0,551.990,551.990
KMB,01.12.2014,"2.085,00","2.100,00","2.085,00","2.092,50","-0,30",20.0,41.850,41.850
KMB,02.12.2014,"2.085,00",,,"2.092,50","0,00",,,
KMB,04.12.2014,"2.085,00","2.085,00","2.085,00","2.085,00","-0,36",179.0,373.215,373.215
KMB,05.12.2014,"2.050,00","2.070,00","2.050,00","2.053,07","-1,53",116.0,238.156,238.156
KMB,09.12.2014,"2.080,00","2.080,00","2.050,00","2.071,73","0,91",742.0,1.537.225,1.537.225
KMB,10.12.2014,"2.090,00","2.090,00","2.050,00","2.089,24","0,85",11.015,23.012.990,23.012.990
KMB,11.12.2014,"2.080,00","2.080,00","2.080,00","2.080,00","-0,44",10.0,20.800,20.800
KMB,12.12.2014,"2.080,00","2.080,00","2.080,00","2.080,00","0,00",1.0,2.080,2.080
KMB,15.12.2014,"2.080,00",,,"2.080,00","0,00",,,
KMB,16.12.2014,"2.099,00","2.099,00","2.050,00","2.081,68","0,08",120.0,249.802,249.802
KMB,17.12.2014,"2.051,00","2.100,00","2.050,00","2.056,44","-1,21",200.0,411.289,411.289
KMB,18.12.2014,"2.050,00","2.052,00","2.050,00","2.050,60","-0,28",192.0,393.715,393.715
KMB,19.12.2014,"2.051,00","2.051,00","2.050,00","2.050,54","0,00",368.0,754.598,754.598
KMB,22.12.2014,"2.036,00","2.050,00","2.036,00","2.037,32","-0,64",508.0,1.034.960,1.034.960
KMB,23.12.2014,"2.030,00","2.040,00","2.020,00","2.029,82","-0,37",285.0,578.500,578.500
KMB,24.12.2014,"2.030,00","2.030,00","2.030,00","2.030,00","0,01",216.0,438.480,438.480
KMB,25.12.2014,"2.020,00","2.029,00","2.020,00","2.028,54","-0,07",239.0,484.822,484.822
KMB,26.12.2014,"1.915,00","2.035,00","1.915,00","1.935,17","-4,60",115.0,222.545,222.545
KMB,29.12.2014,"1.950,00","1.951,00","1.950,00","1.950,18","0,78",550.0,1.072.600,1.072.600
KMB,30.12.2014,"1.970,00","1.970,00","1.951,00","1.951,66","0,08",551.0,1.075.362,1.075.362
KMB,02.01.2015,"2.000,00","2.000,00","1.999,00","1.999,71","2,46",241.0,481.930,481.930
KMB,05.01.2015,"2.000,00","2.000,00","2.000,00","2.000,00","0,01",24.0,48.000,48.000
KMB,08.01.2015,"1.985,00","2.000,00","1.985,00","1.999,00","-0,05",150.0,299.850,299.850
KMB,09.01.2015,"1.970,00","1.985,00","1.970,00","1.971,24","-1,39",640.0,1.261.593,1.261.593
KMB,12.01.2015,"2.000,00","2.000,00","1.980,00","1.981,57","0,52",255.0,505.300,505.300
KMB,13.01.2015,"2.000,00","2.000,00","1.980,00","1.995,40","0,70",283.0,564.697,564.697
KMB,14.01.2015,"2.000,00",,,"1.995,40","0,00",,,
KMB,15.01.2015,"2.030,00","2.055,00","2.030,00","2.045,99","2,54",405.0,828.625,828.625
KMB,16.01.2015,"2.060,00","2.060,00","2.050,00","2.050,20","0,21",510.0,1.045.600,1.045.600
KMB,20.01.2015,"2.070,00","2.110,00","2.060,00","2.074,53","1,19",995.0,2.064.160,2.064.160
KMB,21.01.2015,"2.090,00","2.130,00","2.090,00","2.100,43","1,25",211.0,443.190,443.190
KMB,22.01.2015,"2.080,00","2.100,00","2.080,00","2.098,84","-0,08",276.0,579.281,579.281
KMB,23.01.2015,"2.130,00","2.135,00","2.130,00","2.130,69","1,52",174.0,370.740,370.740
KMB,26.01.2015,"2.070,00","2.135,00","2.070,00","2.078,19","-2,46",461.0,958.046,958.046
