Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
KMPR,13.11.2014,"1.312,00",,,"1.312,00","0,00",,,
KMPR,14.11.2014,"1.312,00",,,"1.312,00","0,00",,,
KMPR,17.11.2014,"1.312,00",,,"1.312,00","0,00",,,
KMPR,18.11.2014,"1.312,00",,,"1.312,00","0,00",,,
KMPR,19.11.2014,"1.312,00",,,"1.312,00","0,00",,,
KMPR,20.11.2014,"1.312,00",,,"1.312,00","0,00",,,
KMPR,21.11.2014,"1.312,00",,,"1.312,00","0,00",,,
KMPR,24.11.2014,"1.312,00",,,"1.312,00","0,00",,,
KMPR,25.11.2014,"1.312,00",,,"1.312,00","0,00",,,
KMPR,26.11.2014,"1.312,00",,,"1.312,00","0,00",,,
KMPR,27.11.2014,"1.312,00",,,"1.312,00","0,00",,,
KMPR,28.11.2014,"1.312,00",,,"1.312,00","0,00",,,
KMPR,01.12.2014,"1.312,00",,,"1.312,00","0,00",,,
KMPR,02.12.2014,"1.312,00",,,"1.312,00","0,00",,,
KMPR,04.12.2014,"1.312,00",,,"1.312,00","0,00",,,
KMPR,05.12.2014,"1.312,00",,,"1.312,00","0,00",,,
KMPR,09.12.2014,"1.312,00",,,"1.312,00","0,00",,,
KMPR,10.12.2014,"1.312,00",,,"1.312,00","0,00",,,
KMPR,11.12.2014,"1.312,00",,,"1.312,00","0,00",,,
KMPR,12.12.2014,"1.312,00",,,"1.312,00","0,00",,,
KMPR,15.12.2014,"1.312,00",,,"1.312,00","0,00",,,
KMPR,16.12.2014,"1.312,00",,,"1.312,00","0,00",,,
KMPR,17.12.2014,"1.312,00",,,"1.312,00","0,00",,,
KMPR,18.12.2014,"1.312,00",,,"1.312,00","0,00",,,
KMPR,19.12.2014,"1.312,00",,,"1.312,00","0,00",,,
KMPR,22.12.2014,"1.312,00",,,"1.312,00","0,00",,,
KMPR,23.12.2014,"1.312,00",,,"1.312,00","0,00",,,
KMPR,24.12.2014,"1.312,00",,,"1.312,00","0,00",,,
KMPR,25.12.2014,"1.312,00",,,"1.312,00","0,00",,,
KMPR,26.12.2014,"1.312,00",,,"1.312,00","0,00",,,
KMPR,29.12.2014,"1.312,00",,,"1.312,00","0,00",,,
KMPR,30.12.2014,"1.312,00",,,"1.312,00","0,00",,,
KMPR,02.01.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,05.01.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,08.01.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,09.01.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,12.01.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,13.01.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,14.01.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,15.01.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,16.01.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,20.01.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,21.01.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,22.01.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,23.01.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,26.01.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,27.01.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,28.01.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,29.01.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,30.01.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,02.02.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,03.02.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,04.02.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,05.02.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,06.02.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,09.02.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,10.02.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,11.02.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,12.02.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,13.02.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,16.02.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,17.02.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,18.02.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,19.02.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,20.02.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,23.02.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,24.02.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,25.02.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,26.02.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,27.02.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,02.03.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,03.03.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,04.03.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,05.03.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,06.03.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,09.03.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,10.03.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,11.03.2015,"1.312,00",,,"1.312,00","0,00",,,
KMPR,12.03.2015,"1.312,00",,,"1.312,00","0,00",,,
