Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
KOMU,13.11.2014,"495,00",,,"495,00","0,00",,,
KOMU,14.11.2014,"495,00",,,"495,00","0,00",,,
KOMU,17.11.2014,"495,00",,,"495,00","0,00",,,
KOMU,18.11.2014,"495,00",,,"495,00","0,00",,,
KOMU,19.11.2014,"495,00","495,00","495,00","495,00","0,00",1.269,628.155,628.155
KOMU,20.11.2014,"495,00",,,"495,00","0,00",,,
KOMU,21.11.2014,"495,00",,,"495,00","0,00",,,
KOMU,24.11.2014,"495,00",,,"495,00","0,00",,,
KOMU,25.11.2014,"495,00","495,00","495,00","495,00","0,00",90.0,44.55,44.55
KOMU,26.11.2014,"495,00",,,"495,00","0,00",,,
KOMU,27.11.2014,"495,00",,,"495,00","0,00",,,
KOMU,28.11.2014,"495,00",,,"495,00","0,00",,,
KOMU,01.12.2014,"495,00","495,00","495,00","495,00","0,00",126.0,62.37,62.37
KOMU,02.12.2014,"495,00",,,"495,00","0,00",,,
KOMU,04.12.2014,"495,00",,,"495,00","0,00",,,
KOMU,05.12.2014,"495,00",,,"495,00","0,00",,,
KOMU,09.12.2014,"495,00",,,"495,00","0,00",,,
KOMU,10.12.2014,"495,00",,,"495,00","0,00",,,
KOMU,11.12.2014,"495,00",,,"495,00","0,00",,,
KOMU,12.12.2014,"495,00",,,"495,00","0,00",,,
KOMU,15.12.2014,"495,00",,,"495,00","0,00",,,
KOMU,16.12.2014,"495,00",,,"495,00","0,00",,,
KOMU,17.12.2014,"495,00",,,"495,00","0,00",,,
KOMU,18.12.2014,"495,00",,,"495,00","0,00",,,
KOMU,19.12.2014,"495,00",,,"495,00","0,00",,,
KOMU,22.12.2014,"495,00",,,"495,00","0,00",,,
KOMU,23.12.2014,"495,00",,,"495,00","0,00",,,
KOMU,24.12.2014,"495,00",,,"495,00","0,00",,,
KOMU,25.12.2014,"495,00",,,"495,00","0,00",,,
KOMU,26.12.2014,"495,00",,,"495,00","0,00",,,
KOMU,29.12.2014,"495,00",,,"495,00","0,00",,,
KOMU,30.12.2014,"495,00",,,"495,00","0,00",,,
KOMU,02.01.2015,"495,00",,,"495,00","0,00",,,
KOMU,05.01.2015,"495,00",,,"495,00","0,00",,,
KOMU,08.01.2015,"495,00",,,"495,00","0,00",,,
KOMU,09.01.2015,"495,00",,,"495,00","0,00",,,
KOMU,12.01.2015,"495,00",,,"495,00","0,00",,,
KOMU,13.01.2015,"495,00",,,"495,00","0,00",,,
KOMU,14.01.2015,"495,00",,,"495,00","0,00",,,
KOMU,15.01.2015,"495,00",,,"495,00","0,00",,,
KOMU,16.01.2015,"495,00",,,"495,00","0,00",,,
KOMU,20.01.2015,"495,00",,,"495,00","0,00",,,
KOMU,21.01.2015,"495,00",,,"495,00","0,00",,,
KOMU,22.01.2015,"495,00",,,"495,00","0,00",,,
KOMU,23.01.2015,"495,00",,,"495,00","0,00",,,
KOMU,26.01.2015,"495,00",,,"495,00","0,00",,,
KOMU,27.01.2015,"495,00",,,"495,00","0,00",,,
KOMU,28.01.2015,"495,00",,,"495,00","0,00",,,
KOMU,29.01.2015,"495,00",,,"495,00","0,00",,,
KOMU,30.01.2015,"495,00",,,"495,00","0,00",,,
KOMU,02.02.2015,"495,00",,,"495,00","0,00",,,
KOMU,03.02.2015,"495,00",,,"495,00","0,00",,,
KOMU,04.02.2015,"495,00",,,"495,00","0,00",,,
KOMU,05.02.2015,"495,00",,,"495,00","0,00",,,
KOMU,06.02.2015,"495,00",,,"495,00","0,00",,,
KOMU,09.02.2015,"495,00",,,"495,00","0,00",,,
KOMU,10.02.2015,"495,00",,,"495,00","0,00",,,
KOMU,11.02.2015,"495,00",,,"495,00","0,00",,,
KOMU,12.02.2015,"495,00",,,"495,00","0,00",,,
KOMU,13.02.2015,"495,00",,,"495,00","0,00",,,
KOMU,16.02.2015,"495,00","495,00","495,00","495,00","0,00",184.0,91.08,91.08
KOMU,17.02.2015,"495,00",,,"495,00","0,00",,,
KOMU,18.02.2015,"495,00","495,00","495,00","495,00","0,00",342.0,169.29,169.29
KOMU,19.02.2015,"495,00",,,"495,00","0,00",,,
KOMU,20.02.2015,"495,00",,,"495,00","0,00",,,
KOMU,23.02.2015,"495,00",,,"495,00","0,00",,,
KOMU,24.02.2015,"495,00",,,"495,00","0,00",,,
KOMU,25.02.2015,"495,00",,,"495,00","0,00",,,
KOMU,26.02.2015,"495,00",,,"495,00","0,00",,,
KOMU,27.02.2015,"495,00",,,"495,00","0,00",,,
KOMU,02.03.2015,"495,00",,,"495,00","0,00",,,
KOMU,03.03.2015,"495,00","495,00","495,00","495,00","0,00",90.0,44.55,44.55
KOMU,04.03.2015,"495,00",,,"495,00","0,00",,,
KOMU,05.03.2015,"495,00","495,00","495,00","495,00","0,00",120.0,59.4,59.4
KOMU,06.03.2015,"495,00",,,"495,00","0,00",,,
KOMU,09.03.2015,"495,00","495,00","495,00","495,00","0,00",176.0,87.12,87.12
KOMU,10.03.2015,"495,00",,,"495,00","0,00",,,
KOMU,11.03.2015,"495,00",,,"495,00","0,00",,,
KOMU,12.03.2015,"495,00",,,"495,00","0,00",,,
KOMU,13.03.2015,"495,00",,,"495,00","0,00",,,
KOMU,16.03.2015,"495,00","495,00","495,00","495,00","0,00",118.0,58.41,58.41
KOMU,17.03.2015,"495,00",,,"495,00","0,00",,,
KOMU,18.03.2015,"495,00",,,"495,00","0,00",,,
KOMU,19.03.2015,"495,00",,,"495,00","0,00",,,
KOMU,20.03.2015,"495,00",,,"495,00","0,00",,,
KOMU,23.03.2015,"495,00",,,"495,00","0,00",,,
KOMU,24.03.2015,"495,00",,,"495,00","0,00",,,
KOMU,25.03.2015,"495,00",,,"495,00","0,00",,,
KOMU,26.03.2015,"495,00","495,00","495,00","495,00","0,00",40.0,19.8,19.8
KOMU,27.03.2015,"495,00",,,"495,00","0,00",,,
KOMU,30.03.2015,"495,00",,,"495,00","0,00",,,
KOMU,31.03.2015,"495,00","495,00","495,00","495,00","0,00",160.0,79.2,79.2
KOMU,01.04.2015,"495,00",,,"495,00","0,00",,,
KOMU,02.04.2015,"495,00",,,"495,00","0,00",,,
KOMU,03.04.2015,"495,00",,,"495,00","0,00",,,
KOMU,06.04.2015,"495,00",,,"495,00","0,00",,,
KOMU,07.04.2015,"495,00",,,"495,00","0,00",,,
KOMU,08.04.2015,"495,00",,,"495,00","0,00",,,
KOMU,09.04.2015,"495,00",,,"495,00","0,00",,,
KOMU,14.04.2015,"495,00",,,"495,00","0,00",,,
KOMU,15.04.2015,"495,00",,,"495,00","0,00",,,
KOMU,16.04.2015,"495,00",,,"495,00","0,00",,,
KOMU,17.04.2015,"495,00",,,"495,00","0,00",,,
KOMU,20.04.2015,"495,00",,,"495,00","0,00",,,
KOMU,21.04.2015,"495,00","495,00","495,00","495,00","0,00",80.0,39.6,39.6
KOMU,22.04.2015,"495,00",,,"495,00","0,00",,,
KOMU,23.04.2015,"495,00",,,"495,00","0,00",,,
KOMU,24.04.2015,"495,00",,,"495,00","0,00",,,
KOMU,27.04.2015,"495,00",,,"495,00","0,00",,,
KOMU,28.04.2015,"495,00","495,00","495,00","495,00","0,00",26.0,12.87,12.87
KOMU,29.04.2015,"495,00",,,"495,00","0,00",,,
KOMU,30.04.2015,"495,00",,,"495,00","0,00",,,
KOMU,04.05.2015,"495,00",,,"495,00","0,00",,,
KOMU,05.05.2015,"495,00","495,00","495,00","495,00","0,00",80.0,39.6,39.6
KOMU,06.05.2015,"495,00",,,"495,00","0,00",,,
KOMU,07.05.2015,"495,00",,,"495,00","0,00",,,
KOMU,08.05.2015,"495,00",,,"495,00","0,00",,,
KOMU,11.05.2015,"495,00",,,"495,00","0,00",,,
KOMU,12.05.2015,"495,00",,,"495,00","0,00",,,
KOMU,13.05.2015,"495,00","495,00","495,00","495,00","0,00",172.0,85.14,85.14
KOMU,14.05.2015,"495,00",,,"495,00","0,00",,,
KOMU,15.05.2015,"495,00",,,"495,00","0,00",,,
KOMU,18.05.2015,"495,00",,,"495,00","0,00",,,
KOMU,19.05.2015,"495,00",,,"495,00","0,00",,,
KOMU,20.05.2015,"495,00",,,"495,00","0,00",,,
KOMU,21.05.2015,"495,00",,,"495,00","0,00",,,
KOMU,22.05.2015,"495,00","495,00","495,00","495,00","0,00",100.0,49.5,49.5
KOMU,26.05.2015,"495,00",,,"495,00","0,00",,,
KOMU,27.05.2015,"495,00",,,"495,00","0,00",,,
KOMU,28.05.2015,"495,00",,,"495,00","0,00",,,
KOMU,01.06.2015,"495,00",,,"495,00","0,00",,,
KOMU,02.06.2015,"495,00","495,00","495,00","495,00","0,00",98.0,48.51,48.51
KOMU,03.06.2015,"495,00",,,"495,00","0,00",,,
KOMU,04.06.2015,"495,00",,,"495,00","0,00",,,
KOMU,05.06.2015,"495,00",,,"495,00","0,00",,,
KOMU,08.06.2015,"495,00",,,"495,00","0,00",,,
KOMU,09.06.2015,"495,00",,,"495,00","0,00",,,
KOMU,10.06.2015,"495,00",,,"495,00","0,00",,,
KOMU,11.06.2015,"495,00",,,"495,00","0,00",,,
KOMU,12.06.2015,"495,00",,,"495,00","0,00",,,
KOMU,15.06.2015,"495,00",,,"495,00","0,00",,,
KOMU,16.06.2015,"495,00",,,"495,00","0,00",,,
KOMU,17.06.2015,"495,00",,,"495,00","0,00",,,
KOMU,18.06.2015,"495,00",,,"495,00","0,00",,,
KOMU,19.06.2015,"495,00",,,"495,00","0,00",,,
KOMU,22.06.2015,"495,00",,,"495,00","0,00",,,
KOMU,23.06.2015,"495,00",,,"495,00","0,00",,,
KOMU,24.06.2015,"495,00",,,"495,00","0,00",,,
KOMU,25.06.2015,"495,00",,,"495,00","0,00",,,
KOMU,26.06.2015,"495,00",,,"495,00","0,00",,,
KOMU,29.06.2015,"495,00",,,"495,00","0,00",,,
KOMU,30.06.2015,"495,00",,,"495,00","0,00",,,
KOMU,01.07.2015,"495,00",,,"495,00","0,00",,,
KOMU,02.07.2015,"495,00",,,"495,00","0,00",,,
KOMU,03.07.2015,"495,00",,,"495,00","0,00",,,
KOMU,06.07.2015,"495,00",,,"495,00","0,00",,,
KOMU,07.07.2015,"495,00","495,00","495,00","495,00","0,00",170.0,84.15,84.15
KOMU,08.07.2015,"495,00",,,"495,00","0,00",,,
KOMU,09.07.2015,"495,00",,,"495,00","0,00",,,
KOMU,10.07.2015,"495,00",,,"495,00","0,00",,,
KOMU,13.07.2015,"495,00",,,"495,00","0,00",,,
KOMU,14.07.2015,"495,00",,,"495,00","0,00",,,
KOMU,15.07.2015,"495,00",,,"495,00","0,00",,,
KOMU,16.07.2015,"495,00",,,"495,00","0,00",,,
KOMU,20.07.2015,"495,00",,,"495,00","0,00",,,
KOMU,21.07.2015,"495,00",,,"495,00","0,00",,,
KOMU,22.07.2015,"495,00",,,"495,00","0,00",,,
KOMU,23.07.2015,"495,00",,,"495,00","0,00",,,
KOMU,24.07.2015,"495,00",,,"495,00","0,00",,,
KOMU,27.07.2015,"495,00",,,"495,00","0,00",,,
KOMU,28.07.2015,"495,00",,,"495,00","0,00",,,
KOMU,29.07.2015,"495,00",,,"495,00","0,00",,,
KOMU,30.07.2015,"495,00","495,00","495,00","495,00","0,00",12.0,5.94,5.94
KOMU,31.07.2015,"495,00",,,"495,00","0,00",,,
KOMU,04.08.2015,"495,00",,,"495,00","0,00",,,
KOMU,05.08.2015,"495,00",,,"495,00","0,00",,,
KOMU,06.08.2015,"495,00",,,"495,00","0,00",,,
KOMU,07.08.2015,"495,00",,,"495,00","0,00",,,
KOMU,10.08.2015,"495,00",,,"495,00","0,00",,,
KOMU,11.08.2015,"495,00",,,"495,00","0,00",,,
KOMU,12.08.2015,"495,00",,,"495,00","0,00",,,
KOMU,13.08.2015,"495,00",,,"495,00","0,00",,,
KOMU,14.08.2015,"495,00","495,00","495,00","495,00","0,00",142.0,70.29,70.29
KOMU,17.08.2015,"495,00",,,"495,00","0,00",,,
KOMU,18.08.2015,"495,00",,,"495,00","0,00",,,
KOMU,19.08.2015,"495,00",,,"495,00","0,00",,,
KOMU,20.08.2015,"495,00",,,"495,00","0,00",,,
KOMU,21.08.2015,"495,00",,,"495,00","0,00",,,
KOMU,24.08.2015,"495,00",,,"495,00","0,00",,,
KOMU,25.08.2015,"495,00",,,"495,00","0,00",,,
KOMU,26.08.2015,"495,00",,,"495,00","0,00",,,
KOMU,27.08.2015,"495,00",,,"495,00","0,00",,,
KOMU,31.08.2015,"495,00",,,"495,00","0,00",,,
KOMU,01.09.2015,"495,00",,,"495,00","0,00",,,
KOMU,02.09.2015,"495,00",,,"495,00","0,00",,,
KOMU,03.09.2015,"495,00",,,"495,00","0,00",,,
KOMU,04.09.2015,"495,00",,,"495,00","0,00",,,
KOMU,07.09.2015,"495,00",,,"495,00","0,00",,,
KOMU,09.09.2015,"495,00",,,"495,00","0,00",,,
KOMU,10.09.2015,"495,00",,,"495,00","0,00",,,
KOMU,11.09.2015,"495,00","495,00","495,00","495,00","0,00",140.0,69.3,69.3
KOMU,14.09.2015,"495,00",,,"495,00","0,00",,,
KOMU,15.09.2015,"495,00",,,"495,00","0,00",,,
KOMU,16.09.2015,"495,00",,,"495,00","0,00",,,
KOMU,17.09.2015,"495,00",,,"495,00","0,00",,,
KOMU,18.09.2015,"495,00",,,"495,00","0,00",,,
KOMU,21.09.2015,"495,00",,,"495,00","0,00",,,
KOMU,22.09.2015,"495,00",,,"495,00","0,00",,,
KOMU,23.09.2015,"495,00",,,"495,00","0,00",,,
KOMU,24.09.2015,"495,00","495,00","495,00","495,00","0,00",178.0,88.11,88.11
KOMU,25.09.2015,"495,00",,,"495,00","0,00",,,
KOMU,28.09.2015,"495,00",,,"495,00","0,00",,,
KOMU,29.09.2015,"495,00","495,00","495,00","495,00","0,00",224.0,110.88,110.88
KOMU,30.09.2015,"495,00",,,"495,00","0,00",,,
KOMU,01.10.2015,"495,00",,,"495,00","0,00",,,
KOMU,02.10.2015,"495,00",,,"495,00","0,00",,,
KOMU,05.10.2015,"495,00","495,00","495,00","495,00","0,00",71.0,35.145,35.145
KOMU,06.10.2015,"495,00",,,"495,00","0,00",,,
KOMU,07.10.2015,"495,00",,,"495,00","0,00",,,
KOMU,08.10.2015,"495,00",,,"495,00","0,00",,,
KOMU,09.10.2015,"495,00",,,"495,00","0,00",,,
KOMU,13.10.2015,"495,00",,,"495,00","0,00",,,
KOMU,14.10.2015,"495,00",,,"495,00","0,00",,,
KOMU,15.10.2015,"495,00",,,"495,00","0,00",,,
KOMU,16.10.2015,"495,00",,,"495,00","0,00",,,
KOMU,19.10.2015,"495,00",,,"495,00","0,00",,,
KOMU,20.10.2015,"495,00",,,"495,00","0,00",,,
KOMU,21.10.2015,"495,00",,,"495,00","0,00",,,
KOMU,22.10.2015,"495,00",,,"495,00","0,00",,,
KOMU,26.10.2015,"495,00",,,"495,00","0,00",,,
KOMU,27.10.2015,"495,00",,,"495,00","0,00",,,
KOMU,28.10.2015,"495,00",,,"495,00","0,00",,,
KOMU,29.10.2015,"495,00",,,"495,00","0,00",,,
KOMU,30.10.2015,"495,00",,,"495,00","0,00",,,
