Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
KONF,13.11.2014,"100,00",,,"100,00","0,00",,,
KONF,14.11.2014,"100,00",,,"100,00","0,00",,,
KONF,17.11.2014,"100,00",,,"100,00","0,00",,,
KONF,18.11.2014,"100,00",,,"100,00","0,00",,,
KONF,19.11.2014,"100,00",,,"100,00","0,00",,,
KONF,20.11.2014,"100,00",,,"100,00","0,00",,,
KONF,21.11.2014,"100,00",,,"100,00","0,00",,,
KONF,24.11.2014,"100,00",,,"100,00","0,00",,,
KONF,25.11.2014,"100,00",,,"100,00","0,00",,,
KONF,26.11.2014,"100,00",,,"100,00","0,00",,,
KONF,27.11.2014,"100,00",,,"100,00","0,00",,,
KONF,28.11.2014,"100,00",,,"100,00","0,00",,,
KONF,01.12.2014,"100,00",,,"100,00","0,00",,,
KONF,02.12.2014,"100,00",,,"100,00","0,00",,,
KONF,04.12.2014,"100,00",,,"100,00","0,00",,,
KONF,05.12.2014,"100,00",,,"100,00","0,00",,,
KONF,09.12.2014,"100,00",,,"100,00","0,00",,,
KONF,10.12.2014,"100,00",,,"100,00","0,00",,,
KONF,11.12.2014,"100,00",,,"100,00","0,00",,,
KONF,12.12.2014,"100,00",,,"100,00","0,00",,,
KONF,15.12.2014,"100,00",,,"100,00","0,00",,,
KONF,16.12.2014,"100,00",,,"100,00","0,00",,,
KONF,17.12.2014,"100,00",,,"100,00","0,00",,,
KONF,18.12.2014,"100,00",,,"100,00","0,00",,,
KONF,19.12.2014,"100,00",,,"100,00","0,00",,,
KONF,22.12.2014,"100,00",,,"100,00","0,00",,,
KONF,23.12.2014,"100,00",,,"100,00","0,00",,,
KONF,24.12.2014,"100,00",,,"100,00","0,00",,,
KONF,25.12.2014,"100,00",,,"100,00","0,00",,,
KONF,26.12.2014,"100,00",,,"100,00","0,00",,,
KONF,29.12.2014,"100,00",,,"100,00","0,00",,,
KONF,30.12.2014,"100,00",,,"100,00","0,00",,,
KONF,02.01.2015,"100,00",,,"100,00","0,00",,,
KONF,05.01.2015,"100,00",,,"100,00","0,00",,,
KONF,08.01.2015,"100,00",,,"100,00","0,00",,,
KONF,09.01.2015,"100,00",,,"100,00","0,00",,,
KONF,12.01.2015,"100,00",,,"100,00","0,00",,,
KONF,13.01.2015,"100,00",,,"100,00","0,00",,,
KONF,14.01.2015,"100,00",,,"100,00","0,00",,,
KONF,15.01.2015,"100,00",,,"100,00","0,00",,,
KONF,16.01.2015,"100,00",,,"100,00","0,00",,,
KONF,20.01.2015,"100,00",,,"100,00","0,00",,,
KONF,21.01.2015,"100,00",,,"100,00","0,00",,,
KONF,22.01.2015,"100,00",,,"100,00","0,00",,,
KONF,23.01.2015,"100,00",,,"100,00","0,00",,,
KONF,26.01.2015,"100,00",,,"100,00","0,00",,,
KONF,27.01.2015,"100,00",,,"100,00","0,00",,,
KONF,28.01.2015,"100,00",,,"100,00","0,00",,,
KONF,29.01.2015,"100,00",,,"100,00","0,00",,,
KONF,30.01.2015,"100,00",,,"100,00","0,00",,,
KONF,02.02.2015,"100,00",,,"100,00","0,00",,,
KONF,03.02.2015,"100,00",,,"100,00","0,00",,,
KONF,04.02.2015,"100,00",,,"100,00","0,00",,,
KONF,05.02.2015,"100,00",,,"100,00","0,00",,,
KONF,06.02.2015,"100,00",,,"100,00","0,00",,,
KONF,09.02.2015,"100,00",,,"100,00","0,00",,,
KONF,10.02.2015,"100,00",,,"100,00","0,00",,,
KONF,11.02.2015,"100,00",,,"100,00","0,00",,,
KONF,12.02.2015,"100,00",,,"100,00","0,00",,,
KONF,13.02.2015,"100,00",,,"100,00","0,00",,,
KONF,16.02.2015,"100,00",,,"100,00","0,00",,,
KONF,17.02.2015,"100,00",,,"100,00","0,00",,,
KONF,18.02.2015,"100,00",,,"100,00","0,00",,,
KONF,19.02.2015,"100,00",,,"100,00","0,00",,,
KONF,20.02.2015,"100,00",,,"100,00","0,00",,,
KONF,23.02.2015,"100,00",,,"100,00","0,00",,,
KONF,24.02.2015,"100,00",,,"100,00","0,00",,,
KONF,25.02.2015,"100,00",,,"100,00","0,00",,,
KONF,26.02.2015,"100,00",,,"100,00","0,00",,,
KONF,27.02.2015,"100,00",,,"100,00","0,00",,,
KONF,02.03.2015,"100,00",,,"100,00","0,00",,,
KONF,03.03.2015,"100,00",,,"100,00","0,00",,,
KONF,04.03.2015,"100,00",,,"100,00","0,00",,,
KONF,05.03.2015,"100,00",,,"100,00","0,00",,,
KONF,06.03.2015,"100,00",,,"100,00","0,00",,,
KONF,09.03.2015,"100,00",,,"100,00","0,00",,,
KONF,10.03.2015,"100,00",,,"100,00","0,00",,,
KONF,11.03.2015,"100,00",,,"100,00","0,00",,,
KONF,12.03.2015,"100,00",,,"100,00","0,00",,,
KONF,13.03.2015,"100,00",,,"100,00","0,00",,,
KONF,16.03.2015,"100,00",,,"100,00","0,00",,,
KONF,17.03.2015,"100,00",,,"100,00","0,00",,,
KONF,18.03.2015,"100,00",,,"100,00","0,00",,,
KONF,19.03.2015,"100,00",,,"100,00","0,00",,,
KONF,20.03.2015,"100,00",,,"100,00","0,00",,,
KONF,23.03.2015,"100,00",,,"100,00","0,00",,,
KONF,24.03.2015,"100,00",,,"100,00","0,00",,,
KONF,25.03.2015,"100,00",,,"100,00","0,00",,,
KONF,26.03.2015,"100,00",,,"100,00","0,00",,,
KONF,27.03.2015,"100,00",,,"100,00","0,00",,,
KONF,30.03.2015,"100,00",,,"100,00","0,00",,,
KONF,31.03.2015,"100,00",,,"100,00","0,00",,,
KONF,01.04.2015,"100,00",,,"100,00","0,00",,,
KONF,02.04.2015,"100,00",,,"100,00","0,00",,,
KONF,03.04.2015,"100,00",,,"100,00","0,00",,,
KONF,06.04.2015,"100,00",,,"100,00","0,00",,,
KONF,07.04.2015,"100,00",,,"100,00","0,00",,,
KONF,08.04.2015,"100,00",,,"100,00","0,00",,,
KONF,09.04.2015,"100,00",,,"100,00","0,00",,,
KONF,14.04.2015,"100,00",,,"100,00","0,00",,,
KONF,15.04.2015,"100,00",,,"100,00","0,00",,,
KONF,16.04.2015,"100,00",,,"100,00","0,00",,,
KONF,17.04.2015,"100,00",,,"100,00","0,00",,,
KONF,20.04.2015,"100,00",,,"100,00","0,00",,,
KONF,21.04.2015,"100,00",,,"100,00","0,00",,,
KONF,22.04.2015,"100,00",,,"100,00","0,00",,,
KONF,23.04.2015,"100,00",,,"100,00","0,00",,,
KONF,24.04.2015,"100,00",,,"100,00","0,00",,,
KONF,27.04.2015,"100,00",,,"100,00","0,00",,,
KONF,28.04.2015,"100,00",,,"100,00","0,00",,,
KONF,29.04.2015,"100,00",,,"100,00","0,00",,,
KONF,30.04.2015,"100,00",,,"100,00","0,00",,,
KONF,04.05.2015,"100,00",,,"100,00","0,00",,,
KONF,05.05.2015,"100,00",,,"100,00","0,00",,,
KONF,06.05.2015,"100,00",,,"100,00","0,00",,,
KONF,07.05.2015,"100,00",,,"100,00","0,00",,,
KONF,08.05.2015,"100,00",,,"100,00","0,00",,,
KONF,11.05.2015,"100,00",,,"100,00","0,00",,,
KONF,12.05.2015,"100,00",,,"100,00","0,00",,,
KONF,13.05.2015,"100,00",,,"100,00","0,00",,,
KONF,14.05.2015,"100,00",,,"100,00","0,00",,,
KONF,15.05.2015,"100,00",,,"100,00","0,00",,,
KONF,18.05.2015,"100,00",,,"100,00","0,00",,,
KONF,19.05.2015,"100,00",,,"100,00","0,00",,,
KONF,20.05.2015,"100,00",,,"100,00","0,00",,,
KONF,21.05.2015,"100,00",,,"100,00","0,00",,,
KONF,22.05.2015,"100,00",,,"100,00","0,00",,,
KONF,26.05.2015,"100,00",,,"100,00","0,00",,,
KONF,27.05.2015,"100,00",,,"100,00","0,00",,,
KONF,28.05.2015,"100,00",,,"100,00","0,00",,,
KONF,01.06.2015,"100,00",,,"100,00","0,00",,,
KONF,02.06.2015,"100,00",,,"100,00","0,00",,,
KONF,03.06.2015,"100,00",,,"100,00","0,00",,,
KONF,04.06.2015,"100,00",,,"100,00","0,00",,,
KONF,05.06.2015,"100,00",,,"100,00","0,00",,,
KONF,08.06.2015,"100,00",,,"100,00","0,00",,,
KONF,09.06.2015,"100,00",,,"100,00","0,00",,,
KONF,10.06.2015,"100,00",,,"100,00","0,00",,,
KONF,11.06.2015,"100,00",,,"100,00","0,00",,,
KONF,12.06.2015,"100,00",,,"100,00","0,00",,,
KONF,15.06.2015,"100,00",,,"100,00","0,00",,,
KONF,16.06.2015,"100,00",,,"100,00","0,00",,,
KONF,17.06.2015,"100,00",,,"100,00","0,00",,,
KONF,18.06.2015,"100,00",,,"100,00","0,00",,,
KONF,19.06.2015,"100,00",,,"100,00","0,00",,,
KONF,22.06.2015,"100,00",,,"100,00","0,00",,,
KONF,23.06.2015,"100,00",,,"100,00","0,00",,,
KONF,24.06.2015,"100,00",,,"100,00","0,00",,,
KONF,25.06.2015,"100,00",,,"100,00","0,00",,,
KONF,26.06.2015,"100,00",,,"100,00","0,00",,,
KONF,29.06.2015,"100,00",,,"100,00","0,00",,,
KONF,30.06.2015,"100,00",,,"100,00","0,00",,,
KONF,01.07.2015,"100,00",,,"100,00","0,00",,,
KONF,02.07.2015,"100,00",,,"100,00","0,00",,,
KONF,03.07.2015,"100,00",,,"100,00","0,00",,,
KONF,06.07.2015,"100,00",,,"100,00","0,00",,,
KONF,07.07.2015,"100,00",,,"100,00","0,00",,,
KONF,08.07.2015,"100,00",,,"100,00","0,00",,,
KONF,09.07.2015,"100,00",,,"100,00","0,00",,,
KONF,10.07.2015,"100,00",,,"100,00","0,00",,,
KONF,13.07.2015,"100,00",,,"100,00","0,00",,,
KONF,14.07.2015,"100,00",,,"100,00","0,00",,,
KONF,15.07.2015,"100,00",,,"100,00","0,00",,,
KONF,16.07.2015,"100,00",,,"100,00","0,00",,,
KONF,20.07.2015,"100,00",,,"100,00","0,00",,,
KONF,21.07.2015,"100,00",,,"100,00","0,00",,,
KONF,22.07.2015,"100,00",,,"100,00","0,00",,,
KONF,23.07.2015,"100,00",,,"100,00","0,00",,,
KONF,24.07.2015,"100,00",,,"100,00","0,00",,,
KONF,27.07.2015,"100,00",,,"100,00","0,00",,,
KONF,28.07.2015,"100,00",,,"100,00","0,00",,,
KONF,29.07.2015,"100,00",,,"100,00","0,00",,,
KONF,30.07.2015,"100,00",,,"100,00","0,00",,,
KONF,31.07.2015,"100,00",,,"100,00","0,00",,,
KONF,04.08.2015,"100,00",,,"100,00","0,00",,,
KONF,05.08.2015,"100,00",,,"100,00","0,00",,,
KONF,06.08.2015,"100,00",,,"100,00","0,00",,,
KONF,07.08.2015,"100,00",,,"100,00","0,00",,,
KONF,10.08.2015,"100,00",,,"100,00","0,00",,,
KONF,11.08.2015,"100,00",,,"100,00","0,00",,,
KONF,12.08.2015,"100,00",,,"100,00","0,00",,,
KONF,13.08.2015,"100,00",,,"100,00","0,00",,,
KONF,14.08.2015,"100,00",,,"100,00","0,00",,,
KONF,17.08.2015,"100,00",,,"100,00","0,00",,,
KONF,18.08.2015,"100,00",,,"100,00","0,00",,,
KONF,19.08.2015,"100,00",,,"100,00","0,00",,,
