Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
KONZ,13.11.2014,"769,00",,,"769,00","0,00",,,
KONZ,14.11.2014,"769,00",,,"769,00","0,00",,,
KONZ,17.11.2014,"769,00",,,"769,00","0,00",,,
KONZ,18.11.2014,"769,00",,,"769,00","0,00",,,
KONZ,19.11.2014,"769,00",,,"769,00","0,00",,,
KONZ,20.11.2014,"769,00",,,"769,00","0,00",,,
KONZ,21.11.2014,"769,00",,,"769,00","0,00",,,
KONZ,24.11.2014,"769,00",,,"769,00","0,00",,,
KONZ,25.11.2014,"769,00",,,"769,00","0,00",,,
KONZ,26.11.2014,"769,00",,,"769,00","0,00",,,
KONZ,27.11.2014,"769,00",,,"769,00","0,00",,,
KONZ,28.11.2014,"769,00",,,"769,00","0,00",,,
KONZ,01.12.2014,"769,00",,,"769,00","0,00",,,
KONZ,02.12.2014,"769,00",,,"769,00","0,00",,,
KONZ,04.12.2014,"769,00",,,"769,00","0,00",,,
KONZ,05.12.2014,"769,00",,,"769,00","0,00",,,
KONZ,09.12.2014,"769,00",,,"769,00","0,00",,,
KONZ,10.12.2014,"769,00",,,"769,00","0,00",,,
KONZ,11.12.2014,"769,00",,,"769,00","0,00",,,
KONZ,12.12.2014,"769,00",,,"769,00","0,00",,,
KONZ,15.12.2014,"769,00",,,"769,00","0,00",,,
KONZ,16.12.2014,"769,00",,,"769,00","0,00",,,
KONZ,17.12.2014,"769,00",,,"769,00","0,00",,,
KONZ,18.12.2014,"769,00",,,"769,00","0,00",,,
KONZ,19.12.2014,"769,00",,,"769,00","0,00",,,
KONZ,22.12.2014,"769,00",,,"769,00","0,00",,,
KONZ,23.12.2014,"769,00",,,"769,00","0,00",,,
KONZ,24.12.2014,"769,00",,,"769,00","0,00",,,
KONZ,25.12.2014,"769,00",,,"769,00","0,00",,,
KONZ,26.12.2014,"769,00",,,"769,00","0,00",,,
KONZ,29.12.2014,"769,00",,,"769,00","0,00",,,
KONZ,30.12.2014,"769,00",,,"769,00","0,00",,,
KONZ,02.01.2015,"769,00",,,"769,00","0,00",,,
KONZ,05.01.2015,"769,00",,,"769,00","0,00",,,
KONZ,08.01.2015,"769,00",,,"769,00","0,00",,,
KONZ,09.01.2015,"769,00",,,"769,00","0,00",,,
KONZ,12.01.2015,"769,00",,,"769,00","0,00",,,
KONZ,13.01.2015,"769,00",,,"769,00","0,00",,,
KONZ,14.01.2015,"769,00",,,"769,00","0,00",,,
KONZ,15.01.2015,"769,00",,,"769,00","0,00",,,
KONZ,16.01.2015,"769,00",,,"769,00","0,00",,,
KONZ,20.01.2015,"769,00",,,"769,00","0,00",,,
KONZ,21.01.2015,"769,00",,,"769,00","0,00",,,
KONZ,22.01.2015,"769,00",,,"769,00","0,00",,,
KONZ,23.01.2015,"769,00",,,"769,00","0,00",,,
KONZ,26.01.2015,"769,00",,,"769,00","0,00",,,
KONZ,27.01.2015,"769,00",,,"769,00","0,00",,,
KONZ,28.01.2015,"769,00",,,"769,00","0,00",,,
KONZ,29.01.2015,"769,00",,,"769,00","0,00",,,
KONZ,30.01.2015,"769,00",,,"769,00","0,00",,,
KONZ,02.02.2015,"769,00",,,"769,00","0,00",,,
KONZ,03.02.2015,"769,00",,,"769,00","0,00",,,
KONZ,04.02.2015,"769,00",,,"769,00","0,00",,,
KONZ,05.02.2015,"769,00",,,"769,00","0,00",,,
KONZ,06.02.2015,"769,00",,,"769,00","0,00",,,
KONZ,09.02.2015,"769,00",,,"769,00","0,00",,,
KONZ,10.02.2015,"769,00",,,"769,00","0,00",,,
KONZ,11.02.2015,"769,00",,,"769,00","0,00",,,
KONZ,12.02.2015,"769,00",,,"769,00","0,00",,,
KONZ,13.02.2015,"769,00",,,"769,00","0,00",,,
KONZ,16.02.2015,"769,00",,,"769,00","0,00",,,
KONZ,17.02.2015,"769,00",,,"769,00","0,00",,,
KONZ,18.02.2015,"769,00",,,"769,00","0,00",,,
KONZ,19.02.2015,"769,00",,,"769,00","0,00",,,
KONZ,20.02.2015,"769,00",,,"769,00","0,00",,,
KONZ,23.02.2015,"769,00",,,"769,00","0,00",,,
KONZ,24.02.2015,"769,00",,,"769,00","0,00",,,
KONZ,25.02.2015,"769,00",,,"769,00","0,00",,,
KONZ,26.02.2015,"769,00",,,"769,00","0,00",,,
KONZ,27.02.2015,"769,00",,,"769,00","0,00",,,
KONZ,02.03.2015,"769,00",,,"769,00","0,00",,,
KONZ,03.03.2015,"769,00",,,"769,00","0,00",,,
KONZ,04.03.2015,"769,00",,,"769,00","0,00",,,
KONZ,05.03.2015,"769,00",,,"769,00","0,00",,,
KONZ,06.03.2015,"769,00",,,"769,00","0,00",,,
KONZ,09.03.2015,"769,00",,,"769,00","0,00",,,
KONZ,10.03.2015,"769,00",,,"769,00","0,00",,,
KONZ,11.03.2015,"769,00",,,"769,00","0,00",,,
KONZ,12.03.2015,"769,00",,,"769,00","0,00",,,
KONZ,13.03.2015,"769,00",,,"769,00","0,00",,,
KONZ,16.03.2015,"769,00",,,"769,00","0,00",,,
KONZ,17.03.2015,"769,00",,,"769,00","0,00",,,
KONZ,18.03.2015,"769,00",,,"769,00","0,00",,,
KONZ,19.03.2015,"769,00",,,"769,00","0,00",,,
KONZ,20.03.2015,"769,00",,,"769,00","0,00",,,
KONZ,23.03.2015,"769,00",,,"769,00","0,00",,,
KONZ,24.03.2015,"769,00",,,"769,00","0,00",,,
KONZ,25.03.2015,"769,00",,,"769,00","0,00",,,
KONZ,26.03.2015,"769,00",,,"769,00","0,00",,,
KONZ,27.03.2015,"769,00",,,"769,00","0,00",,,
KONZ,30.03.2015,"769,00",,,"769,00","0,00",,,
KONZ,31.03.2015,"769,00",,,"769,00","0,00",,,
KONZ,01.04.2015,"769,00",,,"769,00","0,00",,,
KONZ,02.04.2015,"769,00",,,"769,00","0,00",,,
KONZ,03.04.2015,"769,00",,,"769,00","0,00",,,
KONZ,06.04.2015,"769,00",,,"769,00","0,00",,,
KONZ,07.04.2015,"769,00",,,"769,00","0,00",,,
KONZ,08.04.2015,"769,00",,,"769,00","0,00",,,
KONZ,09.04.2015,"769,00",,,"769,00","0,00",,,
