Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
KORZ,13.11.2014,"120,00",,,"120,00","0,00",,,
KORZ,14.11.2014,"120,00",,,"120,00","0,00",,,
KORZ,17.11.2014,"120,00",,,"120,00","0,00",,,
KORZ,18.11.2014,"120,00",,,"120,00","0,00",,,
KORZ,19.11.2014,"120,00",,,"120,00","0,00",,,
KORZ,20.11.2014,"120,00",,,"120,00","0,00",,,
KORZ,21.11.2014,"120,00",,,"120,00","0,00",,,
KORZ,24.11.2014,"120,00",,,"120,00","0,00",,,
KORZ,25.11.2014,"120,00",,,"120,00","0,00",,,
KORZ,26.11.2014,"120,00",,,"120,00","0,00",,,
KORZ,27.11.2014,"120,00",,,"120,00","0,00",,,
KORZ,28.11.2014,"120,00",,,"120,00","0,00",,,
KORZ,01.12.2014,"120,00",,,"120,00","0,00",,,
KORZ,02.12.2014,"120,00",,,"120,00","0,00",,,
KORZ,04.12.2014,"120,00",,,"120,00","0,00",,,
KORZ,05.12.2014,"120,00",,,"120,00","0,00",,,
KORZ,09.12.2014,"120,00",,,"120,00","0,00",,,
KORZ,10.12.2014,"120,00",,,"120,00","0,00",,,
KORZ,11.12.2014,"120,00",,,"120,00","0,00",,,
KORZ,12.12.2014,"120,00",,,"120,00","0,00",,,
KORZ,15.12.2014,"120,00",,,"120,00","0,00",,,
KORZ,16.12.2014,"120,00",,,"120,00","0,00",,,
KORZ,17.12.2014,"120,00",,,"120,00","0,00",,,
KORZ,18.12.2014,"120,00",,,"120,00","0,00",,,
KORZ,19.12.2014,"120,00",,,"120,00","0,00",,,
KORZ,22.12.2014,"120,00",,,"120,00","0,00",,,
KORZ,23.12.2014,"120,00",,,"120,00","0,00",,,
KORZ,24.12.2014,"120,00",,,"120,00","0,00",,,
KORZ,25.12.2014,"120,00",,,"120,00","0,00",,,
KORZ,26.12.2014,"120,00",,,"120,00","0,00",,,
KORZ,29.12.2014,"120,00",,,"120,00","0,00",,,
KORZ,30.12.2014,"120,00",,,"120,00","0,00",,,
KORZ,02.01.2015,"120,00",,,"120,00","0,00",,,
KORZ,05.01.2015,"120,00",,,"120,00","0,00",,,
KORZ,08.01.2015,"120,00",,,"120,00","0,00",,,
KORZ,09.01.2015,"120,00",,,"120,00","0,00",,,
KORZ,12.01.2015,"120,00",,,"120,00","0,00",,,
KORZ,13.01.2015,"120,00",,,"120,00","0,00",,,
KORZ,14.01.2015,"120,00",,,"120,00","0,00",,,
KORZ,15.01.2015,"120,00",,,"120,00","0,00",,,
KORZ,16.01.2015,"120,00",,,"120,00","0,00",,,
KORZ,20.01.2015,"120,00",,,"120,00","0,00",,,
KORZ,21.01.2015,"120,00",,,"120,00","0,00",,,
KORZ,22.01.2015,"120,00",,,"120,00","0,00",,,
KORZ,23.01.2015,"120,00",,,"120,00","0,00",,,
KORZ,26.01.2015,"120,00",,,"120,00","0,00",,,
KORZ,27.01.2015,"120,00",,,"120,00","0,00",,,
KORZ,28.01.2015,"120,00",,,"120,00","0,00",,,
KORZ,29.01.2015,"120,00",,,"120,00","0,00",,,
KORZ,30.01.2015,"120,00",,,"120,00","0,00",,,
KORZ,02.02.2015,"120,00",,,"120,00","0,00",,,
KORZ,03.02.2015,"120,00",,,"120,00","0,00",,,
KORZ,04.02.2015,"120,00",,,"120,00","0,00",,,
KORZ,05.02.2015,"120,00",,,"120,00","0,00",,,
KORZ,06.02.2015,"120,00",,,"120,00","0,00",,,
KORZ,09.02.2015,"120,00",,,"120,00","0,00",,,
KORZ,10.02.2015,"120,00",,,"120,00","0,00",,,
KORZ,11.02.2015,"120,00",,,"120,00","0,00",,,
KORZ,12.02.2015,"120,00",,,"120,00","0,00",,,
KORZ,13.02.2015,"120,00",,,"120,00","0,00",,,
KORZ,16.02.2015,"120,00",,,"120,00","0,00",,,
KORZ,17.02.2015,"120,00",,,"120,00","0,00",,,
KORZ,18.02.2015,"120,00",,,"120,00","0,00",,,
KORZ,19.02.2015,"120,00",,,"120,00","0,00",,,
KORZ,20.02.2015,"120,00",,,"120,00","0,00",,,
KORZ,23.02.2015,"120,00",,,"120,00","0,00",,,
KORZ,24.02.2015,"120,00",,,"120,00","0,00",,,
KORZ,25.02.2015,"120,00",,,"120,00","0,00",,,
KORZ,26.02.2015,"120,00",,,"120,00","0,00",,,
KORZ,27.02.2015,"120,00",,,"120,00","0,00",,,
KORZ,02.03.2015,"120,00",,,"120,00","0,00",,,
KORZ,03.03.2015,"120,00",,,"120,00","0,00",,,
KORZ,04.03.2015,"120,00",,,"120,00","0,00",,,
KORZ,05.03.2015,"120,00",,,"120,00","0,00",,,
KORZ,06.03.2015,"120,00",,,"120,00","0,00",,,
KORZ,09.03.2015,"120,00",,,"120,00","0,00",,,
KORZ,10.03.2015,"120,00",,,"120,00","0,00",,,
KORZ,11.03.2015,"120,00",,,"120,00","0,00",,,
KORZ,12.03.2015,"120,00",,,"120,00","0,00",,,
KORZ,13.03.2015,"120,00",,,"120,00","0,00",,,
KORZ,16.03.2015,"120,00",,,"120,00","0,00",,,
KORZ,17.03.2015,"120,00",,,"120,00","0,00",,,
KORZ,18.03.2015,"120,00",,,"120,00","0,00",,,
KORZ,19.03.2015,"120,00",,,"120,00","0,00",,,
KORZ,20.03.2015,"120,00",,,"120,00","0,00",,,
KORZ,23.03.2015,"120,00",,,"120,00","0,00",,,
KORZ,24.03.2015,"120,00",,,"120,00","0,00",,,
KORZ,25.03.2015,"120,00",,,"120,00","0,00",,,
KORZ,26.03.2015,"120,00",,,"120,00","0,00",,,
KORZ,27.03.2015,"120,00",,,"120,00","0,00",,,
KORZ,30.03.2015,"120,00",,,"120,00","0,00",,,
KORZ,31.03.2015,"120,00",,,"120,00","0,00",,,
KORZ,01.04.2015,"120,00",,,"120,00","0,00",,,
KORZ,02.04.2015,"120,00",,,"120,00","0,00",,,
KORZ,03.04.2015,"120,00",,,"120,00","0,00",,,
KORZ,06.04.2015,"120,00",,,"120,00","0,00",,,
KORZ,07.04.2015,"120,00",,,"120,00","0,00",,,
KORZ,08.04.2015,"120,00",,,"120,00","0,00",,,
KORZ,09.04.2015,"120,00",,,"120,00","0,00",,,
KORZ,14.04.2015,"120,00",,,"120,00","0,00",,,
KORZ,15.04.2015,"120,00",,,"120,00","0,00",,,
KORZ,16.04.2015,"120,00",,,"120,00","0,00",,,
KORZ,17.04.2015,"120,00",,,"120,00","0,00",,,
KORZ,20.04.2015,"120,00",,,"120,00","0,00",,,
KORZ,21.04.2015,"120,00",,,"120,00","0,00",,,
KORZ,22.04.2015,"120,00",,,"120,00","0,00",,,
KORZ,23.04.2015,"120,00",,,"120,00","0,00",,,
KORZ,24.04.2015,"120,00",,,"120,00","0,00",,,
KORZ,27.04.2015,"120,00",,,"120,00","0,00",,,
KORZ,28.04.2015,"120,00",,,"120,00","0,00",,,
KORZ,29.04.2015,"120,00",,,"120,00","0,00",,,
KORZ,30.04.2015,"120,00",,,"120,00","0,00",,,
KORZ,04.05.2015,"120,00",,,"120,00","0,00",,,
KORZ,05.05.2015,"120,00",,,"120,00","0,00",,,
KORZ,06.05.2015,"120,00",,,"120,00","0,00",,,
KORZ,07.05.2015,"120,00",,,"120,00","0,00",,,
KORZ,08.05.2015,"120,00",,,"120,00","0,00",,,
KORZ,11.05.2015,"120,00",,,"120,00","0,00",,,
KORZ,12.05.2015,"120,00",,,"120,00","0,00",,,
KORZ,13.05.2015,"120,00",,,"120,00","0,00",,,
KORZ,14.05.2015,"120,00",,,"120,00","0,00",,,
KORZ,15.05.2015,"120,00",,,"120,00","0,00",,,
KORZ,18.05.2015,"120,00",,,"120,00","0,00",,,
KORZ,19.05.2015,"120,00",,,"120,00","0,00",,,
KORZ,20.05.2015,"120,00",,,"120,00","0,00",,,
KORZ,21.05.2015,"120,00",,,"120,00","0,00",,,
KORZ,22.05.2015,"120,00",,,"120,00","0,00",,,
KORZ,26.05.2015,"120,00",,,"120,00","0,00",,,
KORZ,27.05.2015,"120,00",,,"120,00","0,00",,,
KORZ,28.05.2015,"120,00",,,"120,00","0,00",,,
KORZ,01.06.2015,"120,00",,,"120,00","0,00",,,
KORZ,02.06.2015,"120,00",,,"120,00","0,00",,,
KORZ,03.06.2015,"120,00",,,"120,00","0,00",,,
KORZ,04.06.2015,"120,00",,,"120,00","0,00",,,
KORZ,05.06.2015,"120,00",,,"120,00","0,00",,,
KORZ,08.06.2015,"120,00",,,"120,00","0,00",,,
KORZ,09.06.2015,"120,00",,,"120,00","0,00",,,
KORZ,10.06.2015,"120,00",,,"120,00","0,00",,,
KORZ,11.06.2015,"120,00",,,"120,00","0,00",,,
KORZ,12.06.2015,"120,00",,,"120,00","0,00",,,
KORZ,15.06.2015,"120,00",,,"120,00","0,00",,,
KORZ,16.06.2015,"120,00",,,"120,00","0,00",,,
KORZ,17.06.2015,"120,00",,,"120,00","0,00",,,
KORZ,18.06.2015,"120,00",,,"120,00","0,00",,,
KORZ,19.06.2015,"120,00",,,"120,00","0,00",,,
KORZ,22.06.2015,"120,00",,,"120,00","0,00",,,
KORZ,23.06.2015,"120,00",,,"120,00","0,00",,,
KORZ,24.06.2015,"120,00",,,"120,00","0,00",,,
KORZ,25.06.2015,"120,00",,,"120,00","0,00",,,
KORZ,26.06.2015,"120,00",,,"120,00","0,00",,,
KORZ,29.06.2015,"120,00",,,"120,00","0,00",,,
KORZ,30.06.2015,"120,00",,,"120,00","0,00",,,
KORZ,01.07.2015,"120,00",,,"120,00","0,00",,,
KORZ,02.07.2015,"120,00",,,"120,00","0,00",,,
KORZ,03.07.2015,"120,00",,,"120,00","0,00",,,
KORZ,06.07.2015,"120,00",,,"120,00","0,00",,,
KORZ,07.07.2015,"120,00",,,"120,00","0,00",,,
KORZ,08.07.2015,"120,00",,,"120,00","0,00",,,
KORZ,09.07.2015,"120,00",,,"120,00","0,00",,,
KORZ,10.07.2015,"120,00",,,"120,00","0,00",,,
KORZ,13.07.2015,"120,00",,,"120,00","0,00",,,
KORZ,14.07.2015,"120,00",,,"120,00","0,00",,,
KORZ,15.07.2015,"120,00",,,"120,00","0,00",,,
KORZ,16.07.2015,"120,00",,,"120,00","0,00",,,
KORZ,20.07.2015,"120,00",,,"120,00","0,00",,,
KORZ,21.07.2015,"120,00",,,"120,00","0,00",,,
KORZ,22.07.2015,"120,00",,,"120,00","0,00",,,
KORZ,23.07.2015,"120,00",,,"120,00","0,00",,,
KORZ,24.07.2015,"120,00",,,"120,00","0,00",,,
KORZ,27.07.2015,"120,00",,,"120,00","0,00",,,
KORZ,28.07.2015,"120,00",,,"120,00","0,00",,,
KORZ,29.07.2015,"120,00",,,"120,00","0,00",,,
KORZ,30.07.2015,"120,00",,,"120,00","0,00",,,
KORZ,31.07.2015,"120,00",,,"120,00","0,00",,,
KORZ,04.08.2015,"120,00",,,"120,00","0,00",,,
KORZ,05.08.2015,"120,00",,,"120,00","0,00",,,
KORZ,06.08.2015,"120,00",,,"120,00","0,00",,,
KORZ,07.08.2015,"120,00",,,"120,00","0,00",,,
KORZ,10.08.2015,"120,00",,,"120,00","0,00",,,
KORZ,11.08.2015,"120,00",,,"120,00","0,00",,,
KORZ,12.08.2015,"120,00",,,"120,00","0,00",,,
KORZ,13.08.2015,"120,00",,,"120,00","0,00",,,
KORZ,14.08.2015,"120,00",,,"120,00","0,00",,,
KORZ,17.08.2015,"120,00",,,"120,00","0,00",,,
KORZ,18.08.2015,"120,00",,,"120,00","0,00",,,
KORZ,19.08.2015,"120,00",,,"120,00","0,00",,,
KORZ,20.08.2015,"120,00",,,"120,00","0,00",,,
KORZ,21.08.2015,"120,00",,,"120,00","0,00",,,
KORZ,24.08.2015,"120,00",,,"120,00","0,00",,,
KORZ,25.08.2015,"120,00",,,"120,00","0,00",,,
KORZ,26.08.2015,"120,00",,,"120,00","0,00",,,
KORZ,27.08.2015,"120,00",,,"120,00","0,00",,,
KORZ,31.08.2015,"120,00",,,"120,00","0,00",,,
KORZ,01.09.2015,"120,00",,,"120,00","0,00",,,
KORZ,02.09.2015,"120,00",,,"120,00","0,00",,,
KORZ,03.09.2015,"120,00",,,"120,00","0,00",,,
KORZ,04.09.2015,"120,00",,,"120,00","0,00",,,
KORZ,07.09.2015,"120,00",,,"120,00","0,00",,,
KORZ,09.09.2015,"120,00",,,"120,00","0,00",,,
KORZ,10.09.2015,"120,00",,,"120,00","0,00",,,
KORZ,11.09.2015,"120,00",,,"120,00","0,00",,,
KORZ,14.09.2015,"120,00",,,"120,00","0,00",,,
KORZ,15.09.2015,"120,00",,,"120,00","0,00",,,
KORZ,16.09.2015,"120,00",,,"120,00","0,00",,,
KORZ,17.09.2015,"120,00",,,"120,00","0,00",,,
KORZ,18.09.2015,"120,00",,,"120,00","0,00",,,
KORZ,21.09.2015,"120,00",,,"120,00","0,00",,,
KORZ,22.09.2015,"120,00",,,"120,00","0,00",,,
KORZ,23.09.2015,"120,00",,,"120,00","0,00",,,
KORZ,24.09.2015,"120,00",,,"120,00","0,00",,,
KORZ,25.09.2015,"120,00",,,"120,00","0,00",,,
KORZ,28.09.2015,"120,00",,,"120,00","0,00",,,
KORZ,29.09.2015,"120,00",,,"120,00","0,00",,,
KORZ,30.09.2015,"120,00",,,"120,00","0,00",,,
KORZ,01.10.2015,"120,00",,,"120,00","0,00",,,
KORZ,02.10.2015,"120,00",,,"120,00","0,00",,,
KORZ,05.10.2015,"120,00",,,"120,00","0,00",,,
KORZ,06.10.2015,"120,00",,,"120,00","0,00",,,
KORZ,07.10.2015,"120,00",,,"120,00","0,00",,,
KORZ,08.10.2015,"120,00",,,"120,00","0,00",,,
KORZ,09.10.2015,"120,00",,,"120,00","0,00",,,
KORZ,13.10.2015,"120,00",,,"120,00","0,00",,,
KORZ,14.10.2015,"120,00",,,"120,00","0,00",,,
KORZ,15.10.2015,"120,00",,,"120,00","0,00",,,
KORZ,16.10.2015,"120,00",,,"120,00","0,00",,,
KORZ,19.10.2015,"120,00",,,"120,00","0,00",,,
KORZ,20.10.2015,"120,00",,,"120,00","0,00",,,
KORZ,21.10.2015,"120,00",,,"120,00","0,00",,,
KORZ,22.10.2015,"120,00",,,"120,00","0,00",,,
KORZ,26.10.2015,"120,00",,,"120,00","0,00",,,
KORZ,27.10.2015,"120,00",,,"120,00","0,00",,,
KORZ,28.10.2015,"120,00",,,"120,00","0,00",,,
KORZ,29.10.2015,"120,00",,,"120,00","0,00",,,
KORZ,30.10.2015,"120,00",,,"120,00","0,00",,,
KORZ,02.11.2015,"120,00",,,"120,00","0,00",,,
KORZ,03.11.2015,"120,00",,,"120,00","0,00",,,
KORZ,04.11.2015,"120,00",,,"120,00","0,00",,,
KORZ,05.11.2015,"120,00",,,"120,00","0,00",,,
KORZ,06.11.2015,"120,00",,,"120,00","0,00",,,
KORZ,09.11.2015,"120,00",,,"120,00","0,00",,,
KORZ,10.11.2015,"120,00",,,"120,00","0,00",,,
KORZ,11.11.2015,"120,00",,,"120,00","0,00",,,
KORZ,12.11.2015,"120,00",,,"120,00","0,00",,,
KORZ,13.11.2015,"120,00",,,"120,00","0,00",,,
KORZ,16.11.2015,"120,00",,,"120,00","0,00",,,
KORZ,17.11.2015,"120,00",,,"120,00","0,00",,,
KORZ,18.11.2015,"120,00",,,"120,00","0,00",,,
KORZ,19.11.2015,"120,00",,,"120,00","0,00",,,
KORZ,20.11.2015,"120,00",,,"120,00","0,00",,,
KORZ,23.11.2015,"120,00",,,"120,00","0,00",,,
KORZ,24.11.2015,"120,00",,,"120,00","0,00",,,
