Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
KPSS,13.11.2014,"150,00",,,"150,00","0,00",,,
KPSS,14.11.2014,"150,00",,,"150,00","0,00",,,
KPSS,17.11.2014,"150,00",,,"150,00","0,00",,,
KPSS,18.11.2014,"150,00",,,"150,00","0,00",,,
KPSS,19.11.2014,"150,00",,,"150,00","0,00",,,
KPSS,20.11.2014,"150,00",,,"150,00","0,00",,,
KPSS,21.11.2014,"150,00",,,"150,00","0,00",,,
KPSS,24.11.2014,"150,00",,,"150,00","0,00",,,
KPSS,25.11.2014,"150,00",,,"150,00","0,00",,,
KPSS,26.11.2014,"150,00",,,"150,00","0,00",,,
KPSS,27.11.2014,"150,00",,,"150,00","0,00",,,
KPSS,28.11.2014,"150,00",,,"150,00","0,00",,,
KPSS,01.12.2014,"150,00",,,"150,00","0,00",,,
KPSS,02.12.2014,"150,00",,,"150,00","0,00",,,
KPSS,04.12.2014,"150,00",,,"150,00","0,00",,,
KPSS,05.12.2014,"150,00",,,"150,00","0,00",,,
KPSS,09.12.2014,"150,00",,,"150,00","0,00",,,
KPSS,10.12.2014,"150,00",,,"150,00","0,00",,,
KPSS,11.12.2014,"150,00",,,"150,00","0,00",,,
KPSS,12.12.2014,"150,00",,,"150,00","0,00",,,
KPSS,15.12.2014,"150,00",,,"150,00","0,00",,,
KPSS,16.12.2014,"150,00",,,"150,00","0,00",,,
KPSS,17.12.2014,"150,00",,,"150,00","0,00",,,
KPSS,18.12.2014,"150,00",,,"150,00","0,00",,,
KPSS,19.12.2014,"150,00",,,"150,00","0,00",,,
KPSS,22.12.2014,"150,00",,,"150,00","0,00",,,
KPSS,23.12.2014,"150,00",,,"150,00","0,00",,,
KPSS,24.12.2014,"150,00",,,"150,00","0,00",,,
KPSS,25.12.2014,"150,00",,,"150,00","0,00",,,
KPSS,26.12.2014,"150,00",,,"150,00","0,00",,,
KPSS,29.12.2014,"150,00",,,"150,00","0,00",,,
KPSS,30.12.2014,"150,00",,,"150,00","0,00",,,
KPSS,02.01.2015,"150,00",,,"150,00","0,00",,,
KPSS,05.01.2015,"150,00",,,"150,00","0,00",,,
KPSS,08.01.2015,"150,00",,,"150,00","0,00",,,
KPSS,09.01.2015,"150,00",,,"150,00","0,00",,,
KPSS,12.01.2015,"150,00",,,"150,00","0,00",,,
KPSS,13.01.2015,"150,00",,,"150,00","0,00",,,
KPSS,14.01.2015,"150,00",,,"150,00","0,00",,,
KPSS,15.01.2015,"150,00",,,"150,00","0,00",,,
KPSS,16.01.2015,"150,00",,,"150,00","0,00",,,
KPSS,20.01.2015,"150,00",,,"150,00","0,00",,,
KPSS,21.01.2015,"150,00",,,"150,00","0,00",,,
KPSS,22.01.2015,"150,00",,,"150,00","0,00",,,
KPSS,23.01.2015,"150,00",,,"150,00","0,00",,,
KPSS,26.01.2015,"150,00",,,"150,00","0,00",,,
KPSS,27.01.2015,"150,00",,,"150,00","0,00",,,
KPSS,28.01.2015,"150,00",,,"150,00","0,00",,,
KPSS,29.01.2015,"150,00",,,"150,00","0,00",,,
KPSS,30.01.2015,"150,00",,,"150,00","0,00",,,
KPSS,02.02.2015,"150,00",,,"150,00","0,00",,,
KPSS,03.02.2015,"150,00",,,"150,00","0,00",,,
KPSS,04.02.2015,"150,00",,,"150,00","0,00",,,
KPSS,05.02.2015,"150,00",,,"150,00","0,00",,,
KPSS,06.02.2015,"150,00",,,"150,00","0,00",,,
KPSS,09.02.2015,"150,00",,,"150,00","0,00",,,
KPSS,10.02.2015,"150,00",,,"150,00","0,00",,,
KPSS,11.02.2015,"150,00",,,"150,00","0,00",,,
KPSS,12.02.2015,"150,00",,,"150,00","0,00",,,
KPSS,13.02.2015,"150,00",,,"150,00","0,00",,,
