Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
KULT,13.11.2014,"1.500,00",,,"1.500,00","0,00",,,
KULT,14.11.2014,"1.500,00",,,"1.500,00","0,00",,,
KULT,17.11.2014,"1.500,00",,,"1.500,00","0,00",,,
KULT,18.11.2014,"1.500,00",,,"1.500,00","0,00",,,
KULT,19.11.2014,"1.500,00",,,"1.500,00","0,00",,,
KULT,20.11.2014,"1.500,00",,,"1.500,00","0,00",,,
KULT,21.11.2014,"1.500,00",,,"1.500,00","0,00",,,
KULT,24.11.2014,"1.500,00",,,"1.500,00","0,00",,,
KULT,25.11.2014,"1.500,00",,,"1.500,00","0,00",,,
KULT,26.11.2014,"1.500,00",,,"1.500,00","0,00",,,
KULT,27.11.2014,"1.500,00",,,"1.500,00","0,00",,,
KULT,28.11.2014,"1.500,00",,,"1.500,00","0,00",,,
KULT,01.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KULT,02.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KULT,04.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KULT,05.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KULT,09.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KULT,10.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KULT,11.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KULT,12.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KULT,15.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KULT,16.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KULT,17.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KULT,18.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KULT,19.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KULT,22.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KULT,23.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KULT,24.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KULT,25.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KULT,26.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KULT,29.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KULT,30.12.2014,"1.500,00",,,"1.500,00","0,00",,,
KULT,02.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,05.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,08.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,09.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,12.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,13.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,14.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,15.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,16.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,20.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,21.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,22.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,23.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,26.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,27.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,28.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,29.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,30.01.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,02.02.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,03.02.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,04.02.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,05.02.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,06.02.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,09.02.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,10.02.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,11.02.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,12.02.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,13.02.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,16.02.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,17.02.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,18.02.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,19.02.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,20.02.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,23.02.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,24.02.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,25.02.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,26.02.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,27.02.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,02.03.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,03.03.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,04.03.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,05.03.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,06.03.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,09.03.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,10.03.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,11.03.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,12.03.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,13.03.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,16.03.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,17.03.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,18.03.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,19.03.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,20.03.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,23.03.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,24.03.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,25.03.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,26.03.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,27.03.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,30.03.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,31.03.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,01.04.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,02.04.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,03.04.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,06.04.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,07.04.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,08.04.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,09.04.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,14.04.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,15.04.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,16.04.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,17.04.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,20.04.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,21.04.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,22.04.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,23.04.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,24.04.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,27.04.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,28.04.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,29.04.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,30.04.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,04.05.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,05.05.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,06.05.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,07.05.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,08.05.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,11.05.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,12.05.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,13.05.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,14.05.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,15.05.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,18.05.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,19.05.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,20.05.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,21.05.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,22.05.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,26.05.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,27.05.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,28.05.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,01.06.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,02.06.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,03.06.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,04.06.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,05.06.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,08.06.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,09.06.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,10.06.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,11.06.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,12.06.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,15.06.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,16.06.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,17.06.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,18.06.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,19.06.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,22.06.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,23.06.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,24.06.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,25.06.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,26.06.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,29.06.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,30.06.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,01.07.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,02.07.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,03.07.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,06.07.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,07.07.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,08.07.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,09.07.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,10.07.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,13.07.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,14.07.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,15.07.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,16.07.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,20.07.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,21.07.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,22.07.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,23.07.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,24.07.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,27.07.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,28.07.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,29.07.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,30.07.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,31.07.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,04.08.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,05.08.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,06.08.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,07.08.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,10.08.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,11.08.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,12.08.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,13.08.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,14.08.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,17.08.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,18.08.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,19.08.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,20.08.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,21.08.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,24.08.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,25.08.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,26.08.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,27.08.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,31.08.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,01.09.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,02.09.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,03.09.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,04.09.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,07.09.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,09.09.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,10.09.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,11.09.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,14.09.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,15.09.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,16.09.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,17.09.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,18.09.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,21.09.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,22.09.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,23.09.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,24.09.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,25.09.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,28.09.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,29.09.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,30.09.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,01.10.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,02.10.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,05.10.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,06.10.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,07.10.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,08.10.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,09.10.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,13.10.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,14.10.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,15.10.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,16.10.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,19.10.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,20.10.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,21.10.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,22.10.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,26.10.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,27.10.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,28.10.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,29.10.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,30.10.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,02.11.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,03.11.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,04.11.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,05.11.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,06.11.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,09.11.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,10.11.2015,"1.500,00",,,"1.500,00","0,00",,,
KULT,11.11.2015,"1.500,00",,,"1.500,00","0,00",,,
