Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
KVAS,13.11.2014,"10.012,00",,,"10.012,00","0,00",,,
KVAS,14.11.2014,"10.012,00",,,"10.012,00","0,00",,,
KVAS,17.11.2014,"10.012,00",,,"10.012,00","0,00",,,
KVAS,18.11.2014,"10.012,00",,,"10.012,00","0,00",,,
KVAS,19.11.2014,"10.012,00",,,"10.012,00","0,00",,,
KVAS,20.11.2014,"10.012,00",,,"10.012,00","0,00",,,
KVAS,21.11.2014,"10.012,00",,,"10.012,00","0,00",,,
KVAS,24.11.2014,"10.012,00",,,"10.012,00","0,00",,,
KVAS,25.11.2014,"10.012,00",,,"10.012,00","0,00",,,
KVAS,26.11.2014,"10.012,00",,,"10.012,00","0,00",,,
KVAS,27.11.2014,"10.012,00",,,"10.012,00","0,00",,,
KVAS,28.11.2014,"10.012,00",,,"10.012,00","0,00",,,
KVAS,01.12.2014,"10.012,00",,,"10.012,00","0,00",,,
KVAS,02.12.2014,"10.012,00",,,"10.012,00","0,00",,,
KVAS,04.12.2014,"10.012,00",,,"10.012,00","0,00",,,
KVAS,05.12.2014,"10.012,00",,,"10.012,00","0,00",,,
KVAS,09.12.2014,"10.012,00",,,"10.012,00","0,00",,,
KVAS,10.12.2014,"10.012,00",,,"10.012,00","0,00",,,
KVAS,11.12.2014,"10.012,00",,,"10.012,00","0,00",,,
KVAS,12.12.2014,"10.012,00",,,"10.012,00","0,00",,,
KVAS,15.12.2014,"10.012,00",,,"10.012,00","0,00",,,
KVAS,16.12.2014,"10.012,00",,,"10.012,00","0,00",,,
KVAS,17.12.2014,"10.012,00",,,"10.012,00","0,00",,,
KVAS,18.12.2014,"10.012,00",,,"10.012,00","0,00",,,
KVAS,19.12.2014,"10.012,00",,,"10.012,00","0,00",,,
KVAS,22.12.2014,"10.012,00",,,"10.012,00","0,00",,,
KVAS,23.12.2014,"10.012,00",,,"10.012,00","0,00",,,
KVAS,24.12.2014,"10.012,00",,,"10.012,00","0,00",,,
KVAS,25.12.2014,"10.012,00",,,"10.012,00","0,00",,,
KVAS,26.12.2014,"10.012,00",,,"10.012,00","0,00",,,
KVAS,29.12.2014,"10.012,00",,,"10.012,00","0,00",,,
KVAS,30.12.2014,"10.012,00",,,"10.012,00","0,00",,,
KVAS,02.01.2015,"10.012,00",,,"10.012,00","0,00",,,
KVAS,05.01.2015,"10.012,00",,,"10.012,00","0,00",,,
KVAS,08.01.2015,"10.012,00",,,"10.012,00","0,00",,,
KVAS,09.01.2015,"10.012,00",,,"10.012,00","0,00",,,
KVAS,12.01.2015,"10.012,00",,,"10.012,00","0,00",,,
KVAS,13.01.2015,"10.012,00",,,"10.012,00","0,00",,,
KVAS,14.01.2015,"10.012,00",,,"10.012,00","0,00",,,
KVAS,15.01.2015,"10.012,00",,,"10.012,00","0,00",,,
KVAS,16.01.2015,"10.012,00",,,"10.012,00","0,00",,,
KVAS,20.01.2015,"10.012,00",,,"10.012,00","0,00",,,
KVAS,21.01.2015,"10.200,00","10.200,00","10.200,00","10.200,00","1,88",1.0,10.2,10.2
KVAS,22.01.2015,"10.200,00",,,"10.200,00","0,00",,,
KVAS,23.01.2015,"10.200,00",,,"10.200,00","0,00",,,
KVAS,26.01.2015,"10.200,00",,,"10.200,00","0,00",,,
KVAS,27.01.2015,"10.200,00",,,"10.200,00","0,00",,,
KVAS,28.01.2015,"10.200,00",,,"10.200,00","0,00",,,
KVAS,29.01.2015,"10.200,00",,,"10.200,00","0,00",,,
KVAS,30.01.2015,"10.200,00",,,"10.200,00","0,00",,,
KVAS,02.02.2015,"10.200,00",,,"10.200,00","0,00",,,
KVAS,03.02.2015,"10.200,00",,,"10.200,00","0,00",,,
KVAS,04.02.2015,"10.200,00",,,"10.200,00","0,00",,,
KVAS,05.02.2015,"10.200,00",,,"10.200,00","0,00",,,
KVAS,06.02.2015,"10.200,00",,,"10.200,00","0,00",,,
KVAS,09.02.2015,"10.200,00",,,"10.200,00","0,00",,,
KVAS,10.02.2015,"10.200,00",,,"10.200,00","0,00",,,
KVAS,11.02.2015,"10.240,00","10.240,00","10.240,00","10.240,00","0,39",2.0,20.48,20.48
KVAS,12.02.2015,"10.240,00","10.240,00","10.240,00","10.240,00","0,00",30.0,307.2,307.2
KVAS,13.02.2015,"10.240,00",,,"10.240,00","0,00",,,
KVAS,16.02.2015,"10.240,00",,,"10.240,00","0,00",,,
KVAS,17.02.2015,"10.240,00",,,"10.240,00","0,00",,,
KVAS,18.02.2015,"10.240,00",,,"10.240,00","0,00",,,
KVAS,19.02.2015,"10.240,00",,,"10.240,00","0,00",,,
KVAS,20.02.2015,"10.240,00",,,"10.240,00","0,00",,,
