Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
LAJO,13.11.2014,"615,00",,,"615,00","0,00",,,
LAJO,14.11.2014,"615,00",,,"615,00","0,00",,,
LAJO,17.11.2014,"615,00",,,"615,00","0,00",,,
LAJO,18.11.2014,"615,00",,,"615,00","0,00",,,
LAJO,19.11.2014,"615,00",,,"615,00","0,00",,,
LAJO,20.11.2014,"615,00",,,"615,00","0,00",,,
LAJO,21.11.2014,"615,00",,,"615,00","0,00",,,
LAJO,24.11.2014,"615,00",,,"615,00","0,00",,,
LAJO,25.11.2014,"615,00",,,"615,00","0,00",,,
LAJO,26.11.2014,"615,00",,,"615,00","0,00",,,
LAJO,27.11.2014,"615,00",,,"615,00","0,00",,,
LAJO,28.11.2014,"615,00",,,"615,00","0,00",,,
LAJO,01.12.2014,"615,00",,,"615,00","0,00",,,
LAJO,02.12.2014,"615,00",,,"615,00","0,00",,,
LAJO,04.12.2014,"615,00",,,"615,00","0,00",,,
LAJO,05.12.2014,"615,00",,,"615,00","0,00",,,
LAJO,09.12.2014,"615,00",,,"615,00","0,00",,,
LAJO,10.12.2014,"615,00",,,"615,00","0,00",,,
LAJO,11.12.2014,"615,00",,,"615,00","0,00",,,
LAJO,12.12.2014,"615,00",,,"615,00","0,00",,,
LAJO,15.12.2014,"615,00",,,"615,00","0,00",,,
LAJO,16.12.2014,"615,00",,,"615,00","0,00",,,
LAJO,17.12.2014,"615,00",,,"615,00","0,00",,,
LAJO,18.12.2014,"615,00",,,"615,00","0,00",,,
LAJO,19.12.2014,"615,00",,,"615,00","0,00",,,
LAJO,22.12.2014,"615,00",,,"615,00","0,00",,,
LAJO,23.12.2014,"615,00",,,"615,00","0,00",,,
LAJO,24.12.2014,"615,00",,,"615,00","0,00",,,
LAJO,25.12.2014,"615,00",,,"615,00","0,00",,,
LAJO,26.12.2014,"615,00",,,"615,00","0,00",,,
LAJO,29.12.2014,"615,00",,,"615,00","0,00",,,
LAJO,30.12.2014,"615,00",,,"615,00","0,00",,,
LAJO,02.01.2015,"615,00",,,"615,00","0,00",,,
LAJO,05.01.2015,"615,00",,,"615,00","0,00",,,
LAJO,08.01.2015,"615,00",,,"615,00","0,00",,,
LAJO,09.01.2015,"615,00",,,"615,00","0,00",,,
LAJO,12.01.2015,"615,00",,,"615,00","0,00",,,
LAJO,13.01.2015,"615,00",,,"615,00","0,00",,,
