Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
LHND,13.11.2014,"615,00",,,"615,00","0,00",,,
LHND,14.11.2014,"615,00",,,"615,00","0,00",,,
LHND,17.11.2014,"615,00",,,"615,00","0,00",,,
LHND,18.11.2014,"615,00",,,"615,00","0,00",,,
LHND,19.11.2014,"615,00",,,"615,00","0,00",,,
LHND,20.11.2014,"615,00",,,"615,00","0,00",,,
LHND,21.11.2014,"615,00",,,"615,00","0,00",,,
LHND,24.11.2014,"615,00",,,"615,00","0,00",,,
LHND,25.11.2014,"615,00",,,"615,00","0,00",,,
LHND,26.11.2014,"615,00",,,"615,00","0,00",,,
LHND,27.11.2014,"615,00",,,"615,00","0,00",,,
LHND,28.11.2014,"615,00",,,"615,00","0,00",,,
LHND,01.12.2014,"615,00",,,"615,00","0,00",,,
LHND,02.12.2014,"615,00",,,"615,00","0,00",,,
LHND,04.12.2014,"615,00",,,"615,00","0,00",,,
LHND,05.12.2014,"615,00",,,"615,00","0,00",,,
LHND,09.12.2014,"615,00",,,"615,00","0,00",,,
LHND,10.12.2014,"615,00",,,"615,00","0,00",,,
LHND,11.12.2014,"615,00",,,"615,00","0,00",,,
LHND,12.12.2014,"615,00",,,"615,00","0,00",,,
LHND,15.12.2014,"615,00",,,"615,00","0,00",,,
LHND,16.12.2014,"615,00",,,"615,00","0,00",,,
LHND,17.12.2014,"615,00",,,"615,00","0,00",,,
LHND,18.12.2014,"615,00",,,"615,00","0,00",,,
LHND,19.12.2014,"615,00",,,"615,00","0,00",,,
LHND,22.12.2014,"615,00",,,"615,00","0,00",,,
LHND,23.12.2014,"615,00",,,"615,00","0,00",,,
LHND,24.12.2014,"615,00",,,"615,00","0,00",,,
LHND,25.12.2014,"615,00",,,"615,00","0,00",,,
LHND,26.12.2014,"615,00",,,"615,00","0,00",,,
LHND,29.12.2014,"615,00",,,"615,00","0,00",,,
LHND,30.12.2014,"615,00",,,"615,00","0,00",,,
LHND,02.01.2015,"615,00",,,"615,00","0,00",,,
LHND,05.01.2015,"615,00",,,"615,00","0,00",,,
LHND,08.01.2015,"615,00",,,"615,00","0,00",,,
LHND,09.01.2015,"615,00",,,"615,00","0,00",,,
LHND,12.01.2015,"615,00",,,"615,00","0,00",,,
LHND,13.01.2015,"615,00",,,"615,00","0,00",,,
LHND,14.01.2015,"615,00",,,"615,00","0,00",,,
LHND,15.01.2015,"615,00",,,"615,00","0,00",,,
LHND,16.01.2015,"615,00",,,"615,00","0,00",,,
LHND,20.01.2015,"615,00",,,"615,00","0,00",,,
LHND,21.01.2015,"615,00",,,"615,00","0,00",,,
LHND,22.01.2015,"615,00",,,"615,00","0,00",,,
LHND,23.01.2015,"615,00",,,"615,00","0,00",,,
LHND,26.01.2015,"615,00",,,"615,00","0,00",,,
LHND,27.01.2015,"615,00",,,"615,00","0,00",,,
LHND,28.01.2015,"615,00",,,"615,00","0,00",,,
LHND,29.01.2015,"615,00",,,"615,00","0,00",,,
LHND,30.01.2015,"615,00",,,"615,00","0,00",,,
LHND,02.02.2015,"615,00",,,"615,00","0,00",,,
LHND,03.02.2015,"615,00",,,"615,00","0,00",,,
LHND,04.02.2015,"615,00",,,"615,00","0,00",,,
LHND,05.02.2015,"615,00",,,"615,00","0,00",,,
LHND,06.02.2015,"615,00",,,"615,00","0,00",,,
LHND,09.02.2015,"615,00",,,"615,00","0,00",,,
LHND,10.02.2015,"615,00",,,"615,00","0,00",,,
LHND,11.02.2015,"615,00",,,"615,00","0,00",,,
LHND,12.02.2015,"615,00",,,"615,00","0,00",,,
LHND,13.02.2015,"615,00",,,"615,00","0,00",,,
LHND,16.02.2015,"615,00",,,"615,00","0,00",,,
LHND,17.02.2015,"615,00",,,"615,00","0,00",,,
LHND,18.02.2015,"615,00",,,"615,00","0,00",,,
LHND,19.02.2015,"615,00",,,"615,00","0,00",,,
LHND,20.02.2015,"615,00",,,"615,00","0,00",,,
LHND,23.02.2015,"615,00",,,"615,00","0,00",,,
LHND,24.02.2015,"615,00",,,"615,00","0,00",,,
LHND,25.02.2015,"615,00",,,"615,00","0,00",,,
LHND,26.02.2015,"615,00",,,"615,00","0,00",,,
LHND,27.02.2015,"615,00",,,"615,00","0,00",,,
LHND,02.03.2015,"615,00",,,"615,00","0,00",,,
LHND,03.03.2015,"615,00",,,"615,00","0,00",,,
LHND,04.03.2015,"615,00",,,"615,00","0,00",,,
LHND,05.03.2015,"615,00",,,"615,00","0,00",,,
