Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
LOTO,14.11.2016,"127,00",,,"127,00","0,00",,,
LOTO,15.11.2016,"127,00",,,"127,00","0,00",,,
LOTO,16.11.2016,"127,00",,,"127,00","0,00",,,
LOTO,17.11.2016,"127,00",,,"127,00","0,00",,,
LOTO,18.11.2016,"127,00",,,"127,00","0,00",,,
LOTO,21.11.2016,"127,00",,,"127,00","0,00",,,
LOTO,22.11.2016,"127,00",,,"127,00","0,00",,,
LOTO,23.11.2016,"127,00",,,"127,00","0,00",,,
LOTO,24.11.2016,"127,00",,,"127,00","0,00",,,
LOTO,25.11.2016,"127,00",,,"127,00","0,00",,,
LOTO,28.11.2016,"127,00",,,"127,00","0,00",,,
LOTO,29.11.2016,"127,00",,,"127,00","0,00",,,
LOTO,01.12.2016,"127,00",,,"127,00","0,00",,,
LOTO,02.12.2016,"127,00",,,"127,00","0,00",,,
LOTO,05.12.2016,"127,00",,,"127,00","0,00",,,
LOTO,06.12.2016,"127,00",,,"127,00","0,00",,,
LOTO,07.12.2016,"127,00",,,"127,00","0,00",,,
LOTO,09.12.2016,"127,00",,,"127,00","0,00",,,
LOTO,12.12.2016,"127,00",,,"127,00","0,00",,,
LOTO,13.12.2016,"127,00",,,"127,00","0,00",,,
LOTO,14.12.2016,"127,00",,,"127,00","0,00",,,
LOTO,15.12.2016,"127,00",,,"127,00","0,00",,,
LOTO,16.12.2016,"127,00",,,"127,00","0,00",,,
LOTO,19.12.2016,"127,00",,,"127,00","0,00",,,
LOTO,20.12.2016,"127,00",,,"127,00","0,00",,,
LOTO,21.12.2016,"127,00",,,"127,00","0,00",,,
LOTO,22.12.2016,"127,00",,,"127,00","0,00",,,
LOTO,23.12.2016,"127,00",,,"127,00","0,00",,,
LOTO,26.12.2016,"127,00",,,"127,00","0,00",,,
LOTO,27.12.2016,"127,00",,,"127,00","0,00",,,
LOTO,28.12.2016,"127,00",,,"127,00","0,00",,,
LOTO,29.12.2016,"127,00",,,"127,00","0,00",,,
LOTO,03.01.2017,"127,00",,,"127,00","0,00",,,
LOTO,04.01.2017,"127,00",,,"127,00","0,00",,,
LOTO,05.01.2017,"127,00",,,"127,00","0,00",,,
LOTO,09.01.2017,"127,00",,,"127,00","0,00",,,
LOTO,10.01.2017,"127,00",,,"127,00","0,00",,,
LOTO,11.01.2017,"127,00",,,"127,00","0,00",,,
LOTO,12.01.2017,"127,00",,,"127,00","0,00",,,
LOTO,13.01.2017,"127,00",,,"127,00","0,00",,,
LOTO,16.01.2017,"127,00",,,"127,00","0,00",,,
LOTO,17.01.2017,"127,00",,,"127,00","0,00",,,
LOTO,18.01.2017,"127,00",,,"127,00","0,00",,,
LOTO,20.01.2017,"127,00",,,"127,00","0,00",,,
LOTO,23.01.2017,"127,00",,,"127,00","0,00",,,
LOTO,24.01.2017,"127,00",,,"127,00","0,00",,,
LOTO,25.01.2017,"127,00",,,"127,00","0,00",,,
LOTO,26.01.2017,"127,00",,,"127,00","0,00",,,
LOTO,27.01.2017,"127,00",,,"127,00","0,00",,,
LOTO,30.01.2017,"127,00",,,"127,00","0,00",,,
LOTO,31.01.2017,"127,00",,,"127,00","0,00",,,
LOTO,01.02.2017,"127,00",,,"127,00","0,00",,,
LOTO,02.02.2017,"127,00",,,"127,00","0,00",,,
LOTO,03.02.2017,"127,00",,,"127,00","0,00",,,
LOTO,06.02.2017,"127,00",,,"127,00","0,00",,,
LOTO,07.02.2017,"127,00",,,"127,00","0,00",,,
LOTO,08.02.2017,"127,00",,,"127,00","0,00",,,
LOTO,09.02.2017,"127,00",,,"127,00","0,00",,,
LOTO,10.02.2017,"127,00",,,"127,00","0,00",,,
LOTO,13.02.2017,"127,00",,,"127,00","0,00",,,
LOTO,14.02.2017,"127,00",,,"127,00","0,00",,,
LOTO,15.02.2017,"127,00",,,"127,00","0,00",,,
LOTO,16.02.2017,"127,00",,,"127,00","0,00",,,
LOTO,17.02.2017,"127,00",,,"127,00","0,00",,,
LOTO,20.02.2017,"127,00",,,"127,00","0,00",,,
LOTO,21.02.2017,"127,00",,,"127,00","0,00",,,
LOTO,22.02.2017,"127,00",,,"127,00","0,00",,,
LOTO,23.02.2017,"127,00",,,"127,00","0,00",,,
LOTO,24.02.2017,"127,00",,,"127,00","0,00",,,
LOTO,27.02.2017,"127,00",,,"127,00","0,00",,,
LOTO,28.02.2017,"127,00",,,"127,00","0,00",,,
LOTO,01.03.2017,"127,00",,,"127,00","0,00",,,
LOTO,02.03.2017,"127,00",,,"127,00","0,00",,,
LOTO,03.03.2017,"127,00",,,"127,00","0,00",,,
LOTO,06.03.2017,"127,00",,,"127,00","0,00",,,
LOTO,07.03.2017,"127,00",,,"127,00","0,00",,,
LOTO,08.03.2017,"127,00",,,"127,00","0,00",,,
LOTO,09.03.2017,"127,00",,,"127,00","0,00",,,
LOTO,10.03.2017,"127,00",,,"127,00","0,00",,,
LOTO,13.03.2017,"127,00",,,"127,00","0,00",,,
LOTO,14.03.2017,"127,00",,,"127,00","0,00",,,
LOTO,15.03.2017,"127,00",,,"127,00","0,00",,,
LOTO,16.03.2017,"127,00",,,"127,00","0,00",,,
LOTO,17.03.2017,"127,00",,,"127,00","0,00",,,
LOTO,20.03.2017,"127,00",,,"127,00","0,00",,,
LOTO,21.03.2017,"131,00","131,00","131,00","131,00","3,15",46.0,6.026,6.026
LOTO,22.03.2017,"131,00",,,"131,00","0,00",,,
LOTO,23.03.2017,"131,00",,,"131,00","0,00",,,
LOTO,24.03.2017,"131,00",,,"131,00","0,00",,,
LOTO,27.03.2017,"131,00",,,"131,00","0,00",,,
LOTO,28.03.2017,"131,00",,,"131,00","0,00",,,
LOTO,29.03.2017,"131,00",,,"131,00","0,00",,,
