Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
MAGP,23.08.2018,,,,,,,,
MAGP,24.08.2018,,,,,,,,
MAGP,27.08.2018,,,,,,,,
MAGP,29.08.2018,,,,,,,,
MAGP,30.08.2018,,,,,,,,
MAGP,31.08.2018,,,,,,,,
MAGP,03.09.2018,,,,,,,,
MAGP,04.09.2018,,,,,,,,
MAGP,05.09.2018,,,,,,,,
MAGP,06.09.2018,,,,,,,,
MAGP,07.09.2018,,,,,,,,
MAGP,10.09.2018,,,,,,,,
MAGP,11.09.2018,,,,,,,,
MAGP,12.09.2018,,,,,,,,
MAGP,13.09.2018,,,,,,,,
MAGP,14.09.2018,,,,,,,,
MAGP,17.09.2018,,,,,,,,
MAGP,18.09.2018,,,,,,,,
MAGP,19.09.2018,,,,,,,,
MAGP,20.09.2018,"6.150,00","6.150,00","6.150,00","6.150,00",,62.0,381.3,381.3
MAGP,21.09.2018,"6.150,00",,,"6.150,00","0,00",,,
MAGP,24.09.2018,"6.150,00",,,"6.150,00","0,00",,,
MAGP,25.09.2018,"6.150,00",,,"6.150,00","0,00",,,
MAGP,26.09.2018,"6.150,00",,,"6.150,00","0,00",,,
MAGP,27.09.2018,"6.150,00",,,"6.150,00","0,00",,,
MAGP,28.09.2018,"6.150,00",,,"6.150,00","0,00",,,
MAGP,01.10.2018,"6.150,00",,,"6.150,00","0,00",,,
MAGP,02.10.2018,"6.150,00",,,"6.150,00","0,00",,,
MAGP,03.10.2018,"6.150,00",,,"6.150,00","0,00",,,
MAGP,04.10.2018,"6.150,00",,,"6.150,00","0,00",,,
MAGP,05.10.2018,"6.150,00",,,"6.150,00","0,00",,,
MAGP,08.10.2018,"6.150,00",,,"6.150,00","0,00",,,
MAGP,09.10.2018,"6.150,00",,,"6.150,00","0,00",,,
MAGP,10.10.2018,"6.150,00",,,"6.150,00","0,00",,,
MAGP,12.10.2018,"6.150,00",,,"6.150,00","0,00",,,
MAGP,15.10.2018,"6.150,00",,,"6.150,00","0,00",,,
MAGP,16.10.2018,"6.150,00",,,"6.150,00","0,00",,,
