Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
MAKP,13.11.2014,"570,00",,,"570,00","0,00",,,
MAKP,14.11.2014,"570,00",,,"570,00","0,00",,,
MAKP,17.11.2014,"570,00",,,"570,00","0,00",,,
MAKP,18.11.2014,"570,00","570,00","570,00","570,00","0,00",20.0,11.4,11.4
MAKP,19.11.2014,"570,00",,,"570,00","0,00",,,
MAKP,20.11.2014,"570,00",,,"570,00","0,00",,,
MAKP,21.11.2014,"570,00",,,"570,00","0,00",,,
MAKP,24.11.2014,"570,00",,,"570,00","0,00",,,
MAKP,25.11.2014,"570,00",,,"570,00","0,00",,,
MAKP,26.11.2014,"570,00",,,"570,00","0,00",,,
MAKP,27.11.2014,"570,00",,,"570,00","0,00",,,
MAKP,28.11.2014,"570,00",,,"570,00","0,00",,,
MAKP,01.12.2014,"570,00",,,"570,00","0,00",,,
MAKP,02.12.2014,"570,00",,,"570,00","0,00",,,
MAKP,04.12.2014,"570,00",,,"570,00","0,00",,,
MAKP,05.12.2014,"570,00",,,"570,00","0,00",,,
MAKP,09.12.2014,"570,00",,,"570,00","0,00",,,
MAKP,10.12.2014,"570,00",,,"570,00","0,00",,,
MAKP,11.12.2014,"570,00",,,"570,00","0,00",,,
MAKP,12.12.2014,"570,00","570,00","570,00","570,00","0,00",57.0,32.49,32.49
MAKP,15.12.2014,"570,00",,,"570,00","0,00",,,
MAKP,16.12.2014,"570,00",,,"570,00","0,00",,,
MAKP,17.12.2014,"570,00",,,"570,00","0,00",,,
MAKP,18.12.2014,"570,00",,,"570,00","0,00",,,
MAKP,19.12.2014,"570,00",,,"570,00","0,00",,,
MAKP,22.12.2014,"570,00",,,"570,00","0,00",,,
MAKP,23.12.2014,"570,00",,,"570,00","0,00",,,
MAKP,24.12.2014,"570,00",,,"570,00","0,00",,,
MAKP,25.12.2014,"570,00",,,"570,00","0,00",,,
MAKP,26.12.2014,"570,00",,,"570,00","0,00",,,
MAKP,29.12.2014,"570,00",,,"570,00","0,00",,,
MAKP,30.12.2014,"570,00",,,"570,00","0,00",,,
MAKP,02.01.2015,"570,00",,,"570,00","0,00",,,
MAKP,05.01.2015,"570,00",,,"570,00","0,00",,,
MAKP,08.01.2015,"570,00",,,"570,00","0,00",,,
MAKP,09.01.2015,"570,00",,,"570,00","0,00",,,
MAKP,12.01.2015,"570,00",,,"570,00","0,00",,,
MAKP,13.01.2015,"570,00",,,"570,00","0,00",,,
MAKP,14.01.2015,"570,00",,,"570,00","0,00",,,
MAKP,15.01.2015,"570,00",,,"570,00","0,00",,,
MAKP,16.01.2015,"570,00",,,"570,00","0,00",,,
MAKP,20.01.2015,"570,00",,,"570,00","0,00",,,
MAKP,21.01.2015,"570,00",,,"570,00","0,00",,,
MAKP,22.01.2015,"570,00",,,"570,00","0,00",,,
MAKP,23.01.2015,"570,00",,,"570,00","0,00",,,
MAKP,26.01.2015,"570,00",,,"570,00","0,00",,,
MAKP,27.01.2015,"570,00",,,"570,00","0,00",,,
MAKP,28.01.2015,"570,00",,,"570,00","0,00",,,
MAKP,29.01.2015,"570,00",,,"570,00","0,00",,,
MAKP,30.01.2015,"570,00",,,"570,00","0,00",,,
MAKP,02.02.2015,"570,00",,,"570,00","0,00",,,
MAKP,03.02.2015,"570,00",,,"570,00","0,00",,,
MAKP,04.02.2015,"570,00",,,"570,00","0,00",,,
MAKP,05.02.2015,"570,00",,,"570,00","0,00",,,
MAKP,06.02.2015,"570,00","570,00","570,00","570,00","0,00",35.0,19.95,19.95
