Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
MAKS,13.11.2014,"50,00",,,"50,00","0,00",,,
MAKS,14.11.2014,"50,00",,,"50,00","0,00",,,
MAKS,17.11.2014,"50,00",,,"50,00","0,00",,,
MAKS,18.11.2014,"50,00",,,"50,00","0,00",,,
MAKS,19.11.2014,"50,00",,,"50,00","0,00",,,
MAKS,20.11.2014,"50,00",,,"50,00","0,00",,,
MAKS,21.11.2014,"50,00",,,"50,00","0,00",,,
MAKS,24.11.2014,"50,00",,,"50,00","0,00",,,
MAKS,25.11.2014,"50,00",,,"50,00","0,00",,,
MAKS,26.11.2014,"50,00",,,"50,00","0,00",,,
MAKS,27.11.2014,"50,00",,,"50,00","0,00",,,
MAKS,28.11.2014,"50,00",,,"50,00","0,00",,,
MAKS,01.12.2014,"50,00",,,"50,00","0,00",,,
MAKS,02.12.2014,"50,00",,,"50,00","0,00",,,
MAKS,04.12.2014,"50,00",,,"50,00","0,00",,,
MAKS,05.12.2014,"50,00",,,"50,00","0,00",,,
MAKS,09.12.2014,"50,00",,,"50,00","0,00",,,
MAKS,10.12.2014,"50,00",,,"50,00","0,00",,,
MAKS,11.12.2014,"50,00",,,"50,00","0,00",,,
MAKS,12.12.2014,"50,00",,,"50,00","0,00",,,
MAKS,15.12.2014,"50,00",,,"50,00","0,00",,,
MAKS,16.12.2014,"50,00",,,"50,00","0,00",,,
MAKS,17.12.2014,"50,00",,,"50,00","0,00",,,
MAKS,18.12.2014,"50,00",,,"50,00","0,00",,,
MAKS,19.12.2014,"50,00",,,"50,00","0,00",,,
MAKS,22.12.2014,"50,00",,,"50,00","0,00",,,
MAKS,23.12.2014,"50,00",,,"50,00","0,00",,,
MAKS,24.12.2014,"50,00",,,"50,00","0,00",,,
MAKS,25.12.2014,"50,00",,,"50,00","0,00",,,
MAKS,26.12.2014,"50,00",,,"50,00","0,00",,,
MAKS,29.12.2014,"50,00",,,"50,00","0,00",,,
MAKS,30.12.2014,"50,00",,,"50,00","0,00",,,
MAKS,02.01.2015,"50,00",,,"50,00","0,00",,,
MAKS,05.01.2015,"50,00",,,"50,00","0,00",,,
MAKS,08.01.2015,"50,00",,,"50,00","0,00",,,
MAKS,09.01.2015,"50,00",,,"50,00","0,00",,,
