Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
MB,13.11.2014,"37.336,00",,,"37.336,00","0,00",,,
MB,14.11.2014,"37.336,00",,,"37.336,00","0,00",,,
MB,17.11.2014,"37.336,00",,,"37.336,00","0,00",,,
MB,18.11.2014,"37.336,00",,,"37.336,00","0,00",,,
MB,19.11.2014,"37.336,00",,,"37.336,00","0,00",,,
MB,20.11.2014,"37.336,00",,,"37.336,00","0,00",,,
MB,21.11.2014,"37.336,00",,,"37.336,00","0,00",,,
MB,24.11.2014,"37.336,00",,,"37.336,00","0,00",,,
MB,25.11.2014,"37.336,00",,,"37.336,00","0,00",,,
MB,26.11.2014,"37.336,00",,,"37.336,00","0,00",,,
MB,27.11.2014,"37.336,00",,,"37.336,00","0,00",,,
MB,28.11.2014,"37.336,00",,,"37.336,00","0,00",,,
MB,01.12.2014,"37.336,00",,,"37.336,00","0,00",,,
MB,02.12.2014,"37.336,00",,,"37.336,00","0,00",,,
MB,04.12.2014,"37.336,00",,,"37.336,00","0,00",,,
MB,05.12.2014,"37.336,00",,,"37.336,00","0,00",,,
MB,09.12.2014,"37.336,00",,,"37.336,00","0,00",,,
MB,10.12.2014,"37.336,00",,,"37.336,00","0,00",,,
MB,11.12.2014,"37.336,00",,,"37.336,00","0,00",,,
MB,12.12.2014,"37.336,00",,,"37.336,00","0,00",,,
MB,15.12.2014,"37.336,00",,,"37.336,00","0,00",,,
MB,16.12.2014,"37.336,00",,,"37.336,00","0,00",,,
MB,17.12.2014,"37.336,00",,,"37.336,00","0,00",,,
MB,18.12.2014,"37.336,00",,,"37.336,00","0,00",,,
MB,19.12.2014,"37.336,00",,,"37.336,00","0,00",,,
MB,22.12.2014,"37.336,00",,,"37.336,00","0,00",,,
MB,23.12.2014,"37.336,00",,,"37.336,00","0,00",,,
MB,24.12.2014,"37.336,00",,,"37.336,00","0,00",,,
MB,25.12.2014,"37.336,00",,,"37.336,00","0,00",,,
MB,26.12.2014,"37.336,00",,,"37.336,00","0,00",,,
MB,29.12.2014,"37.336,00",,,"37.336,00","0,00",,,
MB,30.12.2014,"37.336,00",,,"37.336,00","0,00",,,
MB,02.01.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,05.01.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,08.01.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,09.01.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,12.01.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,13.01.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,14.01.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,15.01.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,16.01.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,20.01.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,21.01.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,22.01.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,23.01.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,26.01.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,27.01.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,28.01.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,29.01.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,30.01.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,02.02.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,03.02.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,04.02.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,05.02.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,06.02.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,09.02.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,10.02.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,11.02.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,12.02.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,13.02.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,16.02.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,17.02.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,18.02.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,19.02.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,20.02.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,23.02.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,24.02.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,25.02.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,26.02.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,27.02.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,02.03.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,03.03.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,04.03.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,05.03.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,06.03.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,09.03.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,10.03.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,11.03.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,12.03.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,13.03.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,16.03.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,17.03.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,18.03.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,19.03.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,20.03.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,23.03.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,24.03.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,25.03.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,26.03.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,27.03.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,30.03.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,31.03.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,01.04.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,02.04.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,03.04.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,06.04.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,07.04.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,08.04.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,09.04.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,14.04.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,15.04.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,16.04.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,17.04.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,20.04.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,21.04.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,22.04.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,23.04.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,24.04.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,27.04.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,28.04.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,29.04.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,30.04.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,04.05.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,05.05.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,06.05.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,07.05.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,08.05.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,11.05.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,12.05.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,13.05.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,14.05.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,15.05.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,18.05.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,19.05.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,20.05.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,21.05.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,22.05.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,26.05.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,27.05.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,28.05.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,01.06.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,02.06.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,03.06.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,04.06.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,05.06.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,08.06.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,09.06.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,10.06.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,11.06.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,12.06.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,15.06.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,16.06.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,17.06.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,18.06.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,19.06.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,22.06.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,23.06.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,24.06.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,25.06.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,26.06.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,29.06.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,30.06.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,01.07.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,02.07.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,03.07.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,06.07.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,07.07.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,08.07.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,09.07.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,10.07.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,13.07.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,14.07.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,15.07.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,16.07.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,20.07.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,21.07.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,22.07.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,23.07.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,24.07.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,27.07.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,28.07.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,29.07.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,30.07.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,31.07.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,04.08.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,05.08.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,06.08.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,07.08.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,10.08.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,11.08.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,12.08.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,13.08.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,14.08.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,17.08.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,18.08.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,19.08.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,20.08.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,21.08.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,24.08.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,25.08.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,26.08.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,27.08.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,31.08.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,01.09.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,02.09.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,03.09.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,04.09.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,07.09.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,09.09.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,10.09.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,11.09.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,14.09.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,15.09.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,16.09.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,17.09.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,18.09.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,21.09.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,22.09.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,23.09.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,24.09.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,25.09.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,28.09.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,29.09.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,30.09.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,01.10.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,02.10.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,05.10.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,06.10.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,07.10.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,08.10.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,09.10.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,13.10.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,14.10.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,15.10.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,16.10.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,19.10.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,20.10.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,21.10.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,22.10.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,26.10.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,27.10.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,28.10.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,29.10.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,30.10.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,02.11.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,03.11.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,04.11.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,05.11.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,06.11.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,09.11.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,10.11.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,11.11.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,12.11.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,13.11.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,16.11.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,17.11.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,18.11.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,19.11.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,20.11.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,23.11.2015,"37.336,00",,,"37.336,00","0,00",,,
MB,24.11.2015,"37.336,00",,,"37.336,00","0,00",,,
