Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
MERM,13.11.2014,"565,00",,,"565,00","0,00",,,
MERM,14.11.2014,"565,00",,,"565,00","0,00",,,
MERM,17.11.2014,"565,00",,,"565,00","0,00",,,
MERM,18.11.2014,"565,00",,,"565,00","0,00",,,
MERM,19.11.2014,"565,00",,,"565,00","0,00",,,
MERM,20.11.2014,"565,00",,,"565,00","0,00",,,
MERM,21.11.2014,"565,00",,,"565,00","0,00",,,
MERM,24.11.2014,"600,00","600,00","600,00","600,00","6,19",75.0,45.0,45.0
MERM,25.11.2014,"600,00",,,"600,00","0,00",,,
MERM,26.11.2014,"600,00",,,"600,00","0,00",,,
MERM,27.11.2014,"600,00",,,"600,00","0,00",,,
MERM,28.11.2014,"600,00",,,"600,00","0,00",,,
MERM,01.12.2014,"600,00",,,"600,00","0,00",,,
MERM,02.12.2014,"600,00",,,"600,00","0,00",,,
MERM,04.12.2014,"600,00",,,"600,00","0,00",,,
MERM,05.12.2014,"600,00",,,"600,00","0,00",,,
MERM,09.12.2014,"600,00",,,"600,00","0,00",,,
MERM,10.12.2014,"600,00",,,"600,00","0,00",,,
MERM,11.12.2014,"600,00",,,"600,00","0,00",,,
MERM,12.12.2014,"600,00",,,"600,00","0,00",,,
MERM,15.12.2014,"600,00",,,"600,00","0,00",,,
MERM,16.12.2014,"600,00",,,"600,00","0,00",,,
MERM,17.12.2014,"600,00",,,"600,00","0,00",,,
MERM,18.12.2014,"600,00",,,"600,00","0,00",,,
MERM,19.12.2014,"600,00",,,"600,00","0,00",,,
MERM,22.12.2014,"600,00",,,"600,00","0,00",,,
MERM,23.12.2014,"600,00",,,"600,00","0,00",,,
MERM,24.12.2014,"600,00",,,"600,00","0,00",,,
MERM,25.12.2014,"600,00",,,"600,00","0,00",,,
MERM,26.12.2014,"600,00",,,"600,00","0,00",,,
MERM,29.12.2014,"600,00",,,"600,00","0,00",,,
MERM,30.12.2014,"600,00",,,"600,00","0,00",,,
MERM,02.01.2015,"600,00",,,"600,00","0,00",,,
MERM,05.01.2015,"600,00",,,"600,00","0,00",,,
MERM,08.01.2015,"600,00",,,"600,00","0,00",,,
MERM,09.01.2015,"600,00",,,"600,00","0,00",,,
MERM,12.01.2015,"600,00",,,"600,00","0,00",,,
MERM,13.01.2015,"600,00",,,"600,00","0,00",,,
MERM,14.01.2015,"600,00",,,"600,00","0,00",,,
MERM,15.01.2015,"600,00",,,"600,00","0,00",,,
MERM,16.01.2015,"600,00",,,"600,00","0,00",,,
MERM,20.01.2015,"600,00",,,"600,00","0,00",,,
MERM,21.01.2015,"600,00",,,"600,00","0,00",,,
MERM,22.01.2015,"600,00",,,"600,00","0,00",,,
MERM,23.01.2015,"600,00",,,"600,00","0,00",,,
MERM,26.01.2015,"600,00",,,"600,00","0,00",,,
MERM,27.01.2015,"600,00",,,"600,00","0,00",,,
MERM,28.01.2015,"600,00",,,"600,00","0,00",,,
MERM,29.01.2015,"600,00",,,"600,00","0,00",,,
MERM,30.01.2015,"600,00",,,"600,00","0,00",,,
MERM,02.02.2015,"600,00",,,"600,00","0,00",,,
MERM,03.02.2015,"600,00",,,"600,00","0,00",,,
MERM,04.02.2015,"600,00",,,"600,00","0,00",,,
MERM,05.02.2015,"600,00",,,"600,00","0,00",,,
MERM,06.02.2015,"600,00",,,"600,00","0,00",,,
MERM,09.02.2015,"600,00",,,"600,00","0,00",,,
MERM,10.02.2015,"600,00",,,"600,00","0,00",,,
MERM,11.02.2015,"600,00",,,"600,00","0,00",,,
MERM,12.02.2015,"600,00",,,"600,00","0,00",,,
MERM,13.02.2015,"600,00",,,"600,00","0,00",,,
MERM,16.02.2015,"600,00",,,"600,00","0,00",,,
MERM,17.02.2015,"600,00",,,"600,00","0,00",,,
MERM,18.02.2015,"600,00",,,"600,00","0,00",,,
MERM,19.02.2015,"600,00",,,"600,00","0,00",,,
MERM,20.02.2015,"600,00",,,"600,00","0,00",,,
MERM,23.02.2015,"600,00",,,"600,00","0,00",,,
MERM,24.02.2015,"600,00",,,"600,00","0,00",,,
MERM,25.02.2015,"600,00",,,"600,00","0,00",,,
MERM,26.02.2015,"600,00",,,"600,00","0,00",,,
MERM,27.02.2015,"600,00",,,"600,00","0,00",,,
MERM,02.03.2015,"600,00",,,"600,00","0,00",,,
MERM,03.03.2015,"600,00",,,"600,00","0,00",,,
MERM,04.03.2015,"600,00",,,"600,00","0,00",,,
MERM,05.03.2015,"600,00",,,"600,00","0,00",,,
MERM,06.03.2015,"600,00",,,"600,00","0,00",,,
MERM,09.03.2015,"600,00",,,"600,00","0,00",,,
MERM,10.03.2015,"600,00",,,"600,00","0,00",,,
MERM,11.03.2015,"600,00",,,"600,00","0,00",,,
MERM,12.03.2015,"600,00",,,"600,00","0,00",,,
MERM,13.03.2015,"600,00",,,"600,00","0,00",,,
MERM,16.03.2015,"600,00",,,"600,00","0,00",,,
MERM,17.03.2015,"600,00",,,"600,00","0,00",,,
MERM,18.03.2015,"600,00",,,"600,00","0,00",,,
MERM,19.03.2015,"600,00",,,"600,00","0,00",,,
MERM,20.03.2015,"600,00",,,"600,00","0,00",,,
MERM,23.03.2015,"600,00",,,"600,00","0,00",,,
MERM,24.03.2015,"600,00",,,"600,00","0,00",,,
MERM,25.03.2015,"600,00",,,"600,00","0,00",,,
MERM,26.03.2015,"600,00",,,"600,00","0,00",,,
MERM,27.03.2015,"600,00",,,"600,00","0,00",,,
MERM,30.03.2015,"600,00",,,"600,00","0,00",,,
MERM,31.03.2015,"600,00",,,"600,00","0,00",,,
MERM,01.04.2015,"600,00",,,"600,00","0,00",,,
MERM,02.04.2015,"600,00",,,"600,00","0,00",,,
MERM,03.04.2015,"600,00",,,"600,00","0,00",,,
MERM,06.04.2015,"600,00",,,"600,00","0,00",,,
MERM,07.04.2015,"600,00",,,"600,00","0,00",,,
MERM,08.04.2015,"600,00",,,"600,00","0,00",,,
MERM,09.04.2015,"600,00",,,"600,00","0,00",,,
MERM,14.04.2015,"600,00",,,"600,00","0,00",,,
MERM,15.04.2015,"600,00",,,"600,00","0,00",,,
MERM,16.04.2015,"600,00",,,"600,00","0,00",,,
MERM,17.04.2015,"600,00",,,"600,00","0,00",,,
MERM,20.04.2015,"600,00",,,"600,00","0,00",,,
MERM,21.04.2015,"600,00","600,00","600,00","600,00","0,00",120.0,72.0,72.0
MERM,22.04.2015,"600,00",,,"600,00","0,00",,,
MERM,23.04.2015,"600,00",,,"600,00","0,00",,,
MERM,24.04.2015,"600,00",,,"600,00","0,00",,,
