Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
MKSD,13.11.2014,"84,00",,,"84,00","0,00",,,
MKSD,14.11.2014,"84,00",,,"84,00","0,00",,,
MKSD,17.11.2014,"84,00",,,"84,00","0,00",,,
MKSD,18.11.2014,"84,00",,,"84,00","0,00",,,
MKSD,19.11.2014,"84,00",,,"84,00","0,00",,,
MKSD,20.11.2014,"84,00",,,"84,00","0,00",,,
MKSD,21.11.2014,"84,00",,,"84,00","0,00",,,
MKSD,24.11.2014,"84,00",,,"84,00","0,00",,,
MKSD,25.11.2014,"84,00",,,"84,00","0,00",,,
MKSD,26.11.2014,"84,00",,,"84,00","0,00",,,
MKSD,27.11.2014,"84,00",,,"84,00","0,00",,,
MKSD,28.11.2014,"84,00",,,"84,00","0,00",,,
MKSD,01.12.2014,"84,00",,,"84,00","0,00",,,
MKSD,02.12.2014,"84,00",,,"84,00","0,00",,,
MKSD,04.12.2014,"84,00",,,"84,00","0,00",,,
MKSD,05.12.2014,"84,00",,,"84,00","0,00",,,
MKSD,09.12.2014,"84,00",,,"84,00","0,00",,,
MKSD,10.12.2014,"84,00",,,"84,00","0,00",,,
MKSD,11.12.2014,"86,00","86,00","86,00","86,00","2,38",200.0,17.2,17.2
MKSD,12.12.2014,"86,00",,,"86,00","0,00",,,
MKSD,15.12.2014,"86,00",,,"86,00","0,00",,,
MKSD,16.12.2014,"86,00",,,"86,00","0,00",,,
MKSD,17.12.2014,"86,00",,,"86,00","0,00",,,
MKSD,18.12.2014,"86,00",,,"86,00","0,00",,,
MKSD,19.12.2014,"86,00",,,"86,00","0,00",,,
MKSD,22.12.2014,"86,00",,,"86,00","0,00",,,
MKSD,23.12.2014,"86,00","86,00","86,00","86,00","0,00",62.0,5.332,5.332
MKSD,24.12.2014,"86,00",,,"86,00","0,00",,,
MKSD,25.12.2014,"86,00",,,"86,00","0,00",,,
MKSD,26.12.2014,"86,00",,,"86,00","0,00",,,
MKSD,29.12.2014,"86,00",,,"86,00","0,00",,,
MKSD,30.12.2014,"99,00","99,00","99,00","99,00","15,12",400.0,39.6,39.6
MKSD,02.01.2015,"99,00",,,"99,00","0,00",,,
MKSD,05.01.2015,"99,00",,,"99,00","0,00",,,
MKSD,08.01.2015,"99,00",,,"99,00","0,00",,,
MKSD,09.01.2015,"99,00",,,"99,00","0,00",,,
MKSD,12.01.2015,"99,00",,,"99,00","0,00",,,
MKSD,13.01.2015,"99,00",,,"99,00","0,00",,,
MKSD,14.01.2015,"99,00",,,"99,00","0,00",,,
MKSD,15.01.2015,"99,00",,,"99,00","0,00",,,
MKSD,16.01.2015,"99,00",,,"99,00","0,00",,,
MKSD,20.01.2015,"99,00",,,"99,00","0,00",,,
MKSD,21.01.2015,"99,00",,,"99,00","0,00",,,
MKSD,22.01.2015,"99,00",,,"99,00","0,00",,,
MKSD,23.01.2015,"99,00",,,"99,00","0,00",,,
MKSD,26.01.2015,"99,00",,,"99,00","0,00",,,
MKSD,27.01.2015,"87,00","87,00","87,00","87,00","-12,12",15.0,1.305,1.305
MKSD,28.01.2015,"87,00",,,"87,00","0,00",,,
MKSD,29.01.2015,"87,00",,,"87,00","0,00",,,
MKSD,30.01.2015,"87,00","87,00","87,00","87,00","0,00",2.48,215.76,215.76
MKSD,02.02.2015,"87,00",,,"87,00","0,00",,,
MKSD,03.02.2015,"87,00",,,"87,00","0,00",,,
MKSD,04.02.2015,"87,00",,,"87,00","0,00",,,
MKSD,05.02.2015,"87,00",,,"87,00","0,00",,,
MKSD,06.02.2015,"80,00","80,00","80,00","80,00","-8,05",20.0,1.6,1.6
MKSD,09.02.2015,"80,00",,,"80,00","0,00",,,
MKSD,10.02.2015,"80,00",,,"80,00","0,00",,,
MKSD,11.02.2015,"80,00",,,"80,00","0,00",,,
MKSD,12.02.2015,"80,00",,,"80,00","0,00",,,
MKSD,13.02.2015,"80,00",,,"80,00","0,00",,,
MKSD,16.02.2015,"80,00",,,"80,00","0,00",,,
MKSD,17.02.2015,"80,00",,,"80,00","0,00",,,
MKSD,18.02.2015,"80,00",,,"80,00","0,00",,,
MKSD,19.02.2015,"80,00",,,"80,00","0,00",,,
MKSD,20.02.2015,"80,00",,,"80,00","0,00",,,
MKSD,23.02.2015,"80,00",,,"80,00","0,00",,,
MKSD,24.02.2015,"80,00",,,"80,00","0,00",,,
MKSD,25.02.2015,"80,00",,,"80,00","0,00",,,
MKSD,26.02.2015,"80,00",,,"80,00","0,00",,,
MKSD,27.02.2015,"80,00",,,"80,00","0,00",,,
MKSD,02.03.2015,"80,00",,,"80,00","0,00",,,
MKSD,03.03.2015,"80,00",,,"80,00","0,00",,,
MKSD,04.03.2015,"80,00",,,"80,00","0,00",,,
MKSD,05.03.2015,"80,00",,,"80,00","0,00",,,
MKSD,06.03.2015,"80,00",,,"80,00","0,00",,,
MKSD,09.03.2015,"80,00",,,"80,00","0,00",,,
MKSD,10.03.2015,"80,00",,,"80,00","0,00",,,
MKSD,11.03.2015,"80,00",,,"80,00","0,00",,,
MKSD,12.03.2015,"80,00",,,"80,00","0,00",,,
MKSD,13.03.2015,"80,00",,,"80,00","0,00",,,
MKSD,16.03.2015,"80,00",,,"80,00","0,00",,,
MKSD,17.03.2015,"80,00",,,"80,00","0,00",,,
MKSD,18.03.2015,"82,00","82,00","82,00","82,00","2,50",200.0,16.4,16.4
MKSD,19.03.2015,"82,00",,,"82,00","0,00",,,
MKSD,20.03.2015,"82,00",,,"82,00","0,00",,,
MKSD,23.03.2015,"82,00",,,"82,00","0,00",,,
MKSD,24.03.2015,"82,00",,,"82,00","0,00",,,
MKSD,25.03.2015,"82,00",,,"82,00","0,00",,,
MKSD,26.03.2015,"82,00",,,"82,00","0,00",,,
MKSD,27.03.2015,"82,00",,,"82,00","0,00",,,
MKSD,30.03.2015,"82,00",,,"82,00","0,00",,,
MKSD,31.03.2015,"82,00",,,"82,00","0,00",,,
MKSD,01.04.2015,"82,00",,,"82,00","0,00",,,
MKSD,02.04.2015,"82,00",,,"82,00","0,00",,,
MKSD,03.04.2015,"82,00",,,"82,00","0,00",,,
MKSD,06.04.2015,"82,00",,,"82,00","0,00",,,
