Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
MLKR,13.11.2014,"22.000,00",,,"22.000,00","0,00",,,
MLKR,14.11.2014,"22.000,00",,,"22.000,00","0,00",,,
MLKR,17.11.2014,"22.000,00",,,"22.000,00","0,00",,,
MLKR,18.11.2014,"22.000,00",,,"22.000,00","0,00",,,
MLKR,19.11.2014,"22.000,00",,,"22.000,00","0,00",,,
MLKR,20.11.2014,"22.000,00",,,"22.000,00","0,00",,,
MLKR,21.11.2014,"22.000,00",,,"22.000,00","0,00",,,
MLKR,24.11.2014,"22.000,00",,,"22.000,00","0,00",,,
MLKR,25.11.2014,"22.000,00",,,"22.000,00","0,00",,,
MLKR,26.11.2014,"22.000,00",,,"22.000,00","0,00",,,
MLKR,27.11.2014,"22.000,00",,,"22.000,00","0,00",,,
MLKR,28.11.2014,"22.000,00",,,"22.000,00","0,00",,,
MLKR,01.12.2014,"22.000,00",,,"22.000,00","0,00",,,
MLKR,02.12.2014,"22.000,00",,,"22.000,00","0,00",,,
MLKR,04.12.2014,"22.000,00",,,"22.000,00","0,00",,,
MLKR,05.12.2014,"22.000,00",,,"22.000,00","0,00",,,
MLKR,09.12.2014,"22.000,00",,,"22.000,00","0,00",,,
MLKR,10.12.2014,"22.000,00",,,"22.000,00","0,00",,,
MLKR,11.12.2014,"22.000,00",,,"22.000,00","0,00",,,
MLKR,12.12.2014,"22.000,00",,,"22.000,00","0,00",,,
MLKR,15.12.2014,"22.000,00",,,"22.000,00","0,00",,,
MLKR,16.12.2014,"22.000,00",,,"22.000,00","0,00",,,
MLKR,17.12.2014,"22.000,00",,,"22.000,00","0,00",,,
MLKR,18.12.2014,"22.000,00",,,"22.000,00","0,00",,,
MLKR,19.12.2014,"22.000,00",,,"22.000,00","0,00",,,
MLKR,22.12.2014,"22.000,00",,,"22.000,00","0,00",,,
MLKR,23.12.2014,"22.000,00",,,"22.000,00","0,00",,,
MLKR,24.12.2014,"22.000,00",,,"22.000,00","0,00",,,
MLKR,25.12.2014,"22.000,00",,,"22.000,00","0,00",,,
MLKR,26.12.2014,"22.000,00",,,"22.000,00","0,00",,,
MLKR,29.12.2014,"22.000,00",,,"22.000,00","0,00",,,
MLKR,30.12.2014,"22.000,00",,,"22.000,00","0,00",,,
MLKR,02.01.2015,"22.000,00",,,"22.000,00","0,00",,,
MLKR,05.01.2015,"22.000,00",,,"22.000,00","0,00",,,
MLKR,08.01.2015,"22.000,00",,,"22.000,00","0,00",,,
MLKR,09.01.2015,"22.000,00",,,"22.000,00","0,00",,,
MLKR,12.01.2015,"22.000,00",,,"22.000,00","0,00",,,
MLKR,13.01.2015,"22.000,00",,,"22.000,00","0,00",,,
MLKR,14.01.2015,"22.000,00",,,"22.000,00","0,00",,,
MLKR,15.01.2015,"22.000,00",,,"22.000,00","0,00",,,
