Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
MODA,13.11.2014,"37,00",,,"151,00","0,00",,,
MODA,14.11.2014,"37,00",,,"151,00","0,00",,,
MODA,17.11.2014,"37,00",,,"151,00","0,00",,,
MODA,18.11.2014,"37,00",,,"151,00","0,00",,,
MODA,19.11.2014,"37,00",,,"151,00","0,00",,,
MODA,20.11.2014,"37,00",,,"151,00","0,00",,,
MODA,21.11.2014,"37,00",,,"151,00","0,00",,,
MODA,24.11.2014,"37,00",,,"151,00","0,00",,,
MODA,25.11.2014,"37,00",,,"151,00","0,00",,,
MODA,26.11.2014,"37,00",,,"151,00","0,00",,,
MODA,27.11.2014,"37,00",,,"151,00","0,00",,,
MODA,28.11.2014,"37,00",,,"151,00","0,00",,,
MODA,01.12.2014,"37,00",,,"151,00","0,00",,,
MODA,02.12.2014,"37,00",,,"151,00","0,00",,,
MODA,04.12.2014,"37,00",,,"151,00","0,00",,,
MODA,05.12.2014,"37,00",,,"151,00","0,00",,,
MODA,09.12.2014,"37,00",,,"151,00","0,00",,,
MODA,10.12.2014,"37,00",,,"151,00","0,00",,,
MODA,11.12.2014,"37,00",,,"151,00","0,00",,,
MODA,12.12.2014,"37,00",,,"151,00","0,00",,,
MODA,15.12.2014,"37,00",,,"151,00","0,00",,,
MODA,16.12.2014,"37,00",,,"151,00","0,00",,,
MODA,17.12.2014,"37,00",,,"151,00","0,00",,,
MODA,18.12.2014,"37,00",,,"151,00","0,00",,,
MODA,19.12.2014,"37,00",,,"151,00","0,00",,,
MODA,22.12.2014,"37,00",,,"151,00","0,00",,,
MODA,23.12.2014,"37,00",,,"151,00","0,00",,,
MODA,24.12.2014,"37,00",,,"151,00","0,00",,,
MODA,25.12.2014,"37,00",,,"151,00","0,00",,,
MODA,26.12.2014,"37,00",,,"151,00","0,00",,,
MODA,29.12.2014,"37,00",,,"151,00","0,00",,,
MODA,30.12.2014,"37,00",,,"151,00","0,00",,,
MODA,02.01.2015,"37,00",,,"151,00","0,00",,,
MODA,05.01.2015,"37,00",,,"151,00","0,00",,,
MODA,08.01.2015,"37,00",,,"151,00","0,00",,,
MODA,09.01.2015,"37,00",,,"151,00","0,00",,,
MODA,12.01.2015,"37,00",,,"151,00","0,00",,,
MODA,13.01.2015,"37,00",,,"151,00","0,00",,,
MODA,14.01.2015,"37,00",,,"151,00","0,00",,,
MODA,15.01.2015,"37,00",,,"151,00","0,00",,,
MODA,16.01.2015,"37,00",,,"151,00","0,00",,,
MODA,20.01.2015,"37,00",,,"151,00","0,00",,,
MODA,21.01.2015,"37,00",,,"151,00","0,00",,,
MODA,22.01.2015,"37,00",,,"151,00","0,00",,,
MODA,23.01.2015,"37,00",,,"151,00","0,00",,,
MODA,26.01.2015,"37,00",,,"151,00","0,00",,,
MODA,27.01.2015,"37,00",,,"151,00","0,00",,,
MODA,28.01.2015,"37,00",,,"151,00","0,00",,,
MODA,29.01.2015,"37,00",,,"151,00","0,00",,,
MODA,30.01.2015,"37,00",,,"151,00","0,00",,,
MODA,02.02.2015,"37,00",,,"151,00","0,00",,,
MODA,03.02.2015,"37,00",,,"151,00","0,00",,,
MODA,04.02.2015,"37,00",,,"151,00","0,00",,,
MODA,05.02.2015,"37,00",,,"151,00","0,00",,,
MODA,06.02.2015,"37,00",,,"151,00","0,00",,,
MODA,09.02.2015,"37,00",,,"151,00","0,00",,,
MODA,10.02.2015,"37,00",,,"151,00","0,00",,,
MODA,11.02.2015,"37,00",,,"151,00","0,00",,,
MODA,12.02.2015,"37,00",,,"151,00","0,00",,,
MODA,13.02.2015,"37,00",,,"151,00","0,00",,,
MODA,16.02.2015,"37,00",,,"151,00","0,00",,,
MODA,17.02.2015,"37,00",,,"151,00","0,00",,,
MODA,18.02.2015,"37,00",,,"151,00","0,00",,,
MODA,19.02.2015,"37,00",,,"151,00","0,00",,,
MODA,20.02.2015,"37,00",,,"151,00","0,00",,,
MODA,23.02.2015,"37,00",,,"151,00","0,00",,,
MODA,24.02.2015,"37,00",,,"151,00","0,00",,,
MODA,25.02.2015,"37,00",,,"151,00","0,00",,,
MODA,26.02.2015,"37,00",,,"151,00","0,00",,,
MODA,27.02.2015,"37,00",,,"151,00","0,00",,,
MODA,02.03.2015,"37,00",,,"151,00","0,00",,,
MODA,03.03.2015,"37,00",,,"151,00","0,00",,,
MODA,04.03.2015,"37,00",,,"151,00","0,00",,,
MODA,05.03.2015,"37,00",,,"151,00","0,00",,,
MODA,06.03.2015,"37,00",,,"151,00","0,00",,,
MODA,09.03.2015,"37,00",,,"151,00","0,00",,,
MODA,10.03.2015,"37,00",,,"151,00","0,00",,,
MODA,11.03.2015,"37,00",,,"151,00","0,00",,,
MODA,12.03.2015,"37,00",,,"151,00","0,00",,,
MODA,13.03.2015,"37,00",,,"151,00","0,00",,,
MODA,16.03.2015,"37,00",,,"151,00","0,00",,,
